Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
L-cysteine degradation III	0.0384615384615	1.0	1.0	Achromobacter	Achromobacter arsenitoxydans SY8	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.CYSTEINE-DEG.PWY-5329.	PWY-5329
sulfur oxidation II (Fe+3-dependent)	0.0384615384615	0.33	0.33	Achromobacter	Achromobacter arsenitoxydans SY8	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Sulfur-Oxidation.FESULFOX-PWY./Energy-Metabolism.CHEMOAUTOTROPHIC-ENERGY-METABOLISM.FESULFOX-PWY.	FESULFOX-PWY
sulfite oxidation IV	0.0769230769231	1.0	1.0	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii ATCC 43553	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Sulfite-Oxidation.PWY-5326.	PWY-5326
hydrogen sulfide biosynthesis I	0.0769230769231	0.75	0.75	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii ATCC 43553	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Hydrogen-Sulfide-Biosynthesis.PWY0-1534.	PWY0-1534
acetate and ATP formation from acetyl-CoA II	0.0769230769231	1.0	1.0	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii ATCC 43553	Degradation.CARBOXYLATES-DEG.Acetate-Formation.PWY-5535./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Acetate-Formation.PWY-5535.	PWY-5535
glycine betaine biosynthesis II (Gram-positive bacteria)	0.115384615385	1.0	2.5	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii ATCC 43553, Achromobacter xylosoxidans AXX-A	Biosynthesis.Polyamine-Biosynthesis.Betaine-Biosynthesis.PWY-3722.	PWY-3722
(R)-cysteate degradation	0.115384615385	0.5	1.75	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii ATCC 43553, Achromobacter xylosoxidans AXX-A	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.PWY-6642.	PWY-6642
sulfolactate degradation I	0.115384615385	0.5	0.75	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii ATCC 43553, Achromobacter xylosoxidans AXX-A	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Sulfolactate-Degradation.PWY-6616.	PWY-6616
thiamine diphosphate biosynthesis III (Staphylococcus)	0.0769230769231	0.33	0.5	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii HLE	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Diphosphate-Biosynthesis.PWY-6907.	PWY-6907
D-serine metabolism	0.0769230769231	1.0	2.25	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii HLE	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.D-Amino-Acid-Degradation.PWY-6196./Super-PWY-6196./Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.PWY-6196.	PWY-6196
L-glutamate biosynthesis IV	0.0769230769231	1.0	1.0	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii HLE	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMATE-SYN.GLUGLNSYN-PWY.	GLUGLNSYN-PWY
ammonia assimilation cycle I	0.0769230769231	1.0	1.5	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii HLE	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Ammonia-Assimilation.PWY-6963./Super-PWY-6963.	/Super-PWY-6963
ammonia assimilation cycle II	0.0769230769231	1.0	1.5	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii HLE	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Ammonia-Assimilation.PWY-6964.	PWY-6964
L-glutamate biosynthesis V	0.0769230769231	1.0	1.0	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii HLE	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMATE-SYN.PWY-4341.	PWY-4341
L-lysine degradation I	0.0769230769231	1.0	1.0	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii HLE	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.LYSINE-DEG.PWY0-461.	PWY0-461
4-toluenesulfonate degradation I	0.115384615385	0.25	0.25	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii HLE, Achromobacter piechaudii ATCC 43553	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Sulfoaromatics-Degradation.4-Toluenesulfonate-Degradation.TOLSULFDEG-PWY.	TOLSULFDEG-PWY
superpathway of &beta;-D-glucuronosides degradation	0.115384615385	0.2	0.2	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii HLE, Achromobacter piechaudii ATCC 43553	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.D-Glucuronate-Degradation.GLUCUROCAT-PWY./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.D-Glucuronate-Degradation.GLUCUROCAT-PWY./Super-GLUCUROCAT-PWY.	/Super-GLUCUROCAT-PWY
nitrilotriacetate degradation	0.115384615385	0.5	0.5	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii HLE, Achromobacter piechaudii ATCC 43553	Degradation.CARBOXYLATES-DEG.PWY-6021.	PWY-6021
pentose phosphate pathway (oxidative branch) I	0.115384615385	0.33	0.33	Achromobacter	Achromobacter arsenitoxydans SY8, Achromobacter piechaudii HLE, Achromobacter piechaudii ATCC 43553	Energy-Metabolism.Pentose-Phosphate-Cycle.OXIDATIVEPENT-PWY.	OXIDATIVEPENT-PWY
