Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
glycogen biosynthesis I (from ADP-D-Glucose)	0.5	1.0	1.33	Acidaminococcus	Acidaminococcus fermentans DSM 20731	Glycan-Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY.	GLYCOGENSYNTH-PWY
cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	0.5	0.06	0.06	Acidaminococcus	Acidaminococcus fermentans DSM 20731	Degradation.Fatty-Acid-and-Lipid-Degradation.Steroids-Degradation.Cholesterol-Degradation.PWY-6946.	PWY-6946
heptaprenyl diphosphate biosynthesis	0.5	1.0	1.0	Acidaminococcus	Acidaminococcus fermentans DSM 20731	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5807.	PWY-5807
D-glucarate degradation I	0.5	0.75	0.75	Acidaminococcus	Acidaminococcus fermentans DSM 20731	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.D-Glucarate-Degradation.GLUCARDEG-PWY./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.D-Glucarate-Degradation.GLUCARDEG-PWY.	GLUCARDEG-PWY
cholesterol degradation to androstenedione I (cholesterol oxidase)	0.5	0.06	0.06	Acidaminococcus	Acidaminococcus fermentans DSM 20731	Degradation.Fatty-Acid-and-Lipid-Degradation.Steroids-Degradation.Cholesterol-Degradation.PWY-6945.	PWY-6945
pyruvate fermentation to propanoate I	0.5	0.29	0.29	Acidaminococcus	Acidaminococcus fermentans DSM 20731	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Propanoate-Fermentation.P108-PWY./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Fermentation-to-propanoate.Pyruvate-Propanoate-Fermentation.P108-PWY.	P108-PWY
pyruvate fermentation to ethanol I	0.5	0.67	0.67	Acidaminococcus	Acidaminococcus fermentans DSM 20731	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Ethanol-Fermentation.PWY-5480./Energy-Metabolism.Fermentation.Alcohol-Biosynthesis.Pyruvate-Ethanol-Fermentation.PWY-5480.	PWY-5480
putrescine biosynthesis II	0.5	0.67	1.33	Acidaminococcus	Acidaminococcus fermentans DSM 20731	Biosynthesis.Polyamine-Biosynthesis.Putrescine-Biosynthesis.PWY-43.	PWY-43
L-valine degradation I	0.5	0.25	0.38	Acidaminococcus	Acidaminococcus fermentans DSM 20731	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.VALINE-DEG.VALDEG-PWY.	VALDEG-PWY
tRNA processing	0.5	0.4	0.4	Acidaminococcus	Acidaminococcus fermentans DSM 20731	Macromolecule-Modification.Nucleic-Acid-Processing.PWY0-1479.	PWY0-1479
