Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
NADH to dimethyl sulfoxide electron transfer	0.111111111111	1.0	6.5	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756	Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1348./Energy-Metabolism.Electron-Transfer.PWY0-1348.	PWY0-1348
creatinine degradation II	0.111111111111	0.2	0.4	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756	Degradation.AMINE-DEG.Creatinine-Degradation.PWY-4722.	PWY-4722
nitrate reduction VIII (dissimilatory)	0.111111111111	1.0	6.0	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY0-1352./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1352./Energy-Metabolism.Electron-Transfer.PWY0-1352.	PWY0-1352
L-threonine degradation II	0.111111111111	0.5	0.5	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.THREONINE-DEG.THREONINE-DEG2-PWY.	THREONINE-DEG2-PWY
S-methyl-5'-thioadenosine degradation IV	0.222222222222	1.0	1.0	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756, Acidithiobacillus caldus MTH-04	Degradation.NUCLEO-DEG.Methylthioadenosine-Degradation.PWY0-1391.	PWY0-1391
L-threonine degradation I	0.555555555556	0.33	0.5	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756, Acidithiobacillus caldus MTH-04, Acidithiobacillus sp. 'AMD consortium', Acidithiobacillus ferridurans JCM 18981, Acidithiobacillus thiooxidans ATCC 19377	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.THREONINE-DEG.PWY-5437.	PWY-5437
S-methyl-5'-thioadenosine degradation III	0.555555555556	0.5	0.5	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756, Acidithiobacillus caldus MTH-04, Acidithiobacillus sp. 'AMD consortium', Acidithiobacillus ferridurans JCM 18981, Acidithiobacillus thiooxidans ATCC 19377	Degradation.NUCLEO-DEG.Methylthioadenosine-Degradation.PWY-6753.	PWY-6753
L-alanine biosynthesis II	0.555555555556	1.0	1.0	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756, Acidithiobacillus caldus MTH-04, Acidithiobacillus sp. 'AMD consortium', Acidithiobacillus ferridurans JCM 18981, Acidithiobacillus thiooxidans ATCC 19377	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ALANINE-SYN.ALANINE-SYN2-PWY.	ALANINE-SYN2-PWY
preQ0 biosynthesis	0.555555555556	0.75	0.75	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756, Acidithiobacillus caldus MTH-04, Acidithiobacillus sp. 'AMD consortium', Acidithiobacillus ferridurans JCM 18981, Acidithiobacillus thiooxidans ATCC 19377	Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.PWY-6703.	PWY-6703
glycerol degradation V	0.333333333333	0.5	1.0	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756, Acidithiobacillus caldus MTH-04, Acidithiobacillus thiooxidans ATCC 19377	Degradation.Alcohol-Degradation.GLYCEROL-DEG.GLYCEROLMETAB-PWY.	GLYCEROLMETAB-PWY
vitamin B6 degradation	0.333333333333	0.11	0.11	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756, Acidithiobacillus ferrooxidans ATCC 53993, Acidithiobacillus thiooxidans ATCC 19377	Degradation.COFACTOR-DEGRADATION.PWY-5499.	PWY-5499
copper transport I	0.222222222222	0.5	0.5	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756, Acidithiobacillus thiooxidans ATCC 19377	Transport-PWY-6135	Transport-PWY-6135
L-alanine degradation III	0.222222222222	1.0	1.0	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756, Acidithiobacillus thiooxidans ATCC 19377	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ALANINE-DEG.ALANINE-DEG3-PWY.	ALANINE-DEG3-PWY
NADH to trimethylamine N-oxide electron transfer	0.222222222222	1.0	5.5	Acidithiobacillus	Acidithiobacillus caldus ATCC 51756, Acidithiobacillus thiooxidans ATCC 19377	Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1347./Energy-Metabolism.Electron-Transfer.PWY0-1347.	PWY0-1347
nitrate reduction V (assimilatory)	0.111111111111	0.75	1.5	Acidithiobacillus	Acidithiobacillus caldus MTH-04	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY-5675.	PWY-5675
nitrate reduction IX (dissimilatory)	0.111111111111	0.5	1.5	Acidithiobacillus	Acidithiobacillus caldus MTH-04	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY0-1581./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1581./Energy-Metabolism.Electron-Transfer.PWY0-1581.	PWY0-1581
nitrate reduction VIIIb (dissimilatory)	0.111111111111	0.5	1.5	Acidithiobacillus	Acidithiobacillus caldus MTH-04	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY0-1573./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1573./Energy-Metabolism.Electron-Transfer.PWY0-1573.	PWY0-1573
sucrose degradation II (sucrose synthase)	0.111111111111	1.0	1.4	Acidithiobacillus	Acidithiobacillus caldus MTH-04	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.SUCROSE-DEG.PWY-3801.	PWY-3801
pyrimidine deoxyribonucleosides salvage	0.111111111111	0.4	0.4	Acidithiobacillus	Acidithiobacillus caldus MTH-04	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-Nucleotide-Salvage.PWY-7199.	PWY-7199
purine deoxyribonucleosides salvage	0.222222222222	0.58	0.58	Acidithiobacillus	Acidithiobacillus caldus MTH-04, Acidithiobacillus ferridurans JCM 18981	Metabolic-Clusters.PWY-7224./Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.PWY-7224.	PWY-7224
chitin degradation II (Vibrio)	0.222222222222	0.4	0.4	Acidithiobacillus	Acidithiobacillus caldus MTH-04, Acidithiobacillus ferridurans JCM 18981	Degradation.Polymer-Degradation.POLYSACCHARIDES-DEG.Chitin-Degradation.PWY-6902./Degradation.Carbohydrates-Degradation.POLYSACCHARIDES-DEG.Chitin-Degradation.PWY-6902.	PWY-6902
NADH to cytochrome bd oxidase electron transfer II	0.222222222222	0.5	3.75	Acidithiobacillus	Acidithiobacillus caldus MTH-04, Acidithiobacillus sp. 'AMD consortium'	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1568./Energy-Metabolism.Electron-Transfer.PWY0-1568.	PWY0-1568
NADH to cytochrome bo oxidase electron transfer II	0.222222222222	0.5	3.75	Acidithiobacillus	Acidithiobacillus caldus MTH-04, Acidithiobacillus sp. 'AMD consortium'	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1567./Energy-Metabolism.Electron-Transfer.PWY0-1567.	PWY0-1567
