Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
acetate and ATP formation from acetyl-CoA II	0.00377358490566	1.0	1.0	Acinetobacter	Acinetobacter baumannii 1656-2	Degradation.CARBOXYLATES-DEG.Acetate-Formation.PWY-5535./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Acetate-Formation.PWY-5535.	PWY-5535
formate oxidation to CO2	0.0301886792453	1.0	1.0	Acinetobacter	Acinetobacter baumannii 1656-2, Acinetobacter baumannii AB0057, Acinetobacter baumannii AB307-0294, Acinetobacter baylyi ADP1, Acinetobacter baumannii ACICU, Acinetobacter guillouiae CIP 63.46, Acinetobacter baumannii 6014059, Acinetobacter lwoffii WJ10621	Degradation.C1-COMPOUNDS.PWY-1881./Energy-Metabolism.CHEMOAUTOTROPHIC-ENERGY-METABOLISM.PWY-1881.	PWY-1881
ethanol degradation IV	0.0301886792453	1.0	2.0	Acinetobacter	Acinetobacter baumannii 1656-2, Acinetobacter baumannii AB0057, Acinetobacter baumannii AB307-0294, Acinetobacter radioresistens SH164, Acinetobacter junii SH205, Acinetobacter lwoffii SH145, Acinetobacter sp. HA, Acinetobacter radioresistens SK82	Degradation.Alcohol-Degradation.Ethanol-Degradation.PWY66-162.	PWY66-162
2-keto-L-gulonate biosynthesis	0.0603773584906	0.25	0.25	Acinetobacter	Acinetobacter baumannii 1656-2, Acinetobacter baumannii AB0057, Acinetobacter baumannii ATCC 17978, Acinetobacter baumannii AB058, Acinetobacter baumannii AB056, Acinetobacter sp. RUH2624, Acinetobacter sp. SH024, Acinetobacter baumannii ATCC 19606, Acinetobacter baumannii 6013113, Acinetobacter baumannii AB059, Acinetobacter lwoffii SH145, Acinetobacter baumannii 6014059, Acinetobacter baumannii 6013150, Acinetobacter sp. HA, Acinetobacter calcoaceticus RUH2202, Acinetobacter baumannii AB900	Biosynthesis.Carbohydrates-Biosynthesis.PWY-5782.	PWY-5782
L-ascorbate biosynthesis III	0.0603773584906	0.25	0.25	Acinetobacter	Acinetobacter baumannii 1656-2, Acinetobacter baumannii AB0057, Acinetobacter baumannii ATCC 17978, Acinetobacter baumannii AB058, Acinetobacter baumannii AB056, Acinetobacter sp. RUH2624, Acinetobacter sp. SH024, Acinetobacter baumannii ATCC 19606, Acinetobacter baumannii 6013113, Acinetobacter baumannii AB059, Acinetobacter lwoffii SH145, Acinetobacter baumannii 6014059, Acinetobacter baumannii 6013150, Acinetobacter sp. HA, Acinetobacter calcoaceticus RUH2202, Acinetobacter baumannii AB900	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Ascorbate-Biosynthesis.PWY-5521.	PWY-5521
sitosterol degradation to androstenedione	0.0150943396226	0.11	0.17	Acinetobacter	Acinetobacter baumannii 1656-2, Acinetobacter baumannii AB0057, Acinetobacter baumannii BJAB07104, Acinetobacter baumannii ACICU	Degradation.Fatty-Acid-and-Lipid-Degradation.Steroids-Degradation.PWY-6948.	PWY-6948
cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	0.0377358490566	0.06	0.06	Acinetobacter	Acinetobacter baumannii 1656-2, Acinetobacter baumannii AB0057, Acinetobacter baumannii BJAB07104, Acinetobacter baumannii ACICU, Acinetobacter guillouiae CIP 63.46, Acinetobacter johnsonii SH046, Acinetobacter lwoffii SH145, Acinetobacter haemolyticus ATCC 19194, Acinetobacter baumannii 6014059, Acinetobacter sp. ATCC 27244	Degradation.Fatty-Acid-and-Lipid-Degradation.Steroids-Degradation.Cholesterol-Degradation.PWY-6946.	PWY-6946
glycine betaine biosynthesis III (plants)	0.0188679245283	0.67	2.0	Acinetobacter	Acinetobacter baumannii 1656-2, Acinetobacter baumannii AB0057, Acinetobacter baumannii BJAB07104, Acinetobacter baumannii ATCC 17978, Acinetobacter baumannii ACICU	Biosynthesis.Polyamine-Biosynthesis.Betaine-Biosynthesis.PWY1F-353.	PWY1F-353
catechol degradation to 2-hydroxypentadienoate I	0.0264150943396	0.5	0.5	Acinetobacter	Acinetobacter baumannii 1656-2, Acinetobacter baumannii AB0057, Acinetobacter johnsonii XBB1, Acinetobacter baumannii AB307-0294, Acinetobacter baumannii ACICU, Acinetobacter defluvii WCHA30, Acinetobacter baumannii E47	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Catechol-Degradation.P183-PWY.	P183-PWY
3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	0.011320754717	0.3	0.3	Acinetobacter	Acinetobacter baumannii 1656-2, Acinetobacter baumannii AB0057, Acinetobacter oleivorans DR1	Biosynthesis.Cofactor-Biosynthesis.Porphyrin-Compounds-Biosynthesis.Chlorophyll-Biosynthesis.Chlorophyllide-a-Biosynthesis.CHLOROPHYLL-SYN.	CHLOROPHYLL-SYN
