Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
sphingomyelin metabolism	0.2	0.33	0.33	Acinetobacter johnsonii	Acinetobacter johnsonii Acsw19	Biosynthesis.Lipid-Biosynthesis.PWY3DJ-11281.	PWY3DJ-11281
UDP-N-acetyl-&alpha;-D-mannosaminouronate biosynthesis	0.2	1.0	1.5	Acinetobacter johnsonii	Acinetobacter johnsonii Acsw19	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.PWY-7335.	PWY-7335
S-methyl-5'-thioadenosine degradation IV	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii Acsw19	Degradation.NUCLEO-DEG.Methylthioadenosine-Degradation.PWY0-1391.	PWY0-1391
L-valine degradation I	0.4	0.44	0.56	Acinetobacter johnsonii	Acinetobacter johnsonii Acsw19, Acinetobacter johnsonii SH046	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.VALINE-DEG.VALDEG-PWY.	VALDEG-PWY
anthranilate degradation I (aerobic)	0.2	1.0	2.0	Acinetobacter johnsonii	Acinetobacter johnsonii IC001	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.2-Aminobenzoate-Degradation.PWY-6079.	PWY-6079
taurine degradation IV	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii IC001	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Taurine-degradation.PWY0-981./Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Taurine-degradation.PWY0-981.	PWY0-981
L-asparagine biosynthesis I	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii IC001	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ASPARAGINE-SYN.ASPARAGINE-BIOSYNTHESIS.	ASPARAGINE-BIOSYNTHESIS
L-asparagine biosynthesis II	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii IC001	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ASPARAGINE-SYN.ASPARAGINESYN-PWY.	ASPARAGINESYN-PWY
geranyl diphosphate biosynthesis	0.8	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii IC001, Acinetobacter johnsonii Acsw19, Acinetobacter johnsonii LXL_C1, Acinetobacter johnsonii SH046	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5122.	PWY-5122
dTDP-L-rhamnose biosynthesis	0.4	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii IC001, Acinetobacter johnsonii LXL_C1	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.dTDP-Sugar-Biosynthesis.DTDPRHAMSYN-PWY.	DTDPRHAMSYN-PWY
L-ornithine biosynthesis I	0.4	0.8	1.1	Acinetobacter johnsonii	Acinetobacter johnsonii IC001, Acinetobacter johnsonii SH046	Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.L-Ornithine-Biosynthesis.GLUTORN-PWY.	GLUTORN-PWY
geranylgeranyl diphosphate biosynthesis	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii LXL_C1	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.GGPP-Biosynthesis.PWY-5120.	PWY-5120
acyl carrier protein activation	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii LXL_C1	Activation-Inactivation-Interconversion.Activation.PWY-6012-1./Biosynthesis.Cofactor-Biosynthesis.PWY-6012-1.	PWY-6012-1
citrate degradation	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii LXL_C1	Degradation.CARBOXYLATES-DEG.PWY-6038.	PWY-6038
palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.4	0.83	1.33	Acinetobacter johnsonii	Acinetobacter johnsonii LXL_C1, Acinetobacter johnsonii SH046	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.Palmitoleate-Biosynthesis.PWY-6282.	PWY-6282
5-aminoimidazole ribonucleotide biosynthesis II	0.4	0.9	0.9	Acinetobacter johnsonii	Acinetobacter johnsonii LXL_C1, Acinetobacter johnsonii SH046	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.AIR-Biosynthesis.PWY-6122.	PWY-6122
rhizobactin 1021 biosynthesis	0.2	0.33	0.33	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.Siderophores-Biosynthesis.PWY-761.	PWY-761
cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	0.2	0.06	0.06	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Fatty-Acid-and-Lipid-Degradation.Steroids-Degradation.Cholesterol-Degradation.PWY-6946.	PWY-6946
L-tyrosine biosynthesis III	0.2	0.67	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.TYROSINE-SYN.PWY-6120.	PWY-6120
cholesterol degradation to androstenedione I (cholesterol oxidase)	0.2	0.06	0.06	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Fatty-Acid-and-Lipid-Degradation.Steroids-Degradation.Cholesterol-Degradation.PWY-6945.	PWY-6945
indole-3-acetate biosynthesis V (bacteria and fungi)	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.HORMONE-SYN.Plant-Hormone-Biosynthesis.Auxin-Biosynthesis.PWY-5026.	PWY-5026
8-amino-7-oxononanoate biosynthesis III	0.2	0.5	0.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Other-biosynthesis.7-Keto-8-aminopelargonate-Biosynthesis.PWY-6578.	PWY-6578
3-oxoadipate degradation	0.2	1.0	3.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.CARBOXYLATES-DEG.PWY-2361.	PWY-2361
formate assimilation into 5,10-methylenetetrahydrofolate	0.2	0.5	0.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.C1-COMPOUNDS.PWY-1722.	PWY-1722
shikimate degradation I	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Shikimate-Degradation.SHIKIMATEDEG-PWY.	SHIKIMATEDEG-PWY
superpathway of guanosine nucleotides de novo biosynthesis II	0.2	0.78	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Super-PWY-6125./Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotide-De-Novo-Biosynthesis.PWY-6125.	PWY-6125
D-arginine degradation	0.2	0.5	0.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.D-Amino-Acid-Degradation.PWY-6422.	PWY-6422
aerobic respiration I (cytochrome c)	0.2	0.5	4.25	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY-3781./Energy-Metabolism.Electron-Transfer.PWY-3781.	PWY-3781
acetoacetate degradation (to acetyl CoA)	0.2	1.0	3.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Fatty-Acid-and-Lipid-Degradation.ACETOACETATE-DEG-PWY.	ACETOACETATE-DEG-PWY
adenosine nucleotides degradation II	0.2	0.2	0.2	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.NUCLEO-DEG.Purine-Degradation.Adenosine-Nucleotides-Degradation.SALVADEHYPOX-PWY.	SALVADEHYPOX-PWY
toluene degradation to 4-methylphenol	0.2	0.25	0.25	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.TOLUENE-DEG.TOLUENE-DEG-4-OH-PWY.	TOLUENE-DEG-4-OH-PWY
ethanol degradation II	0.2	0.67	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Alcohol-Degradation.Ethanol-Degradation.PWY66-21.	PWY66-21
superpathway of adenosine nucleotides de novo biosynthesis II	0.2	0.75	2.63	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Super-PWY-6126./Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotide-De-Novo-Biosynthesis.PWY-6126.	PWY-6126
(R)-cysteate degradation	0.2	0.25	0.25	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.PWY-6642.	PWY-6642
purine and pyrimidine metabolism	0.2	0.53	0.59	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.P1-PWY./Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.P1-PWY./Metabolic-Clusters.P1-PWY.	P1-PWY
sulfate activation for sulfonation	0.2	0.5	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.PWY-5340./Activation-Inactivation-Interconversion.Activation.PWY-5340.	PWY-5340
8-amino-7-oxononanoate biosynthesis I	0.2	0.73	0.91	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Other-biosynthesis.7-Keto-8-aminopelargonate-Biosynthesis.PWY-6519.	PWY-6519
nitrate reduction IV (dissimilatory)	0.2	0.5	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY-5674./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY-5674.	PWY-5674
sulfite oxidation III	0.2	1.0	1.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Sulfite-Oxidation.PWY-5278.	PWY-5278
pyrimidine ribonucleotides interconversion	0.2	0.27	0.27	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.PWY-5687.	PWY-5687
respiration (anaerobic)	0.2	0.69	1.46	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.ANARESP1-PWY.	ANARESP1-PWY
L-glutamate biosynthesis IV	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMATE-SYN.GLUGLNSYN-PWY.	GLUGLNSYN-PWY
ammonia assimilation cycle I	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Ammonia-Assimilation.PWY-6963./Super-PWY-6963.	/Super-PWY-6963
pentose phosphate pathway (partial)	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Energy-Metabolism.Pentose-Phosphate-Cycle.P21-PWY.	P21-PWY
L-glutamate biosynthesis II	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMATE-SYN.GLUTAMATE-SYN2-PWY.	GLUTAMATE-SYN2-PWY
adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II	0.2	0.44	0.44	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Cobalamin-Biosynthesis.PWY-5508.	PWY-5508
glucose and glucose-1-phosphate degradation	0.2	0.33	0.33	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.GLUCOSE1PMETAB-PWY.	GLUCOSE1PMETAB-PWY
L-cysteine degradation II	0.2	1.0	2.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.CYSTEINE-DEG.LCYSDEG-PWY.	LCYSDEG-PWY
pyruvate fermentation to acetate II	0.2	1.0	2.33	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.CARBOXYLATES-DEG.Acetate-Formation.Pyruvate-Acetate-Fermentation.PWY-5482./Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Acetate-Fermentation.PWY-5482./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Acetate-Formation.Pyruvate-Acetate-Fermentation.PWY-5482.	PWY-5482
sulfolactate degradation III	0.2	0.25	0.25	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Sulfolactate-Degradation.PWY-6638.	PWY-6638
TCA cycle II (plants and fungi)	0.2	1.0	2.44	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Energy-Metabolism.TCA-VARIANTS.PWY-5690.	PWY-5690
L-alanine degradation I	0.2	1.0	2.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ALANINE-DEG.ALADEG-PWY.	ALADEG-PWY
(5Z)-dodecenoate biosynthesis I	0.2	0.67	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.5Z-Dodec-5-enoate-Biosynthesis.PWY0-862.	PWY0-862
acrylate degradation	0.2	0.25	0.25	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.CARBOXYLATES-DEG.PWY-6373.	PWY-6373
&beta;-alanine degradation I	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.Beta-Alanine-Degradation.BETA-ALA-DEGRADATION-I-PWY.	BETA-ALA-DEGRADATION-I-PWY
glycine biosynthesis II	0.2	1.0	2.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Super-GLYCINE-SYN2-PWY./Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLYCINE-SYN.GLYCINE-SYN2-PWY.	GLYCINE-SYN2-PWY
acyl-CoA hydrolysis	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Lipid-Biosynthesis.PWY-5148.	PWY-5148
superpathway of adenosylcobalamin salvage from cobinamide I	0.2	0.83	0.83	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Super-COBALSYN-PWY./Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Cobalamin-Biosynthesis.Cobamide-Salvage.B12-Salvage-From-Cobinamide.COBALSYN-PWY.	COBALSYN-PWY
acyl carrier protein metabolism	0.2	0.5	0.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Activation-Inactivation-Interconversion.Interconversion.PWY-6012./Biosynthesis.Cofactor-Biosynthesis.PWY-6012.	PWY-6012
L-lactaldehyde degradation (aerobic)	0.2	0.5	0.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Aldehyde-Degradation.Lactaldehyde-Degradation.PWY0-1317.	PWY0-1317
GDP-mannose biosynthesis	0.2	0.5	0.75	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.GDP-Sugar-Biosynthesis.PWY-5659.	PWY-5659
4-hydroxybenzoate biosynthesis II (bacteria)	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.AROMATIC-COMPOUNDS-BIOSYN.4-Hydroxybenzoate-Biosynthesis.PWY-5755.	PWY-5755
pyruvate fermentation to butanoate	0.2	0.29	0.57	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Energy-Metabolism.Fermentation.Pyruvate-Degradation.CENTFERM-PWY./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Acetyl-CoA-Butyrate.CENTFERM-PWY.	CENTFERM-PWY
ammonia assimilation cycle II	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Ammonia-Assimilation.PWY-6964.	PWY-6964
curcumin degradation	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.SECONDARY-METABOLITE-DEGRADATION.PWY0-1527.	PWY0-1527
GDP-D-perosamine biosynthesis	0.2	0.5	0.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.GDP-Sugar-Biosynthesis.PWY-5739.	PWY-5739
salvage pathways of pyrimidine ribonucleotides	0.2	0.38	0.38	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-Nucleotide-Salvage.PWY0-163.	PWY0-163
thiosulfate disproportionation IV (rhodanese)	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Thiosulfate-Disproportionation.PWY-5350.	PWY-5350
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	0.2	0.62	0.69	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Super-PWY0-166./Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-De-Novo-Biosyn.Pyrimid-Deoxyribonucleot-De-Novo-Biosyn.PWY0-166./Biosynthesis.Nucleotide-Biosynthesis.Deoxyribonucleotide-Biosynthesis.Pyrimid-Deoxyribonucleot-De-Novo-Biosyn.PWY0-166.	PWY0-166
CO2 fixation into oxaloacetate (anaplerotic)	0.2	1.0	1.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.C1-COMPOUNDS.CO2-Fixation.PWYQT-4429.	PWYQT-4429
ethylene biosynthesis III (microbes)	0.2	0.33	0.67	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.HORMONE-SYN.Plant-Hormone-Biosynthesis.Ethylene-Biosynthesis.PWY-6854.	PWY-6854
L-aspartate degradation II	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ASPARTATE-DEG.MALATE-ASPARTATE-SHUTTLE-PWY.	MALATE-ASPARTATE-SHUTTLE-PWY
