Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
geranyl diphosphate biosynthesis	0.333333333333	1.0	1.0	Acinetobacter schindleri	Acinetobacter schindleri ACE	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5122.	PWY-5122
acyl carrier protein activation	0.333333333333	1.0	1.0	Acinetobacter schindleri	Acinetobacter schindleri ACE	Activation-Inactivation-Interconversion.Activation.PWY-6012-1./Biosynthesis.Cofactor-Biosynthesis.PWY-6012-1.	PWY-6012-1
2,3-dihydroxybenzoate biosynthesis	0.333333333333	0.33	0.33	Acinetobacter schindleri	Acinetobacter schindleri ACE	Biosynthesis.AROMATIC-COMPOUNDS-BIOSYN.PWY-5901.	PWY-5901
GDP-mannose biosynthesis	0.333333333333	0.75	1.0	Acinetobacter schindleri	Acinetobacter schindleri ACE	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.GDP-Sugar-Biosynthesis.PWY-5659.	PWY-5659
thiosulfate disproportionation IV (rhodanese)	0.333333333333	1.0	1.0	Acinetobacter schindleri	Acinetobacter schindleri ACE	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Thiosulfate-Disproportionation.PWY-5350.	PWY-5350
UMP biosynthesis II	0.333333333333	1.0	1.33	Acinetobacter schindleri	Acinetobacter schindleri ACE	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-De-Novo-Biosyn.Pyrimid-Ribonucleot-De-Novo-Biosyn.UMP-Biosynthesis.PWY-7790.	PWY-7790
NAD salvage pathway IV (from nicotinamide riboside)	0.333333333333	0.5	0.5	Acinetobacter schindleri	Acinetobacter schindleri ACE	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PWY3O-4106.	PWY3O-4106
gondoate biosynthesis (anaerobic)	0.666666666667	0.75	1.13	Acinetobacter schindleri	Acinetobacter schindleri ACE, Acinetobacter schindleri H3	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.PWY-7663.	PWY-7663
acrylonitrile degradation I	0.666666666667	0.5	0.5	Acinetobacter schindleri	Acinetobacter schindleri ACE, Acinetobacter schindleri H3	Degradation.Other-Degradation.Acrylonitrile-Degradation.PWY-7308.	PWY-7308
trans, trans-farnesyl diphosphate biosynthesis	0.666666666667	0.5	0.5	Acinetobacter schindleri	Acinetobacter schindleri ACE, Acinetobacter schindleri H3	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.All-Trans-Farnesyl-PP-Biosynthesis.PWY-5123.	PWY-5123
NADH to cytochrome bo oxidase electron transfer II	0.666666666667	0.5	2.5	Acinetobacter schindleri	Acinetobacter schindleri ACE, Acinetobacter schindleri H3	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1567./Energy-Metabolism.Electron-Transfer.PWY0-1567.	PWY0-1567
octane oxidation	0.666666666667	0.4	1.0	Acinetobacter schindleri	Acinetobacter schindleri ACE, Acinetobacter schindleri H3	Degradation.Other-Degradation.P221-PWY.	P221-PWY
