Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
thiamine formation from pyrithiamine and oxythiamine (yeast)	0.0555555555556	1.0	1.0	Actinobacillus	Actinobacillus delphinicola NCTC12871	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.PWY-7357.	PWY-7357
cyclopropane fatty acid (CFA) biosynthesis	0.0555555555556	1.0	1.0	Actinobacillus	Actinobacillus delphinicola NCTC12871	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Cyclopropane-fatty-acid-biosyn.PWY0-541.	PWY0-541
nitrate reduction III (dissimilatory)	0.0555555555556	1.0	2.0	Actinobacillus	Actinobacillus delphinicola NCTC12871	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY0-1321./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1321./Energy-Metabolism.Electron-Transfer.PWY0-1321.	PWY0-1321
putrescine biosynthesis III	0.0555555555556	1.0	1.0	Actinobacillus	Actinobacillus delphinicola NCTC12871	Biosynthesis.Polyamine-Biosynthesis.Putrescine-Biosynthesis.PWY-46.	PWY-46
nitrate reduction V (assimilatory)	0.0555555555556	0.5	1.0	Actinobacillus	Actinobacillus delphinicola NCTC12871	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY-5675.	PWY-5675
phospholipases	0.0555555555556	0.4	0.4	Actinobacillus	Actinobacillus delphinicola NCTC12871	Degradation.Fatty-Acid-and-Lipid-Degradation.LIPASYN-PWY./Metabolic-Clusters.LIPASYN-PWY.	LIPASYN-PWY
L-glutamate degradation IX (via 4-aminobutanoate)	0.0555555555556	1.0	1.0	Actinobacillus	Actinobacillus delphinicola NCTC12871	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.GLUTAMATE-DEG.PWY0-1305./Detoxification.Acid-Resistance.PWY0-1305.	PWY0-1305
nitrate reduction VIIIb (dissimilatory)	0.0555555555556	0.5	1.5	Actinobacillus	Actinobacillus delphinicola NCTC12871	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY0-1573./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1573./Energy-Metabolism.Electron-Transfer.PWY0-1573.	PWY0-1573
pyruvate fermentation to (S)-acetoin	0.0555555555556	0.67	0.67	Actinobacillus	Actinobacillus delphinicola NCTC12871	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Acetoin-Biosynthesis.PWY-6389.	PWY-6389
cytidylyl molybdenum cofactor biosynthesis	0.0555555555556	1.0	1.0	Actinobacillus	Actinobacillus delphinicola NCTC12871	Biosynthesis.Cofactor-Biosynthesis.PWY-6476.	PWY-6476
pyruvate fermentation to (R)-acetoin II	0.0555555555556	1.0	1.0	Actinobacillus	Actinobacillus delphinicola NCTC12871	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Acetoin-Biosynthesis.PWY-5939.	PWY-5939
cadaverine biosynthesis	0.0555555555556	1.0	1.0	Actinobacillus	Actinobacillus delphinicola NCTC12871	Detoxification.Acid-Resistance.PWY0-1601./Biosynthesis.Polyamine-Biosynthesis.PWY0-1601.	PWY0-1601
L-alanine degradation IV	0.166666666667	1.0	1.0	Actinobacillus	Actinobacillus equuli subsp. equuli, Actinobacillus equuli NCTC8529, Actinobacillus delphinicola NCTC12871	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ALANINE-DEG.PWY1-2.	PWY1-2
