Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
hydroxymethylpyrimidine salvage	1.0	1.0	1.0	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Salvage.PWY-6910.	PWY-6910
CDP-diacylglycerol biosynthesis I	1.0	0.5	0.75	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.CDP-diacylglycerol-Biosynthesis.PWY-5667.	PWY-5667
menaquinol-10 biosynthesis	1.0	1.0	1.0	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.Menaquinone-Biosynthesis.PWY-5890.	PWY-5890
3-dehydroquinate biosynthesis I	1.0	0.5	1.0	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.AROMATIC-COMPOUNDS-BIOSYN.3-Dehydroquinate-Biosynthesis.PWY-6164.	PWY-6164
lipoprotein posttranslational modification	1.0	0.5	0.5	Actinobaculum	Actinobaculum sp. 313	Macromolecule-Modification.Protein-Modification.PWY-7884.	PWY-7884
glutathione biosynthesis	1.0	1.0	1.0	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.Cofactor-Biosynthesis.Reductants.GLUTATHIONESYN-PWY.	GLUTATHIONESYN-PWY
urea cycle	1.0	0.6	0.6	Actinobaculum	Actinobaculum sp. 313	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.PWY-4984.	PWY-4984
NAD de novo biosynthesis I (from aspartate)	1.0	0.33	0.33	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PYRIDNUCSYN-PWY.	PYRIDNUCSYN-PWY
L-serine biosynthesis I	1.0	1.0	1.33	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.SERINE-BIOSYNTHESIS.SERSYN-PWY.	SERSYN-PWY
menaquinol-11 biosynthesis	1.0	1.0	1.0	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.Menaquinone-Biosynthesis.PWY-5891.	PWY-5891
trehalose biosynthesis V	1.0	0.67	0.67	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.Metabolic-Regulators.Organic-solutes-Biosynthesis.Trehalose-biosynthesis.PWY-2661./Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.Trehalose-biosynthesis.PWY-2661.	PWY-2661
queuosine biosynthesis	1.0	0.25	0.25	Actinobaculum	Actinobaculum sp. 313	Macromolecule-Modification.Nucleic-Acid-Processing.PWY-6700.	PWY-6700
parathion degradation	1.0	0.5	0.5	Actinobaculum	Actinobaculum sp. 313	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.PARATHION-DEGRADATION-PWY.	PARATHION-DEGRADATION-PWY
succinate to cytochrome bo oxidase electron transfer	1.0	1.0	2.0	Actinobaculum	Actinobaculum sp. 313	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1329./Energy-Metabolism.Electron-Transfer.PWY0-1329.	PWY0-1329
acetate and ATP formation from acetyl-CoA I	1.0	1.0	1.0	Actinobaculum	Actinobaculum sp. 313	Degradation.CARBOXYLATES-DEG.Acetate-Formation.PWY0-1312./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Acetate-Formation.PWY0-1312.	PWY0-1312
2-deoxy-&alpha;-D-ribose 1-phosphate degradation	1.0	0.33	1.0	Actinobaculum	Actinobaculum sp. 313	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY-7180.	PWY-7180
menaquinol-9 biosynthesis	1.0	1.0	1.0	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.Menaquinone-Biosynthesis.PWY-5844.	PWY-5844
D-glucarate degradation I	1.0	0.5	0.75	Actinobaculum	Actinobaculum sp. 313	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.D-Glucarate-Degradation.GLUCARDEG-PWY./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.D-Glucarate-Degradation.GLUCARDEG-PWY.	GLUCARDEG-PWY
adenine and adenosine salvage I	1.0	1.0	1.5	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Adenine-Adenosine-Salvage.P121-PWY.	P121-PWY
succinate to cytochrome bd oxidase electron transfer	1.0	1.0	2.5	Actinobaculum	Actinobaculum sp. 313	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1353./Energy-Metabolism.Electron-Transfer.PWY0-1353.	PWY0-1353
autoinducer AI-2 biosynthesis I	1.0	0.4	0.4	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.Autoinducer-Biosynthesis.PWY-6153.	PWY-6153
mixed acid fermentation	1.0	0.56	0.63	Actinobaculum	Actinobaculum sp. 313	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Ethanol-Fermentation.FERMENTATION-PWY./Energy-Metabolism.Fermentation.Alcohol-Biosynthesis.Pyruvate-Ethanol-Fermentation.FERMENTATION-PWY./Energy-Metabolism.Fermentation.Fermentation-to-Acids.FERMENTATION-PWY.	FERMENTATION-PWY
glycolate and glyoxylate degradation I	1.0	0.5	0.5	Actinobaculum	Actinobaculum sp. 313	Degradation.CARBOXYLATES-DEG.Glycolate-Degradation.GLYCOLATEMET-PWY.	GLYCOLATEMET-PWY
guanine and guanosine salvage	1.0	1.0	1.5	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Guanine-Guanosine-Salvage.PWY-6620.	PWY-6620
L-glutamate degradation VI (to pyruvate)	1.0	0.25	0.25	Actinobaculum	Actinobaculum sp. 313	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.GLUTAMATE-DEG.PWY-5087.	PWY-5087
L-threonine degradation I	1.0	0.33	0.33	Actinobaculum	Actinobaculum sp. 313	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.THREONINE-DEG.PWY-5437.	PWY-5437
5-oxo-L-proline metabolism	1.0	0.17	0.17	Actinobaculum	Actinobaculum sp. 313	Macromolecule-Modification.Protein-Modification.PWY-7942.	PWY-7942
D-mannose degradation	1.0	1.0	1.0	Actinobaculum	Actinobaculum sp. 313	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.MANNCAT-PWY.	MANNCAT-PWY
myo-inositol biosynthesis	1.0	1.0	1.0	Actinobaculum	Actinobaculum sp. 313	Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.SUGAR-DERIVS.Sugar-Alcohols-Biosynthesis.Cyclitols-Biosynthesis.PWY-2301.	PWY-2301
