Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
cardiolipin biosynthesis I	0.368421052632	0.67	0.67	Actinomyces	Actinomyces gaoshouyii pika_114, Actinomyces radicidentis CCUG 36733, Actinomyces howellii NCTC11636, Actinomyces sp. 299, Actinomyces sp. Chiba101, Actinomyces viscosus NCTC10951, Actinomyces oris T14V	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.Cardiolipin-Biosynthesis.PWY-5668.	PWY-5668
fructose degradation	0.210526315789	1.0	1.0	Actinomyces	Actinomyces gaoshouyii pika_114, Actinomyces radicidentis CCUG 36733, Actinomyces sp. Chiba101, Actinomyces oris T14V	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY0-1314.	PWY0-1314
flavin biosynthesis I (bacteria and plants)	0.368421052632	0.78	0.78	Actinomyces	Actinomyces gaoshouyii pika_114, Actinomyces radicidentis CCUG 36733, Actinomyces sp. Z16, Actinomyces sp. 299, Actinomyces sp. Chiba101, Actinomyces slackii NCTC11923, Actinomyces oris T14V	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Flavin-Biosynthesis.RIBOSYN2-PWY.	RIBOSYN2-PWY
L-glutamate degradation VI (to pyruvate)	0.421052631579	0.25	0.25	Actinomyces	Actinomyces gaoshouyii pika_114, Actinomyces radicidentis CCUG 36733, Actinomyces sp. Z16, Actinomyces sp. dk561, Actinomyces howellii NCTC11636, Actinomyces sp. Chiba101, Actinomyces slackii NCTC11923, Actinomyces sp. 410	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.GLUTAMATE-DEG.PWY-5087.	PWY-5087
N-acetylglucosamine degradation I	0.736842105263	1.0	1.0	Actinomyces	Actinomyces gaoshouyii pika_114, Actinomyces radicidentis CCUG 36733, Actinomyces sp. Z16, Actinomyces sp. dk561, Actinomyces israelii NCTC12972, Actinomyces howellii NCTC11636, Actinomyces sp. 299, Actinomyces sp. Chiba101, Actinomyces slackii NCTC11923, Actinomyces pacaensis Marseille-P2985, Actinomyces viscosus NCTC10951, Actinomyces tangfeifanii VUL4_3, Actinomyces sp. 410, Actinomyces sp. oral taxon 414 F0588	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.N-Acetylglucosamine-Degradation.GLUAMCAT-PWY./Degradation.AMINE-DEG.N-Acetylglucosamine-Degradation.GLUAMCAT-PWY.	GLUAMCAT-PWY
2-carboxy-1,4-naphthoquinol biosynthesis	0.578947368421	0.71	0.71	Actinomyces	Actinomyces gaoshouyii pika_114, Actinomyces radicidentis CCUG 36733, Actinomyces sp. Z16, Actinomyces sp. dk561, Actinomyces israelii NCTC12972, Actinomyces howellii NCTC11636, Actinomyces sp. 299, Actinomyces sp. Chiba101, Actinomyces viscosus NCTC10951, Actinomyces sp. 410, Actinomyces oris T14V	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.DHNA-Biosynthesis.PWY-5837.	PWY-5837
biotin-carboxyl carrier protein assembly	0.736842105263	0.25	0.25	Actinomyces	Actinomyces gaoshouyii pika_114, Actinomyces radicidentis CCUG 36733, Actinomyces sp. Z16, Actinomyces sp. dk561, Actinomyces israelii NCTC12972, Actinomyces sp. 299, Actinomyces sp. Chiba101, Actinomyces slackii NCTC11923, Actinomyces pacaensis Marseille-P2985, Actinomyces viscosus NCTC10951, Actinomyces tangfeifanii VUL4_3, Actinomyces sp. 410, Actinomyces sp. oral taxon 897 F0631, Actinomyces oris T14V	Biosynthesis.Lipid-Biosynthesis.PWY0-1264.	PWY0-1264
[2Fe-2S] iron-sulfur cluster biosynthesis	0.578947368421	0.2	0.2	Actinomyces	Actinomyces gaoshouyii pika_114, Actinomyces sp. Z16, Actinomyces israelii NCTC12972, Actinomyces howellii NCTC11636, Actinomyces sp. 299, Actinomyces sp. Chiba101, Actinomyces slackii NCTC11923, Actinomyces tangfeifanii VUL4_3, Actinomyces sp. 410, Actinomyces sp. oral taxon 897 F0631, Actinomyces sp. oral taxon 414 F0588	Biosynthesis.Cofactor-Biosynthesis.PWY-7250.	PWY-7250
L-alanine biosynthesis III	0.578947368421	1.0	1.0	Actinomyces	Actinomyces gaoshouyii pika_114, Actinomyces sp. Z16, Actinomyces israelii NCTC12972, Actinomyces howellii NCTC11636, Actinomyces sp. 299, Actinomyces sp. Chiba101, Actinomyces slackii NCTC11923, Actinomyces tangfeifanii VUL4_3, Actinomyces sp. 410, Actinomyces sp. oral taxon 897 F0631, Actinomyces sp. oral taxon 414 F0588	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ALANINE-SYN.PWY0-1021.	PWY0-1021
pentose phosphate pathway (oxidative branch) I	0.473684210526	0.67	0.67	Actinomyces	Actinomyces gaoshouyii pika_114, Actinomyces sp. Z16, Actinomyces sp. dk561, Actinomyces howellii NCTC11636, Actinomyces sp. 299, Actinomyces slackii NCTC11923, Actinomyces viscosus NCTC10951, Actinomyces sp. 410, Actinomyces sp. oral taxon 897 F0631	Energy-Metabolism.Pentose-Phosphate-Cycle.OXIDATIVEPENT-PWY.	OXIDATIVEPENT-PWY
