Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
thiazole biosynthesis I (facultative anaerobic bacteria)	0.111111111111	0.43	0.86	Aerococcus	Aerococcus christensenii CCUG28831	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiazole-Biosynthesis.PWY-6892.	PWY-6892
heptaprenyl diphosphate biosynthesis	0.111111111111	1.0	1.0	Aerococcus	Aerococcus christensenii CCUG28831	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5807.	PWY-5807
thiazole biosynthesis II (aerobic bacteria)	0.111111111111	0.43	0.86	Aerococcus	Aerococcus christensenii CCUG28831	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiazole-Biosynthesis.PWY-6891.	PWY-6891
L-ascorbate degradation I (bacterial, anaerobic)	0.111111111111	1.0	2.5	Aerococcus	Aerococcus christensenii CCUG28831	Degradation.CARBOXYLATES-DEG.Ascorbate-Degradation.PWY0-301.	PWY0-301
D-xylose degradation I	0.111111111111	0.5	0.5	Aerococcus	Aerococcus christensenii CCUG28831	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.Xylose-Degradation.XYLCAT-PWY.	XYLCAT-PWY
L-sorbose degradation	0.111111111111	0.5	0.5	Aerococcus	Aerococcus christensenii CCUG28831	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.P302-PWY.	P302-PWY
acetate conversion to acetyl-CoA	0.111111111111	1.0	1.0	Aerococcus	Aerococcus christensenii CCUG28831	Degradation.CARBOXYLATES-DEG.PWY0-1313.	PWY0-1313
4-hydroxyphenylpyruvate biosynthesis	0.333333333333	1.0	1.0	Aerococcus	Aerococcus christensenii CCUG28831, Aerococcus urinae CCUG36881, Aerococcus sanguinicola CCUG43001	Biosynthesis.AROMATIC-COMPOUNDS-BIOSYN.PWY-5886.	PWY-5886
L-isoleucine degradation I	0.333333333333	0.5	0.5	Aerococcus	Aerococcus christensenii CCUG28831, Aerococcus urinae CCUG36881, Aerococcus viridans ATCC 11563	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ISOLEUCINE-DEG.ILEUDEG-PWY.	ILEUDEG-PWY
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	0.444444444444	0.5	0.5	Aerococcus	Aerococcus christensenii CCUG28831, Aerococcus urinaehominis CCUG42038B, Aerococcus urinae CCUG36881, Aerococcus sanguinicola CCUG43001	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PWY-5653.	PWY-5653
