Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
pyrimidine deoxyribonucleotides de novo biosynthesis III	0.0142857142857	0.89	1.33	Aeromonadaceae	Aeromonas caviae FDAARGOS_72	Metabolic-Clusters.PWY-6545./Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-De-Novo-Biosyn.Pyrimid-Deoxyribonucleot-De-Novo-Biosyn.PWY-6545./Biosynthesis.Nucleotide-Biosynthesis.Deoxyribonucleotide-Biosynthesis.Pyrimid-Deoxyribonucleot-De-Novo-Biosyn.PWY-6545.	PWY-6545
1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	0.0285714285714	1.0	1.14	Aeromonadaceae	Aeromonas dhakensis AAK1, Aeromonas hydrophila SSU	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.DHNA-Biosynthesis.PWY-5791./Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.PHENYLPROPANOID-SYN.QUINONE-SYN.PWY-5791.	PWY-5791
uracil degradation III	0.0285714285714	0.17	0.17	Aeromonadaceae	Aeromonas dhakensis AAK1, Aeromonas hydrophila SSU	Degradation.NUCLEO-DEG.Pyrimidine-Degradation.Pyrimidine-Base-Degradation.Uracil-Degradation.PWY0-1471.	PWY0-1471
D-galactose degradation II	0.0285714285714	0.5	0.5	Aeromonadaceae	Aeromonas dhakensis AAK1, Aeromonas hydrophila SSU	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.GALACTOSE-DEGRADATION.GALDEG-PWY.	GALDEG-PWY
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	0.314285714286	0.75	0.75	Aeromonadaceae	Aeromonas hydrophila 4AK4, Aeromonas sp. ASNIH5, Aeromonas rivipollensis KN-Mc-11N1, Aeromonas hydrophila KN-Mc-1R2, Aeromonas caviae FDAARGOS_72, Oceanisphaera profunda SM1222, Aeromonas veronii FC951, Aeromonas veronii X12, Aeromonas salmonicida O23A, Aeromonas sp. CA23, Aeromonas sp. ASNIH4, Aeromonas sp. CU5, Aeromonas encheleia NCTC12917, Aeromonas sp. ASNIH1, Aeromonas sp. ASNIH3, Aeromonas salmonicida A527, Zobellella denitrificans F13-1, Aeromonas caviae NCTC12244, Aeromonas dhakensis KN-Mc-6U21, Aeromonas hydrophila AH10, Aeromonas veronii 17ISAe, Aeromonas sp. ASNIH2	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PWY-5653.	PWY-5653
cellulose biosynthesis	0.214285714286	1.0	1.0	Aeromonadaceae	Aeromonas hydrophila 4AK4, Aeromonas sp. ASNIH5, Aeromonas rivipollensis KN-Mc-11N1, Aeromonas sp. CU5, Aeromonas sp. ASNIH1, Aeromonas sp. ASNIH7, Aeromonas sp. ASNIH3, Oceanimonas sp. GK1, Aeromonas caviae R25-6, Aeromonas caviae WCW1-2, Aeromonas caviae NCTC12244, Aeromonas caviae GSH8M-1, Aeromonas caviae T25-39, Aeromonas veronii X11, Aeromonas schubertii LF1708	Glycan-Glycan-Biosynthesis.Polysaccharides-Biosynthesis.PWY-1001./Biosynthesis.Cell-Structure-Biosynthesis.PLANT-CELL-STRUCTURE.SECONDARY-CELL-WALL.PWY-1001./Biosynthesis.Cell-Structure-Biosynthesis.PLANT-CELL-STRUCTURE.PRIMARY-CELL-WALL.PWY-1001./Biosynthesis.Carbohydrates-Biosynthesis.Glycan-Biosynthesis.Polysaccharides-Biosynthesis.PWY-1001./Biosynthesis.Carbohydrates-Biosynthesis.Polysaccharides-Biosynthesis.PWY-1001.	PWY-1001
fatty acid &beta;-oxidation III (unsaturated, odd number)	0.285714285714	1.0	1.0	Aeromonadaceae	Aeromonas hydrophila AL09-71, Aeromonas hydrophila YL17, Aeromonas salmonicida subsp. masoucida, Aeromonas hydrophila pc104A, Aeromonas hydrophila J-1, Aeromonas hydrophila NJ-35, Aeromonas hydrophila 4AK4, Aeromonas salmonicida S121, Aeromonas caviae FDAARGOS_72, Aeromonas salmonicida S44, Aeromonas hydrophila GYK1, Aeromonas encheleia NCTC12917, Aeromonas salmonicida S68, Aeromonas sp. ASNIH7, Aeromonas hydrophila D4, Aeromonas hydrophila ZYAH72, Aeromonas caviae NCTC12244, Aeromonas hydrophila AH10, Aeromonas hydrophila JBN2301, Aeromonas caviae GSH8M-1	Degradation.Fatty-Acid-and-Lipid-Degradation.Fatty-Acid-Degradation.PWY-5137.	PWY-5137
prenylated FMNH2 biosynthesis	0.0428571428571	0.33	0.33	Aeromonadaceae	Aeromonas hydrophila AL09-71, Aeromonas hydrophila pc104A, Aeromonas hydrophila 4AK4	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Flavin-Biosynthesis.PWY0-1597.	PWY0-1597
D-arabinose degradation I	0.142857142857	0.25	0.25	Aeromonadaceae	Aeromonas hydrophila AL09-71, Aeromonas hydrophila pc104A, Aeromonas hydrophila J-1, Aeromonas hydrophila NJ-35, Aeromonas hydrophila WCX23, Aeromonas hydrophila GYK1, Aeromonas hydrophila D4, Aeromonas hydrophila ZYAH72, Aeromonas hydrophila 23-C-23, Aeromonas hydrophila JBN2301	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.D-Arabinose-Degradation.DARABCATK12-PWY.	DARABCATK12-PWY
ethylene glycol degradation	0.157142857143	0.5	0.5	Aeromonadaceae	Aeromonas hydrophila AL09-71, Aeromonas hydrophila pc104A, Aeromonas hydrophila J-1, Aeromonas hydrophila NJ-35, Aeromonas hydrophila WCX23, Aeromonas hydrophila GYK1, Oceanimonas sp. GK1, Aeromonas hydrophila D4, Aeromonas hydrophila ZYAH72, Aeromonas hydrophila 23-C-23, Aeromonas hydrophila JBN2301	Degradation.Alcohol-Degradation.PWY0-1280.	PWY0-1280
