Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
pyruvate fermentation to ethanol I	0.266666666667	1.0	1.0	Aggregatibacter	Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter actinomycetemcomitans HK_907	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Ethanol-Fermentation.PWY-5480./Energy-Metabolism.Fermentation.Alcohol-Biosynthesis.Pyruvate-Ethanol-Fermentation.PWY-5480.	PWY-5480
galactitol degradation	0.533333333333	0.4	0.6	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter actinomycetemcomitans HK_907	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ALCOHOLS-DEG.GALACTITOLCAT-PWY.	GALACTITOLCAT-PWY
&beta;-D-glucuronide and D-glucuronate degradation	0.533333333333	0.33	0.33	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter actinomycetemcomitans HK_907	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.D-Glucuronate-Degradation.PWY-7247./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.D-Glucuronate-Degradation.PWY-7247.	PWY-7247
cis-vaccenate biosynthesis	0.466666666667	0.8	1.2	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter aphrophilus W10433, Aggregatibacter aphrophilus NJ8700	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.PWY-5973.	PWY-5973
mannitol degradation I	0.4	1.0	1.0	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ALCOHOLS-DEG.MANNIDEG-PWY.	MANNIDEG-PWY
UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	0.533333333333	1.0	1.0	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter aphrophilus NCTC11096, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter aphrophilus NJ8700	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.PWY-7346.	PWY-7346
ribose phosphorylation	0.666666666667	1.0	1.0	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter actinomycetemcomitans HK_907	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.RIBOKIN-PWY.	RIBOKIN-PWY
protein S-nitrosylation and denitrosylation	0.666666666667	0.2	0.2	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter actinomycetemcomitans HK_907	Macromolecule-Modification.Protein-Modification.PWY-7798.	PWY-7798
D-galactosamine and N-acetyl-D-galactosamine degradation	0.666666666667	0.5	0.75	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter actinomycetemcomitans HK_907	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY-7395.	PWY-7395
D-fructuronate degradation	0.666666666667	0.5	0.5	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter actinomycetemcomitans HK_907	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.PWY-7242./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.PWY-7242.	PWY-7242
D-xylose degradation I	0.666666666667	1.0	1.0	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter actinomycetemcomitans HK_907	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.Xylose-Degradation.XYLCAT-PWY.	XYLCAT-PWY
formaldehyde oxidation II (glutathione-dependent)	0.666666666667	0.67	0.67	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter actinomycetemcomitans HK_907	Degradation.C1-COMPOUNDS.Formaldehyde-Oxidation.PWY-1801.	PWY-1801
hydrogen production V	0.666666666667	0.5	0.5	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter aphrophilus ATCC 33389, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter aphrophilus NCTC11096, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter aphrophilus W10433, Aggregatibacter aphrophilus NJ8700	Energy-Metabolism.Hydrogen-Production.PWY-6772.	PWY-6772
L-methionine biosynthesis II (plants)	0.4	0.67	0.75	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter aphrophilus ATCC 33389, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter aphrophilus W10433, Aggregatibacter aphrophilus NJ8700	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.METHIONINE-SYN.Methionine-De-novo-Biosynthesis.PWY-702.	PWY-702
spermidine biosynthesis I	0.533333333333	0.5	0.5	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter aphrophilus ATCC 33389, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169	Biosynthesis.Polyamine-Biosynthesis.Spermidine-Biosynthesis.BSUBPOLYAMSYN-PWY.	BSUBPOLYAMSYN-PWY
L-ascorbate degradation I (bacterial, anaerobic)	0.866666666667	1.0	1.0	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter aphrophilus ATCC 33389, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter aphrophilus NCTC11096, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter actinomycetemcomitans HK_907, Aggregatibacter aphrophilus NJ8700	Degradation.CARBOXYLATES-DEG.Ascorbate-Degradation.PWY0-301.	PWY0-301
autoinducer AI-2 degradation	0.866666666667	1.0	1.0	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter aphrophilus ATCC 33389, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter aphrophilus NCTC11096, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter actinomycetemcomitans HK_907, Aggregatibacter aphrophilus NJ8700	Degradation.SECONDARY-METABOLITE-DEGRADATION.PWY0-1569.	PWY0-1569
L-serine degradation	0.866666666667	0.33	0.33	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter aphrophilus ATCC 33389, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter aphrophilus NCTC11096, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter aphrophilus W10433, Aggregatibacter actinomycetemcomitans HK_907	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.SERINE-DEG.SERDEG-PWY.	SERDEG-PWY
citrate lyase activation	0.933333333333	0.4	0.4	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter aphrophilus ATCC 33389, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter aphrophilus NCTC11096, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter aphrophilus W10433, Aggregatibacter actinomycetemcomitans HK_907, Aggregatibacter aphrophilus NJ8700	Biosynthesis.Cofactor-Biosynthesis.P2-PWY.	P2-PWY
methylerythritol phosphate pathway I	0.933333333333	0.67	0.67	Aggregatibacter	Aggregatibacter actinomycetemcomitans D7S-1, Aggregatibacter aphrophilus ATCC 33389, Aggregatibacter actinomycetemcomitans NUM4039, Aggregatibacter actinomycetemcomitans HK1651, Aggregatibacter actinomycetemcomitans ANH9381, Aggregatibacter actinomycetemcomitans IDH781, Aggregatibacter actinomycetemcomitans HK_973, Aggregatibacter aphrophilus NCTC11096, Aggregatibacter actinomycetemcomitans 624, Aggregatibacter actinomycetemcomitans VT1169, Aggregatibacter actinomycetemcomitans PN_696, Aggregatibacter aphrophilus W10433, Aggregatibacter actinomycetemcomitans HK_907, Aggregatibacter aphrophilus NJ8700	Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.Terpenoid-Biosynthesis.ISOPRENOIDS.Isopentenyl-Diphosphate-Biosynthesis.MEP-NONMEVIPP-PWY.	MEP-NONMEVIPP-PWY
