Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
hydroxymethylpyrimidine salvage	1.0	1.0	1.0	Aggregatibacter segnis	Aggregatibacter segnis ATCC 33393	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Salvage.PWY-6910.	PWY-6910
CDP-diacylglycerol biosynthesis I	1.0	1.0	1.75	Aggregatibacter segnis	Aggregatibacter segnis ATCC 33393	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.CDP-diacylglycerol-Biosynthesis.PWY-5667.	PWY-5667
3-dehydroquinate biosynthesis I	1.0	1.0	1.0	Aggregatibacter segnis	Aggregatibacter segnis ATCC 33393	Biosynthesis.AROMATIC-COMPOUNDS-BIOSYN.3-Dehydroquinate-Biosynthesis.PWY-6164.	PWY-6164
adenosine deoxyribonucleotides de novo biosynthesis II	1.0	1.0	1.5	Aggregatibacter segnis	Aggregatibacter segnis ATCC 33393	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotide-De-Novo-Biosynthesis.Purine-Deoxyribonuc-De-Novo-Biosynthesis.Adenosine-Deoxy-Denovo-Bbiosynthesis.PWY-7220./Biosynthesis.Nucleotide-Biosynthesis.Deoxyribonucleotide-Biosynthesis.Purine-Deoxyribonuc-De-Novo-Biosynthesis.Adenosine-Deoxy-Denovo-Bbiosynthesis.PWY-7220.	PWY-7220
methylglyoxal degradation I	1.0	0.67	0.67	Aggregatibacter segnis	Aggregatibacter segnis ATCC 33393	Degradation.Aldehyde-Degradation.Methylglyoxal-Detoxification.PWY-5386./Detoxification.Methylglyoxal-Detoxification.PWY-5386.	PWY-5386
formate to nitrite electron transfer	1.0	0.67	1.0	Aggregatibacter segnis	Aggregatibacter segnis ATCC 33393	Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1585./Energy-Metabolism.Electron-Transfer.PWY0-1585.	PWY0-1585
CDP-diacylglycerol biosynthesis II	1.0	1.0	1.75	Aggregatibacter segnis	Aggregatibacter segnis ATCC 33393	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.CDP-diacylglycerol-Biosynthesis.PWY0-1319.	PWY0-1319
formate assimilation into 5,10-methylenetetrahydrofolate	1.0	0.67	0.67	Aggregatibacter segnis	Aggregatibacter segnis ATCC 33393	Degradation.C1-COMPOUNDS.PWY-1722.	PWY-1722
glutathionylspermidine biosynthesis	1.0	1.0	1.0	Aggregatibacter segnis	Aggregatibacter segnis ATCC 33393	Biosynthesis.Polyamine-Biosynthesis.PWY-4121./Biosynthesis.Cofactor-Biosynthesis.Reductants.PWY-4121.	PWY-4121
ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	1.0	1.0	1.0	Aggregatibacter segnis	Aggregatibacter segnis ATCC 33393	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.ADP-Sugar-Biosynthesis.PWY0-1241.	PWY0-1241
L-serine biosynthesis I	1.0	0.67	0.67	Aggregatibacter segnis	Aggregatibacter segnis ATCC 33393	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.SERINE-BIOSYNTHESIS.SERSYN-PWY.	SERSYN-PWY
