Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
nitrogen fixation I (ferredoxin)	0.016393442623	1.0	4.0	Agrobacterium	Agrobacterium albertimagni AOL15	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrogen-Fixation.N2FIX-PWY.	N2FIX-PWY
sulfide oxidation I (sulfide-quinone reductase)	0.016393442623	1.0	1.0	Agrobacterium	Agrobacterium albertimagni AOL15	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Sulfide-Oxidation.P222-PWY./Energy-Metabolism.CHEMOAUTOTROPHIC-ENERGY-METABOLISM.P222-PWY.	P222-PWY
cardiolipin biosynthesis II	0.016393442623	1.0	1.0	Agrobacterium	Agrobacterium albertimagni AOL15	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.Cardiolipin-Biosynthesis.PWY-5269.	PWY-5269
glycolysis IV (plant cytosol)	0.0327868852459	1.0	1.45	Agrobacterium	Agrobacterium albertimagni AOL15, Agrobacterium arsenijevicii KFB 330	Energy-Metabolism.GLYCOLYSIS-VARIANTS.PWY-1042.	PWY-1042
1,4-dichlorobenzene degradation	0.0491803278689	0.14	0.14	Agrobacterium	Agrobacterium albertimagni AOL15, Agrobacterium genomosp. 8 J-07, Agrobacterium genomosp. 6 NCPPB 925	Degradation.CHLORINATED-COMPOUNDS-DEG.Chloroaromatic-Compounds-Degradation.Chlorobenzene-Degradation.14DICHLORBENZDEG-PWY./Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Chloroaromatic-Compounds-Degradation.Chlorobenzene-Degradation.14DICHLORBENZDEG-PWY.	14DICHLORBENZDEG-PWY
4,5-dichlorocatechol degradation	0.0491803278689	0.2	0.2	Agrobacterium	Agrobacterium albertimagni AOL15, Agrobacterium genomosp. 8 J-07, Agrobacterium genomosp. 6 NCPPB 925	Degradation.CHLORINATED-COMPOUNDS-DEG.Chloroaromatic-Compounds-Degradation.Chlorocatechol-Degradation.PWY-6093./Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Chloroaromatic-Compounds-Degradation.Chlorocatechol-Degradation.PWY-6093.	PWY-6093
3,4,6-trichlorocatechol degradation	0.0491803278689	0.17	0.17	Agrobacterium	Agrobacterium albertimagni AOL15, Agrobacterium genomosp. 8 J-07, Agrobacterium genomosp. 6 NCPPB 925	Degradation.CHLORINATED-COMPOUNDS-DEG.Chloroaromatic-Compounds-Degradation.Chlorocatechol-Degradation.PWY-6094./Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Chloroaromatic-Compounds-Degradation.Chlorocatechol-Degradation.PWY-6094.	PWY-6094
caffeine degradation V (bacteria, via trimethylurate)	0.016393442623	0.5	1.0	Agrobacterium	Agrobacterium arsenijevicii KFB 330	Degradation.SECONDARY-METABOLITE-DEGRADATION.N-CONTAINING-SECONDARY-CMPD-DEG.ALKALOIDS.CAFFEINE.PWY-6633.	PWY-6633
pyrimidine deoxyribonucleotides de novo biosynthesis III	0.0327868852459	0.84	1.11	Agrobacterium	Agrobacterium fabrum 12D13, Agrobacterium genomosp. 7 Zutra 3-1	Metabolic-Clusters.PWY-6545./Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-De-Novo-Biosyn.Pyrimid-Deoxyribonucleot-De-Novo-Biosyn.PWY-6545./Biosynthesis.Nucleotide-Biosynthesis.Deoxyribonucleotide-Biosynthesis.Pyrimid-Deoxyribonucleot-De-Novo-Biosyn.PWY-6545.	PWY-6545
oleandomycin activation/inactivation	0.016393442623	0.33	0.33	Agrobacterium	Agrobacterium fabrum 1D132	Activation-Inactivation-Interconversion.Interconversion.PWY-6972.	PWY-6972
