Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
L-valine degradation I	0.2	0.38	0.63	Agromyces	Agromyces aureus AR33	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.VALINE-DEG.VALDEG-PWY.	VALDEG-PWY
L-arginine degradation I (arginase pathway)	0.2	0.67	0.67	Agromyces	Agromyces aureus AR33	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ARGININE-DEG.ARGASEDEG-PWY./Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMATE-SYN.ARGASEDEG-PWY.	ARGASEDEG-PWY
catechol degradation to &beta;-ketoadipate	0.2	0.25	0.25	Agromyces	Agromyces aureus AR33	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Catechol-Degradation.CATECHOL-ORTHO-CLEAVAGE-PWY.	CATECHOL-ORTHO-CLEAVAGE-PWY
L-idonate degradation	0.2	0.67	0.67	Agromyces	Agromyces aureus AR33	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.IDNCAT-PWY./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.IDNCAT-PWY.	IDNCAT-PWY
4-sulfocatechol degradation	0.2	0.25	0.5	Agromyces	Agromyces aureus AR33	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Sulfoaromatics-Degradation.PWY-6041.	PWY-6041
two-component alkanesulfonate monooxygenase	0.2	1.0	2.0	Agromyces	Agromyces aureus AR33	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.ALKANEMONOX-PWY.	ALKANEMONOX-PWY
L-methionine biosynthesis II (plants)	0.2	0.67	1.0	Agromyces	Agromyces aureus AR33	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.METHIONINE-SYN.Methionine-De-novo-Biosynthesis.PWY-702.	PWY-702
testosterone and androsterone degradation to androstendione	0.2	0.33	0.33	Agromyces	Agromyces aureus AR33	Degradation.Fatty-Acid-and-Lipid-Degradation.Steroids-Degradation.PWY-6943.	PWY-6943
L-aspartate degradation I	0.2	1.0	1.0	Agromyces	Agromyces aureus AR33	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ASPARTATE-DEG.ASPARTATE-DEG1-PWY.	ASPARTATE-DEG1-PWY
NAD salvage pathway I (PNC VI cycle)	0.2	0.67	0.67	Agromyces	Agromyces aureus AR33	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PYRIDNUCSAL-PWY.	PYRIDNUCSAL-PWY
