Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)	0.0357142857143	0.27	0.27	Akkermansia	Akkermansia glycaniphila	Biosynthesis.Cofactor-Biosynthesis.Cobyrinate-diamide-Biosynthesis.PWY-7377.	PWY-7377
D-fructuronate degradation	0.0357142857143	0.25	0.25	Akkermansia	Akkermansia glycaniphila	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.PWY-7242./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.PWY-7242.	PWY-7242
&beta;-D-glucuronide and D-glucuronate degradation	0.0357142857143	0.33	0.33	Akkermansia	Akkermansia glycaniphila	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.D-Glucuronate-Degradation.PWY-7247./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.D-Glucuronate-Degradation.PWY-7247.	PWY-7247
arsenate detoxification II (glutaredoxin)	0.0357142857143	0.5	1.0	Akkermansia	Akkermansia glycaniphila	Detoxification.Arsenate-Detoxification.PWY-4621.	PWY-4621
heparin degradation	0.0357142857143	0.2	0.2	Akkermansia	Akkermansia glycaniphila	Degradation.Polymer-Degradation.POLYSACCHARIDES-DEG.Glycosaminoglycan-Degradation.PWY-7644./Degradation.Carbohydrates-Degradation.POLYSACCHARIDES-DEG.Glycosaminoglycan-Degradation.PWY-7644.	PWY-7644
CDP-diacylglycerol biosynthesis III	0.0714285714286	0.5	0.5	Akkermansia	Akkermansia glycaniphila, Akkermansia muciniphila YL44	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.CDP-diacylglycerol-Biosynthesis.PWY-5981.	PWY-5981
2-aminoethylphosphonate degradation I	0.0714285714286	0.83	0.83	Akkermansia	Akkermansia glycaniphila, Akkermansia sp. CAG:344	Degradation.Noncarbon-Nutrients.Phosphorus-Compounds.2-Aminoethylphosphonate-Degradation.PHOSPHONOTASE-PWY.	PHOSPHONOTASE-PWY
cadmium transport I	0.0357142857143	1.0	1.0	Akkermansia	Akkermansia muciniphila ATCC BAA-835	Transport-PWY-6213	Transport-PWY-6213
glycogen biosynthesis I (from ADP-D-Glucose)	0.0357142857143	0.67	0.67	Akkermansia	Akkermansia muciniphila ATCC BAA-835	Glycan-Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY.	GLYCOGENSYNTH-PWY
hydrogen oxidation II (aerobic, NAD)	0.0357142857143	1.0	1.0	Akkermansia	Akkermansia muciniphila ATCC BAA-835	Energy-Metabolism.CHEMOAUTOTROPHIC-ENERGY-METABOLISM.Hydrogen-Oxidation.PWY-5382.	PWY-5382
