Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
cadmium transport I	0.04	1.0	1.0	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Transport-PWY-6213	Transport-PWY-6213
glycogen biosynthesis I (from ADP-D-Glucose)	0.04	0.67	0.67	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Glycan-Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY.	GLYCOGENSYNTH-PWY
hydrogen oxidation II (aerobic, NAD)	0.04	1.0	1.0	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Energy-Metabolism.CHEMOAUTOTROPHIC-ENERGY-METABOLISM.Hydrogen-Oxidation.PWY-5382.	PWY-5382
pyruvate decarboxylation to acetyl CoA	0.04	0.67	1.0	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Degradation.CARBOXYLATES-DEG.PYRUVDEHYD-PWY./Energy-Metabolism.Acetyl-CoA-Biosynthesis.PYRUVDEHYD-PWY.	PYRUVDEHYD-PWY
gluconeogenesis I	0.04	0.69	0.92	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.Gluconeogenesis.GLUCONEO-PWY.	GLUCONEO-PWY
heptaprenyl diphosphate biosynthesis	0.04	1.0	1.0	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5807.	PWY-5807
hydrogen oxidation III (anaerobic, NADP)	0.04	1.0	1.0	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Energy-Metabolism.CHEMOAUTOTROPHIC-ENERGY-METABOLISM.Hydrogen-Oxidation.PWY-6512.	PWY-6512
lactose degradation III	0.04	1.0	7.0	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.LACTOSE-DEG.BGALACT-PWY.	BGALACT-PWY
8-amino-7-oxononanoate biosynthesis III	0.04	0.5	0.5	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Biosynthesis.Other-biosynthesis.7-Keto-8-aminopelargonate-Biosynthesis.PWY-6578.	PWY-6578
putrescine biosynthesis II	0.04	1.0	1.0	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Biosynthesis.Polyamine-Biosynthesis.Putrescine-Biosynthesis.PWY-43.	PWY-43
L-tyrosine biosynthesis I	0.04	0.67	0.67	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.TYROSINE-SYN.TYRSYN.	TYRSYN
pyrimidine ribonucleotides interconversion	0.04	0.36	0.36	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.PWY-5687.	PWY-5687
cellulose degradation I (cellulosome)	0.04	0.13	1.75	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Glycan-Glycan-Degradation.PWY-6805./Degradation.Polymer-Degradation.POLYSACCHARIDES-DEG.Glycan-Degradation.PWY-6805./Degradation.Polymer-Degradation.POLYSACCHARIDES-DEG.Cellulose-Degradation.PWY-6805./Degradation.Carbohydrates-Degradation.POLYSACCHARIDES-DEG.Glycan-Degradation.PWY-6805./Degradation.Carbohydrates-Degradation.POLYSACCHARIDES-DEG.Cellulose-Degradation.PWY-6805.	PWY-6805
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.04	0.4	0.4	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.6-HM-Dihydropterin-PP-Biosynthesis.PWY-6147.	PWY-6147
superpathway of guanosine nucleotides de novo biosynthesis II	0.04	0.67	1.0	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Super-PWY-6125./Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotide-De-Novo-Biosynthesis.PWY-6125.	PWY-6125
glutaryl-CoA degradation	0.04	0.2	0.2	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Degradation.CARBOXYLATES-DEG.PWY-5177.	PWY-5177
aerobic respiration I (cytochrome c)	0.04	0.5	1.5	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY-3781./Energy-Metabolism.Electron-Transfer.PWY-3781.	PWY-3781
dTDP-L-rhamnose biosynthesis	0.04	0.75	1.0	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.dTDP-Sugar-Biosynthesis.DTDPRHAMSYN-PWY.	DTDPRHAMSYN-PWY
L-serine biosynthesis I	0.04	0.33	0.33	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.SERINE-BIOSYNTHESIS.SERSYN-PWY.	SERSYN-PWY
