Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
hydroxymethylpyrimidine salvage	1.0	1.0	1.0	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Salvage.PWY-6910.	PWY-6910
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	1.0	1.0	1.0	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.HMP-PP-Biosynthesis.PWY-6890.	PWY-6890
CDP-diacylglycerol biosynthesis I	1.0	1.0	1.25	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.CDP-diacylglycerol-Biosynthesis.PWY-5667.	PWY-5667
urea cycle	1.0	0.6	0.8	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.PWY-4984.	PWY-4984
NAD de novo biosynthesis I (from aspartate)	1.0	1.0	1.17	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PYRIDNUCSYN-PWY.	PYRIDNUCSYN-PWY
thiazole biosynthesis I (facultative anaerobic bacteria)	1.0	0.57	0.57	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiazole-Biosynthesis.PWY-6892.	PWY-6892
selenate reduction	1.0	0.2	0.2	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Degradation.Noncarbon-Nutrients.Selenium-Metabolism.PWY-6932.	PWY-6932
L-ornithine degradation I (L-proline biosynthesis)	1.0	1.0	1.0	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.ORN-AMINOPENTANOATE-CAT-PWY./Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.PROLINE-SYN.ORN-AMINOPENTANOATE-CAT-PWY.	ORN-AMINOPENTANOATE-CAT-PWY
pyruvate decarboxylation to acetyl CoA	1.0	1.0	1.0	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Degradation.CARBOXYLATES-DEG.PYRUVDEHYD-PWY./Energy-Metabolism.Acetyl-CoA-Biosynthesis.PYRUVDEHYD-PWY.	PYRUVDEHYD-PWY
UDP-&alpha;-D-glucose biosynthesis I	1.0	1.0	1.5	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.PWY-7343.	PWY-7343
succinate to cytochrome bo oxidase electron transfer	1.0	1.0	4.5	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1329./Energy-Metabolism.Electron-Transfer.PWY0-1329.	PWY0-1329
5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	1.0	0.67	0.67	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Cobalamin-Biosynthesis.Cobamide-De-Novo-Biosynthesis.Adenosylcobamide-Biosynthesis.PWY-7968.	PWY-7968
menaquinol-9 biosynthesis	1.0	1.0	1.0	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.Menaquinone-Biosynthesis.PWY-5844.	PWY-5844
tetrahydrofolate biosynthesis	1.0	0.67	0.67	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.PWY-6614.	PWY-6614
gondoate biosynthesis (anaerobic)	1.0	1.0	2.25	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.PWY-7663.	PWY-7663
deethylsimazine degradation	1.0	0.5	0.5	Alcanivorax dieselolei	Alcanivorax dieselolei B5	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.s-Triazine-Degradation.PWY-5726.	PWY-5726
