Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	0.5	1.0	1.0	Alicycliphilus	Alicycliphilus denitrificans BC	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.PWY-7346.	PWY-7346
5-oxo-L-proline metabolism	0.5	0.17	0.17	Alicycliphilus	Alicycliphilus denitrificans BC	Macromolecule-Modification.Protein-Modification.PWY-7942.	PWY-7942
UDP-N-acetyl-&alpha;-D-mannosaminouronate biosynthesis	0.5	1.0	1.0	Alicycliphilus	Alicycliphilus denitrificans BC	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.PWY-7335.	PWY-7335
catechol degradation to &beta;-ketoadipate	0.5	1.0	1.0	Alicycliphilus	Alicycliphilus denitrificans BC	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Catechol-Degradation.CATECHOL-ORTHO-CLEAVAGE-PWY.	CATECHOL-ORTHO-CLEAVAGE-PWY
hydroxymethylpyrimidine salvage	1.0	1.0	1.5	Alicycliphilus	Alicycliphilus denitrificans BC, Alicycliphilus denitrificans K601	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Salvage.PWY-6910.	PWY-6910
cyclohexane-1-carboxylate degradation (anaerobic)	1.0	1.0	1.0	Alicycliphilus	Alicycliphilus denitrificans BC, Alicycliphilus denitrificans K601	Degradation.CARBOXYLATES-DEG.PWY-301.	PWY-301
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	1.0	1.0	1.5	Alicycliphilus	Alicycliphilus denitrificans BC, Alicycliphilus denitrificans K601	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.HMP-PP-Biosynthesis.PWY-6890.	PWY-6890
methylglyoxal degradation I	1.0	0.67	0.67	Alicycliphilus	Alicycliphilus denitrificans BC, Alicycliphilus denitrificans K601	Degradation.Aldehyde-Degradation.Methylglyoxal-Detoxification.PWY-5386./Detoxification.Methylglyoxal-Detoxification.PWY-5386.	PWY-5386
phenol degradation I (aerobic)	1.0	1.0	4.5	Alicycliphilus	Alicycliphilus denitrificans BC, Alicycliphilus denitrificans K601	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Phenolic-Compounds-Degradation.Phenol-Degradation.PWY-5418.	PWY-5418
urea cycle	1.0	1.0	1.2	Alicycliphilus	Alicycliphilus denitrificans BC, Alicycliphilus denitrificans K601	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.PWY-4984.	PWY-4984
NAD de novo biosynthesis I (from aspartate)	1.0	0.75	0.92	Alicycliphilus	Alicycliphilus denitrificans BC, Alicycliphilus denitrificans K601	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PYRIDNUCSYN-PWY.	PYRIDNUCSYN-PWY
L-serine biosynthesis I	1.0	1.0	1.83	Alicycliphilus	Alicycliphilus denitrificans BC, Alicycliphilus denitrificans K601	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.SERINE-BIOSYNTHESIS.SERSYN-PWY.	SERSYN-PWY
benzoyl-CoA degradation III (anaerobic)	1.0	0.22	0.28	Alicycliphilus	Alicycliphilus denitrificans BC, Alicycliphilus denitrificans K601	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Benzoyl-CoA-Degradation.P321-PWY.	P321-PWY
selenate reduction	1.0	0.2	0.4	Alicycliphilus	Alicycliphilus denitrificans BC, Alicycliphilus denitrificans K601	Degradation.Noncarbon-Nutrients.Selenium-Metabolism.PWY-6932.	PWY-6932
L-ornithine degradation I (L-proline biosynthesis)	1.0	1.0	1.0	Alicycliphilus	Alicycliphilus denitrificans BC, Alicycliphilus denitrificans K601	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.ORN-AMINOPENTANOATE-CAT-PWY./Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.PROLINE-SYN.ORN-AMINOPENTANOATE-CAT-PWY.	ORN-AMINOPENTANOATE-CAT-PWY
pyruvate decarboxylation to acetyl CoA	1.0	1.0	2.67	Alicycliphilus	Alicycliphilus denitrificans BC, Alicycliphilus denitrificans K601	Degradation.CARBOXYLATES-DEG.PYRUVDEHYD-PWY./Energy-Metabolism.Acetyl-CoA-Biosynthesis.PYRUVDEHYD-PWY.	PYRUVDEHYD-PWY
