Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
D-glucosaminate degradation	0.5	0.67	0.67	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Degradation.CARBOXYLATES-DEG.PWY-7310.	PWY-7310
L-serine biosynthesis I	0.5	0.67	0.67	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.SERINE-BIOSYNTHESIS.SERSYN-PWY.	SERSYN-PWY
gluconeogenesis I	0.5	0.69	0.85	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.Gluconeogenesis.GLUCONEO-PWY.	GLUCONEO-PWY
heptaprenyl diphosphate biosynthesis	0.5	1.0	1.0	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5807.	PWY-5807
UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	0.5	1.0	1.0	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.PWY-7346.	PWY-7346
ribose phosphorylation	0.5	1.0	1.0	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.RIBOKIN-PWY.	RIBOKIN-PWY
L-valine degradation I	0.5	0.5	0.75	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.VALINE-DEG.VALDEG-PWY.	VALDEG-PWY
tRNA processing	0.5	0.3	0.3	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Macromolecule-Modification.Nucleic-Acid-Processing.PWY0-1479.	PWY0-1479
2-methylcitrate cycle I	0.5	0.4	0.4	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Degradation.CARBOXYLATES-DEG.Propionate-Degradation.Methyl-Citrate-Cycle.PWY0-42.	PWY0-42
&beta;-alanine biosynthesis III	0.5	1.0	2.0	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.Beta-Alanine-Biosynthesis.PWY-5155.	PWY-5155
nitrate reduction V (assimilatory)	0.5	0.5	0.75	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY-5675.	PWY-5675
nitrate reduction IV (dissimilatory)	0.5	0.5	0.5	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY-5674./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY-5674.	PWY-5674
two-component alkanesulfonate monooxygenase	0.5	1.0	2.5	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.ALKANEMONOX-PWY.	ALKANEMONOX-PWY
nitrate reduction IX (dissimilatory)	0.5	0.5	0.5	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY0-1581./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1581./Energy-Metabolism.Electron-Transfer.PWY0-1581.	PWY0-1581
inosine-5'-phosphate biosynthesis II	0.5	1.0	1.0	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotide-De-Novo-Biosynthesis.Purine-Ribonuc-De-Novo-Biosynthesis.IMP-Biosynthesis.PWY-6124.	PWY-6124
tetrapyrrole biosynthesis I (from glutamate)	0.5	1.0	1.17	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Biosynthesis.Cofactor-Biosynthesis.Tetrapyrrole-Biosynthesis.PWY-5188.	PWY-5188
molybdenum cofactor biosynthesis	0.5	0.5	0.75	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Biosynthesis.Cofactor-Biosynthesis.Molybdenum-Cofactor-Biosynthesis.PWY-6823.	PWY-6823
L-malate degradation II	0.5	1.0	2.0	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Degradation.CARBOXYLATES-DEG.L-Malate-Degradation.PWY-7686.	PWY-7686
CDP-diacylglycerol biosynthesis II	0.5	1.0	1.0	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.CDP-diacylglycerol-Biosynthesis.PWY0-1319.	PWY0-1319
coenzyme A biosynthesis I (prokaryotic)	0.5	1.0	1.0	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Biosynthesis.Cofactor-Biosynthesis.CoA-Biosynthesis.COA-PWY.	COA-PWY
UMP biosynthesis II	0.5	1.0	1.17	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-De-Novo-Biosyn.Pyrimid-Ribonucleot-De-Novo-Biosyn.UMP-Biosynthesis.PWY-7790.	PWY-7790
L-rhamnose degradation I	0.5	0.6	0.6	Alicyclobacillus	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.L-rhamnose-Degradation.RHAMCAT-PWY.	RHAMCAT-PWY
