Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
L-selenocysteine biosynthesis I (bacteria)	0.2	0.67	0.67	Aliivibrio	Aliivibrio fischeri ES114	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.Selenocysteine-Biosynthesis.PWY0-901.	PWY0-901
L-alanine degradation II (to D-lactate)	0.2	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ALANINE-DEG.ALACAT2-PWY.	ALACAT2-PWY
acetoacetate degradation (to acetyl CoA)	0.2	0.5	0.5	Aliivibrio	Aliivibrio fischeri ES114	Degradation.Fatty-Acid-and-Lipid-Degradation.ACETOACETATE-DEG-PWY.	ACETOACETATE-DEG-PWY
dissimilatory sulfate reduction II (to thiosulfate)	0.2	0.4	0.6	Aliivibrio	Aliivibrio fischeri ES114	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Dissimilatory-Sulfate-Reduction.P224-PWY./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.P224-PWY.	P224-PWY
uracil degradation I (reductive)	0.2	0.33	0.33	Aliivibrio	Aliivibrio fischeri ES114	Degradation.NUCLEO-DEG.Pyrimidine-Degradation.Pyrimidine-Base-Degradation.Uracil-Degradation.PWY-3982./Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.Beta-Alanine-Biosynthesis.PWY-3982.	PWY-3982
uracil degradation III	0.2	0.17	0.17	Aliivibrio	Aliivibrio fischeri ES114	Degradation.NUCLEO-DEG.Pyrimidine-Degradation.Pyrimidine-Base-Degradation.Uracil-Degradation.PWY0-1471.	PWY0-1471
sulfur oxidation IV (intracellular sulfur)	0.2	0.2	0.2	Aliivibrio	Aliivibrio fischeri ES114	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Sulfur-Oxidation.PWY-6675.	PWY-6675
carbazole degradation	0.2	0.25	0.25	Aliivibrio	Aliivibrio fischeri ES114	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.PWY-6550.	PWY-6550
formate to dimethyl sulfoxide electron transfer	0.2	1.0	2.0	Aliivibrio	Aliivibrio fischeri ES114	Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1356./Energy-Metabolism.Electron-Transfer.PWY0-1356.	PWY0-1356
TCA cycle II (plants and fungi)	0.2	1.0	1.67	Aliivibrio	Aliivibrio fischeri ES114	Energy-Metabolism.TCA-VARIANTS.PWY-5690.	PWY-5690
dissimilatory sulfate reduction I (to hydrogen sufide))	0.2	0.4	0.6	Aliivibrio	Aliivibrio fischeri ES114	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Dissimilatory-Sulfate-Reduction.DISSULFRED-PWY./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.DISSULFRED-PWY.	DISSULFRED-PWY
atrazine degradation I (aerobic)	0.2	0.33	0.33	Aliivibrio	Aliivibrio fischeri ES114	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.s-Triazine-Degradation.Atrazine-Degradation.P141-PWY.	P141-PWY
thymine degradation	0.2	0.33	0.33	Aliivibrio	Aliivibrio fischeri ES114	Degradation.NUCLEO-DEG.Pyrimidine-Degradation.Pyrimidine-Base-Degradation.PWY-6430.	PWY-6430
L-cysteine biosynthesis III (from L-homocysteine)	0.2	0.5	0.5	Aliivibrio	Aliivibrio fischeri ES114	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.HOMOCYSTEINE-DEG.HOMOCYSDEGR-PWY./Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.CYSTEINE-SYN.HOMOCYSDEGR-PWY.	HOMOCYSDEGR-PWY
pseudouridine degradation	0.2	0.5	2.5	Aliivibrio	Aliivibrio fischeri ES114	Degradation.NUCLEO-DEG.Purine-Degradation.PWY-6019.	PWY-6019
urea degradation I	0.4	0.5	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238	Degradation.AMINE-DEG.Urea-Degradation.PWY-5703.	PWY-5703
formate to trimethylamine N-oxide electron transfer	0.4	1.0	2.25	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238	Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1355./Energy-Metabolism.Electron-Transfer.PWY0-1355.	PWY0-1355
fatty acid biosynthesis initiation III	0.4	1.0	2.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.PWY-5965.	PWY-5965
hydrogen sulfide biosynthesis I	0.4	0.75	0.75	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Hydrogen-Sulfide-Biosynthesis.PWY0-1534.	PWY0-1534
ammonium transport	0.4	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238	Transport-PWY-5986/Degradation.Noncarbon-Nutrients.NITROGEN-DEG	Noncarbon-Nutrients
cyanuric acid degradation II	0.4	0.33	0.67	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Cyanurate-Degradation.PWY-5169.	PWY-5169
fatty acid biosynthesis initiation II	0.4	1.0	2.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.PWY-5966.	PWY-5966
L-cysteine degradation III	0.4	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.CYSTEINE-DEG.PWY-5329.	PWY-5329
CMP-N-acetylneuraminate biosynthesis II (bacteria)	0.6	1.0	2.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.CMP-Sugar-Biosynthesis.CMP-N-Acetylneuraminate-Biosynthesis.PWY-6139.	PWY-6139
L-threonine degradation I	0.8	0.54	0.63	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.THREONINE-DEG.PWY-5437.	PWY-5437
8-oxo-(d)GTP detoxification I	0.8	0.25	0.25	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis	Detoxification.8-Oxo-GTP-Detoxification.PWY-6502./Metabolic-Clusters.PWY-6502.	PWY-6502
