Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
urea degradation II	0.111111111111	1.0	3.0	Alistipes	Alistipes finegoldii DSM 17242	Degradation.AMINE-DEG.Urea-Degradation.PWY-5704.	PWY-5704
heptaprenyl diphosphate biosynthesis	0.111111111111	1.0	1.0	Alistipes	Alistipes finegoldii DSM 17242	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5807.	PWY-5807
pyruvate fermentation to propanoate I	0.111111111111	0.71	1.0	Alistipes	Alistipes finegoldii DSM 17242	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Propanoate-Fermentation.P108-PWY./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Fermentation-to-propanoate.Pyruvate-Propanoate-Fermentation.P108-PWY.	P108-PWY
glutaryl-CoA degradation	0.111111111111	0.2	0.2	Alistipes	Alistipes finegoldii DSM 17242	Degradation.CARBOXYLATES-DEG.PWY-5177.	PWY-5177
UDP-&alpha;-D-xylose biosynthesis	0.111111111111	1.0	1.5	Alistipes	Alistipes finegoldii DSM 17242	Super-PWY-4821./Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.PWY-4821.	PWY-4821
phenylacetate degradation II (anaerobic)	0.111111111111	0.33	0.33	Alistipes	Alistipes finegoldii DSM 17242	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Phenolic-Compounds-Degradation.Phenylacetate-Degradation.PWY-1341.	PWY-1341
phenylacetate degradation I (aerobic)	0.111111111111	0.11	0.11	Alistipes	Alistipes finegoldii DSM 17242	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Phenolic-Compounds-Degradation.Phenylacetate-Degradation.PWY0-321.	PWY0-321
2-O-&alpha;-mannosyl-D-glycerate degradation	0.111111111111	0.5	0.5	Alistipes	Alistipes finegoldii DSM 17242	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY0-1300.	PWY0-1300
methanol oxidation to formaldehyde I	0.111111111111	1.0	1.0	Alistipes	Alistipes finegoldii DSM 17242	Degradation.C1-COMPOUNDS.Methanol-Oxidation.PWY-6966.	PWY-6966
erythro-tetrahydrobiopterin biosynthesis I	0.111111111111	0.67	0.67	Alistipes	Alistipes finegoldii DSM 17242	Biosynthesis.Cofactor-Biosynthesis.Tetrahydrobiopterin-Biosynthesis.PWY-5663.	PWY-5663
methanol oxidation to formaldehyde II	0.111111111111	1.0	1.0	Alistipes	Alistipes finegoldii DSM 17242	Degradation.C1-COMPOUNDS.Methanol-Oxidation.PWY-6510.	PWY-6510
ubiquinol-8 biosynthesis (prokaryotic)	0.111111111111	0.25	0.38	Alistipes	Alistipes finegoldii DSM 17242	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.Ubiquinone-Biosynthesis.PWY-6708.	PWY-6708
glycerol degradation V	0.111111111111	0.5	0.5	Alistipes	Alistipes finegoldii DSM 17242	Degradation.Alcohol-Degradation.GLYCEROL-DEG.GLYCEROLMETAB-PWY.	GLYCEROLMETAB-PWY
sulfolactate degradation III	0.111111111111	0.25	0.25	Alistipes	Alistipes finegoldii DSM 17242	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Sulfolactate-Degradation.PWY-6638.	PWY-6638
L-methionine biosynthesis I	0.111111111111	0.4	0.4	Alistipes	Alistipes finegoldii DSM 17242	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.METHIONINE-SYN.Methionine-De-novo-Biosynthesis.HOMOSER-METSYN-PWY.	HOMOSER-METSYN-PWY
CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)	0.111111111111	1.0	1.0	Alistipes	Alistipes finegoldii DSM 17242	Biosynthesis.Carbohydrates-Biosynthesis.Polysaccharides-Biosynthesis.CMP-KDO-Biosynthesis.PWY-5111./Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.PWY-5111.	PWY-5111
acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)	0.111111111111	1.0	1.0	Alistipes	Alistipes finegoldii DSM 17242	Energy-Metabolism.Acetyl-CoA-Biosynthesis.PWY-6970.	PWY-6970
CDP-diacylglycerol biosynthesis III	0.111111111111	0.8	1.2	Alistipes	Alistipes finegoldii DSM 17242	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.CDP-diacylglycerol-Biosynthesis.PWY-5981.	PWY-5981
glycogen biosynthesis I (from ADP-D-Glucose)	0.222222222222	0.5	0.5	Alistipes	Alistipes finegoldii DSM 17242, Alistipes shahii WAL 8301	Glycan-Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY.	GLYCOGENSYNTH-PWY
cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	0.222222222222	0.06	0.18	Alistipes	Alistipes finegoldii DSM 17242, Alistipes shahii WAL 8301	Degradation.Fatty-Acid-and-Lipid-Degradation.Steroids-Degradation.Cholesterol-Degradation.PWY-6946.	PWY-6946
lactose degradation III	0.222222222222	1.0	8.0	Alistipes	Alistipes finegoldii DSM 17242, Alistipes shahii WAL 8301	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.LACTOSE-DEG.BGALACT-PWY.	BGALACT-PWY
cholesterol degradation to androstenedione I (cholesterol oxidase)	0.222222222222	0.06	0.18	Alistipes	Alistipes finegoldii DSM 17242, Alistipes shahii WAL 8301	Degradation.Fatty-Acid-and-Lipid-Degradation.Steroids-Degradation.Cholesterol-Degradation.PWY-6945.	PWY-6945
pyrimidine ribonucleotides interconversion	0.222222222222	0.27	0.32	Alistipes	Alistipes finegoldii DSM 17242, Alistipes shahii WAL 8301	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.PWY-5687.	PWY-5687
cellulose degradation I (cellulosome)	0.222222222222	0.13	0.56	Alistipes	Alistipes finegoldii DSM 17242, Alistipes shahii WAL 8301	Glycan-Glycan-Degradation.PWY-6805./Degradation.Polymer-Degradation.POLYSACCHARIDES-DEG.Glycan-Degradation.PWY-6805./Degradation.Polymer-Degradation.POLYSACCHARIDES-DEG.Cellulose-Degradation.PWY-6805./Degradation.Carbohydrates-Degradation.POLYSACCHARIDES-DEG.Glycan-Degradation.PWY-6805./Degradation.Carbohydrates-Degradation.POLYSACCHARIDES-DEG.Cellulose-Degradation.PWY-6805.	PWY-6805
superpathway of guanosine nucleotides de novo biosynthesis II	0.222222222222	0.44	0.44	Alistipes	Alistipes finegoldii DSM 17242, Alistipes shahii WAL 8301	Super-PWY-6125./Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotide-De-Novo-Biosynthesis.PWY-6125.	PWY-6125
