Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
CDP-diacylglycerol biosynthesis I	1.0	0.75	0.75	Allobaculum	Allobaculum stercoricanis DSM 13633	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.CDP-diacylglycerol-Biosynthesis.PWY-5667.	PWY-5667
fructoselysine and psicoselysine degradation	1.0	0.33	0.33	Allobaculum	Allobaculum stercoricanis DSM 13633	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.PWY0-521.	PWY0-521
3-dehydroquinate biosynthesis I	1.0	1.0	1.5	Allobaculum	Allobaculum stercoricanis DSM 13633	Biosynthesis.AROMATIC-COMPOUNDS-BIOSYN.3-Dehydroquinate-Biosynthesis.PWY-6164.	PWY-6164
glycogen biosynthesis I (from ADP-D-Glucose)	1.0	1.0	1.0	Allobaculum	Allobaculum stercoricanis DSM 13633	Glycan-Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY.	GLYCOGENSYNTH-PWY
formate assimilation into 5,10-methylenetetrahydrofolate	1.0	0.75	0.75	Allobaculum	Allobaculum stercoricanis DSM 13633	Degradation.C1-COMPOUNDS.PWY-1722.	PWY-1722
L-citrulline degradation	1.0	0.5	0.5	Allobaculum	Allobaculum stercoricanis DSM 13633	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.CITRULLINE-DEG-PWY.	CITRULLINE-DEG-PWY
NAD de novo biosynthesis I (from aspartate)	1.0	0.33	0.33	Allobaculum	Allobaculum stercoricanis DSM 13633	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PYRIDNUCSYN-PWY.	PYRIDNUCSYN-PWY
L-serine biosynthesis I	1.0	0.33	0.33	Allobaculum	Allobaculum stercoricanis DSM 13633	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.SERINE-BIOSYNTHESIS.SERSYN-PWY.	SERSYN-PWY
geranyl diphosphate biosynthesis	1.0	1.0	1.0	Allobaculum	Allobaculum stercoricanis DSM 13633	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5122.	PWY-5122
L-lactaldehyde degradation (aerobic)	1.0	0.5	0.5	Allobaculum	Allobaculum stercoricanis DSM 13633	Degradation.Aldehyde-Degradation.Lactaldehyde-Degradation.PWY0-1317.	PWY0-1317
glycolysis I (from glucose 6-phosphate)	1.0	0.82	1.0	Allobaculum	Allobaculum stercoricanis DSM 13633	Energy-Metabolism.GLYCOLYSIS-VARIANTS.GLYCOLYSIS.	GLYCOLYSIS
L-ornithine degradation II (Stickland reaction)	1.0	0.22	0.22	Allobaculum	Allobaculum stercoricanis DSM 13633	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.PWY-6344.	PWY-6344
queuosine biosynthesis	1.0	0.25	0.25	Allobaculum	Allobaculum stercoricanis DSM 13633	Macromolecule-Modification.Nucleic-Acid-Processing.PWY-6700.	PWY-6700
gluconeogenesis I	1.0	0.54	0.62	Allobaculum	Allobaculum stercoricanis DSM 13633	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.Gluconeogenesis.GLUCONEO-PWY.	GLUCONEO-PWY
acetate and ATP formation from acetyl-CoA I	1.0	1.0	1.0	Allobaculum	Allobaculum stercoricanis DSM 13633	Degradation.CARBOXYLATES-DEG.Acetate-Formation.PWY0-1312./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Acetate-Formation.PWY0-1312.	PWY0-1312
D-glucarate degradation I	1.0	0.25	0.25	Allobaculum	Allobaculum stercoricanis DSM 13633	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.D-Glucarate-Degradation.GLUCARDEG-PWY./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.D-Glucarate-Degradation.GLUCARDEG-PWY.	GLUCARDEG-PWY
tetrahydrofolate biosynthesis	1.0	0.33	0.33	Allobaculum	Allobaculum stercoricanis DSM 13633	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.PWY-6614.	PWY-6614
glycerol degradation I	1.0	0.5	1.0	Allobaculum	Allobaculum stercoricanis DSM 13633	Degradation.Fatty-Acid-and-Lipid-Degradation.PWY-4261./Degradation.Alcohol-Degradation.GLYCEROL-DEG.PWY-4261.	PWY-4261
L-serine degradation	1.0	1.0	2.0	Allobaculum	Allobaculum stercoricanis DSM 13633	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.SERINE-DEG.SERDEG-PWY.	SERDEG-PWY
succinate fermentation to butanoate	1.0	0.13	0.13	Allobaculum	Allobaculum stercoricanis DSM 13633	Energy-Metabolism.Fermentation.Fermentation-to-Acids.Acetyl-CoA-Butyrate.PWY-5677.	PWY-5677
mixed acid fermentation	1.0	0.44	0.5	Allobaculum	Allobaculum stercoricanis DSM 13633	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Ethanol-Fermentation.FERMENTATION-PWY./Energy-Metabolism.Fermentation.Alcohol-Biosynthesis.Pyruvate-Ethanol-Fermentation.FERMENTATION-PWY./Energy-Metabolism.Fermentation.Fermentation-to-Acids.FERMENTATION-PWY.	FERMENTATION-PWY
L-aspartate degradation I	1.0	1.0	1.0	Allobaculum	Allobaculum stercoricanis DSM 13633	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ASPARTATE-DEG.ASPARTATE-DEG1-PWY.	ASPARTATE-DEG1-PWY
guanine and guanosine salvage	1.0	0.5	0.5	Allobaculum	Allobaculum stercoricanis DSM 13633	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Guanine-Guanosine-Salvage.PWY-6620.	PWY-6620
pentose phosphate pathway (non-oxidative branch)	1.0	0.8	1.2	Allobaculum	Allobaculum stercoricanis DSM 13633	Energy-Metabolism.Pentose-Phosphate-Cycle.NONOXIPENT-PWY.	NONOXIPENT-PWY
salvage pathways of pyrimidine ribonucleotides	1.0	0.25	0.25	Allobaculum	Allobaculum stercoricanis DSM 13633	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-Nucleotide-Salvage.PWY0-163.	PWY0-163
4-deoxy-L-threo-hex-4-enopyranuronate degradation	1.0	0.5	0.5	Allobaculum	Allobaculum stercoricanis DSM 13633	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.PWY-6507.	PWY-6507
heterolactic fermentation	1.0	0.56	0.67	Allobaculum	Allobaculum stercoricanis DSM 13633	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Ethanol-Fermentation.P122-PWY./Energy-Metabolism.Fermentation.Alcohol-Biosynthesis.Pyruvate-Ethanol-Fermentation.P122-PWY./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Fermentation-to-Lactate.P122-PWY.	P122-PWY
