Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
ectoine degradation	0.0113636363636	0.5	0.5	Alteromonadaceae	Agarivorans gilvus WH0801	Degradation.AMINE-DEG.PWY-7855.	PWY-7855
adenine and adenosine salvage V	0.0113636363636	1.0	1.33	Alteromonadaceae	Agarivorans gilvus WH0801	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Adenine-Adenosine-Salvage.PWY-6611.	PWY-6611
guanine and guanosine salvage III	0.0113636363636	1.0	1.0	Alteromonadaceae	Agarivorans gilvus WH0801	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Guanine-Guanosine-Salvage.PWY-6618.	PWY-6618
autoinducer AI-2 biosynthesis I	0.0340909090909	0.4	0.4	Alteromonadaceae	Agarivorans gilvus WH0801, Alteromonas lipolytica JW12, Alteromonas sp 190	Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.Autoinducer-Biosynthesis.PWY-6153.	PWY-6153
L-methionine biosynthesis II (plants)	0.0227272727273	0.83	0.83	Alteromonadaceae	Agarivorans gilvus WH0801, Alteromonas sp I10	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.METHIONINE-SYN.Methionine-De-novo-Biosynthesis.PWY-702.	PWY-702
cytidylyl molybdenum cofactor biosynthesis	0.0340909090909	1.0	1.0	Alteromonadaceae	Agarivorans gilvus WH0801, Alteromonas sp I10, Paraglaciecola sp.  S66	Biosynthesis.Cofactor-Biosynthesis.PWY-6476.	PWY-6476
guanosine deoxyribonucleotides de novo biosynthesis II	0.0340909090909	1.0	1.5	Alteromonadaceae	Agarivorans gilvus WH0801, Catenovulum sp. CCB-QB4, Lacimicrobium alkaliphilum YelD216	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotide-De-Novo-Biosynthesis.Purine-Deoxyribonuc-De-Novo-Biosynthesis.Guanosine-Deoxy-Denovo-Biosynthesis.PWY-7222./Biosynthesis.Nucleotide-Biosynthesis.Deoxyribonucleotide-Biosynthesis.Purine-Deoxyribonuc-De-Novo-Biosynthesis.Guanosine-Deoxy-Denovo-Biosynthesis.PWY-7222.	PWY-7222
adenosine deoxyribonucleotides de novo biosynthesis II	0.0340909090909	1.0	1.5	Alteromonadaceae	Agarivorans gilvus WH0801, Catenovulum sp. CCB-QB4, Lacimicrobium alkaliphilum YelD216	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotide-De-Novo-Biosynthesis.Purine-Deoxyribonuc-De-Novo-Biosynthesis.Adenosine-Deoxy-Denovo-Bbiosynthesis.PWY-7220./Biosynthesis.Nucleotide-Biosynthesis.Deoxyribonucleotide-Biosynthesis.Purine-Deoxyribonuc-De-Novo-Biosynthesis.Adenosine-Deoxy-Denovo-Bbiosynthesis.PWY-7220.	PWY-7220
polymyxin resistance	0.0340909090909	0.33	0.5	Alteromonadaceae	Agarivorans gilvus WH0801, Paraglaciecola sp.  S66, Alteromonas marina AD001	Detoxification.Antibiotic-Resistance.PWY0-1338./Biosynthesis.Cell-Structure-Biosynthesis.Lipopolysaccharide-Biosynthesis.PWY0-1338.	PWY0-1338
D-serine metabolism	0.0227272727273	0.5	0.5	Alteromonadaceae	Alteromonas australica H 17, Alteromonas australica DE170	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.D-Amino-Acid-Degradation.PWY-6196./Super-PWY-6196./Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.PWY-6196.	PWY-6196
rhamnogalacturonan type I degradation II (bacteria)	0.0795454545455	0.33	0.33	Alteromonadaceae	Alteromonas australica H 17, Alteromonas australica DE170, Alteromonas sp I10, Paraglaciecola sp.  S66, Alteromonas lipolytica JW12, Alteromonas sp W12, Alteromonas confluentis KCTC 42603	Degradation.Polymer-Degradation.POLYSACCHARIDES-DEG.Rhamnogalacturonan-Degradation.PWY-6771./Degradation.Carbohydrates-Degradation.POLYSACCHARIDES-DEG.Rhamnogalacturonan-Degradation.PWY-6771.	PWY-6771
copper transport I	0.0454545454545	0.5	0.5	Alteromonadaceae	Alteromonas australica H 17, Alteromonas australica DE170, Alteromonas sp P0211, Alteromonas sp 190	Transport-PWY-6135	Transport-PWY-6135
2-O-&alpha;-mannosyl-D-glycerate degradation	0.0227272727273	0.5	0.75	Alteromonadaceae	Alteromonas australica H 17, Alteromonas gracilis 9a2	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY0-1300.	PWY0-1300
