Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
coenzyme M biosynthesis I	0.0188679245283	0.14	0.14	Alteromonas	Alteromonas aestuariivivens KCTC 52655	Biosynthesis.Cofactor-Biosynthesis.Coenzyme-M-Biosynthesis.P261-PWY.	P261-PWY
cardiolipin biosynthesis II	0.0377358490566	1.0	1.0	Alteromonas	Alteromonas aestuariivivens KCTC 52655, Alteromonas sp 190	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.Cardiolipin-Biosynthesis.PWY-5269.	PWY-5269
L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	0.0377358490566	0.75	1.75	Alteromonas	Alteromonas australica H 17, Alteromonas australica DE170	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ARGININE-DEG.PWY0-823.	PWY0-823
D-serine metabolism	0.0377358490566	0.5	0.5	Alteromonas	Alteromonas australica H 17, Alteromonas australica DE170	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.D-Amino-Acid-Degradation.PWY-6196./Super-PWY-6196./Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.PWY-6196.	PWY-6196
L-arginine degradation I (arginase pathway)	0.0566037735849	0.5	0.75	Alteromonas	Alteromonas australica H 17, Alteromonas australica DE170, Alteromonas confluentis KCTC 42603	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ARGININE-DEG.ARGASEDEG-PWY./Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMATE-SYN.ARGASEDEG-PWY.	ARGASEDEG-PWY
4-aminobutanoate degradation II	0.0754716981132	1.0	1.5	Alteromonas	Alteromonas australica H 17, Alteromonas australica DE170, Alteromonas lipolytica JW12, Alteromonas confluentis KCTC 42603	Degradation.AMINE-DEG.4-Aminobutyraye-Degradation.PWY-6537.	PWY-6537
4-aminobutanoate degradation III	0.0754716981132	1.0	1.0	Alteromonas	Alteromonas australica H 17, Alteromonas australica DE170, Alteromonas lipolytica JW12, Alteromonas confluentis KCTC 42603	Degradation.AMINE-DEG.4-Aminobutyraye-Degradation.PWY-6536.	PWY-6536
TCA cycle IV (2-oxoglutarate decarboxylase)	0.207547169811	0.91	1.55	Alteromonas	Alteromonas australica H 17, Alteromonas australica DE170, Alteromonas sp I10, Alteromonas lipolytica JW12, Alteromonas sp LTR, Alteromonas sp V450, Alteromonas sp IO390401, Alteromonas confluentis KCTC 42603, Alteromonas pelagimontana 5.12, Alteromonas sp 190, Alteromonas sp LOR	Energy-Metabolism.TCA-VARIANTS.P105-PWY.	P105-PWY
taurine degradation IV	0.0943396226415	1.0	1.0	Alteromonas	Alteromonas australica H 17, Alteromonas australica DE170, Alteromonas sp I10, Alteromonas lipolytica JW12, Alteromonas sp W12	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Taurine-degradation.PWY0-981./Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Taurine-degradation.PWY0-981.	PWY0-981
rhamnogalacturonan type I degradation II (bacteria)	0.11320754717	0.33	0.33	Alteromonas	Alteromonas australica H 17, Alteromonas australica DE170, Alteromonas sp I10, Alteromonas lipolytica JW12, Alteromonas sp W12, Alteromonas confluentis KCTC 42603	Degradation.Polymer-Degradation.POLYSACCHARIDES-DEG.Rhamnogalacturonan-Degradation.PWY-6771./Degradation.Carbohydrates-Degradation.POLYSACCHARIDES-DEG.Rhamnogalacturonan-Degradation.PWY-6771.	PWY-6771
copper transport I	0.0754716981132	0.5	0.5	Alteromonas	Alteromonas australica H 17, Alteromonas australica DE170, Alteromonas sp P0211, Alteromonas sp 190	Transport-PWY-6135	Transport-PWY-6135
2-O-&alpha;-mannosyl-D-glycerate degradation	0.0377358490566	0.5	0.75	Alteromonas	Alteromonas australica H 17, Alteromonas gracilis 9a2	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY0-1300.	PWY0-1300
glutaminyl-tRNAgln biosynthesis via transamidation	0.0566037735849	0.5	0.5	Alteromonas	Alteromonas australica H 17, Alteromonas macleodii HOT1A3, Alteromonas australica DE170	Biosynthesis.Aminoacyl-tRNAs-Charging.PWY-5921.	PWY-5921
trans-4-hydroxy-L-proline degradation II	0.0188679245283	0.25	0.25	Alteromonas	Alteromonas confluentis KCTC 42603	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.Hydroxyprolines-Degradation.PWY-5159.	PWY-5159
D-galactarate degradation II	0.0188679245283	0.67	0.67	Alteromonas	Alteromonas confluentis KCTC 42603	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.D-Galactarate-Degradation.PWY-6497./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.D-Galactarate-Degradation.PWY-6497.	PWY-6497
L-arabinose degradation III	0.0188679245283	0.2	0.2	Alteromonas	Alteromonas confluentis KCTC 42603	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.L-Arabinose-Degradation.PWY-5517.	PWY-5517
D-malate degradation	0.0377358490566	1.0	1.0	Alteromonas	Alteromonas confluentis KCTC 42603, Alteromonas sp 190	Degradation.CARBOXYLATES-DEG.PWY0-1465.	PWY0-1465
nicotinate degradation I	0.11320754717	0.17	0.17	Alteromonas	Alteromonas gracilis 9a2, Alteromonas lipolytica JW12, Alteromonas sp W12, Alteromonas sp V450, Alteromonas confluentis KCTC 42603, Alteromonas marina AD001	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Nicotinate-Degradation.PWY-722.	PWY-722
hydrogen sulfide biosynthesis I	0.207547169811	0.5	0.5	Alteromonas	Alteromonas gracilis 9a2, Alteromonas sp P0211, Alteromonas lipolytica JW12, Alteromonas sp LTR, Alteromonas aestuariivivens KCTC 52655, Alteromonas sp V450, Alteromonas sp IO390401, Alteromonas sp 190, Alteromonas marina AD001, Alteromonas sp LOR, Alteromonas sp P0213	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Hydrogen-Sulfide-Biosynthesis.PWY0-1534.	PWY0-1534
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0.0188679245283	0.33	0.33	Alteromonas	Alteromonas lipolytica JW12	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Phenolic-Compounds-Degradation.HCAMHPDEG-PWY.	HCAMHPDEG-PWY
formaldehyde oxidation IV (thiol-independent)	0.0188679245283	1.0	1.0	Alteromonas	Alteromonas lipolytica JW12	Degradation.C1-COMPOUNDS.Formaldehyde-Oxidation.FORMASS-PWY.	FORMASS-PWY
nitrilotriacetate degradation	0.0188679245283	0.5	0.5	Alteromonas	Alteromonas lipolytica JW12	Degradation.CARBOXYLATES-DEG.PWY-6021.	PWY-6021
biphenyl degradation	0.0188679245283	0.5	0.5	Alteromonas	Alteromonas lipolytica JW12	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.PWY5F9-12.	PWY5F9-12
cyclohexane-1-carboxylate degradation (anaerobic)	0.0188679245283	0.5	0.5	Alteromonas	Alteromonas lipolytica JW12	Degradation.CARBOXYLATES-DEG.PWY-301.	PWY-301
L-phenylalanine degradation II (anaerobic)	0.0188679245283	0.67	2.0	Alteromonas	Alteromonas lipolytica JW12	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.PHENYLALANINE-DEG.ANAPHENOXI-PWY.	ANAPHENOXI-PWY
