Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	0.2	1.0	1.0	Anabaena	Anabaena cylindrica PCC 7122	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.PWY-7346.	PWY-7346
glyphosate degradation III	0.2	0.57	0.86	Anabaena	Anabaena cylindrica PCC 7122	Degradation.Noncarbon-Nutrients.Phosphorus-Compounds.Glyphosate-Degradation.PWY-7807.	PWY-7807
nitrate reduction V (assimilatory)	0.2	0.5	0.5	Anabaena	Anabaena cylindrica PCC 7122	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY-5675.	PWY-5675
nitrate reduction IX (dissimilatory)	0.2	0.5	0.5	Anabaena	Anabaena cylindrica PCC 7122	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY0-1581./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1581./Energy-Metabolism.Electron-Transfer.PWY0-1581.	PWY0-1581
palmitoleate biosynthesis II (plants and bacteria)	0.2	0.5	0.5	Anabaena	Anabaena cylindrica PCC 7122	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.Palmitoleate-Biosynthesis.PWY-5366.	PWY-5366
UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	0.2	1.0	1.0	Anabaena	Anabaena cylindrica PCC 7122	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.PWY-4861.	PWY-4861
glycerol degradation II	0.2	0.5	0.5	Anabaena	Anabaena cylindrica PCC 7122	Degradation.Alcohol-Degradation.GLYCEROL-DEG.PWY-6131.	PWY-6131
pyrimidine ribonucleosides salvage I	0.2	0.33	0.33	Anabaena	Anabaena cylindrica PCC 7122	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-Nucleotide-Salvage.PWY-7193.	PWY-7193
nitrate reduction VIIIb (dissimilatory)	0.2	0.5	0.5	Anabaena	Anabaena cylindrica PCC 7122	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY0-1573./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1573./Energy-Metabolism.Electron-Transfer.PWY0-1573.	PWY0-1573
formate oxidation to CO2	0.2	1.0	1.0	Anabaena	Anabaena cylindrica PCC 7122	Degradation.C1-COMPOUNDS.PWY-1881./Energy-Metabolism.CHEMOAUTOTROPHIC-ENERGY-METABOLISM.PWY-1881.	PWY-1881
adenosylcobinamide-GDP biosynthesis from cobyrinate a,c-diamide	0.2	0.83	1.5	Anabaena	Anabaena cylindrica PCC 7122	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Cobalamin-Biosynthesis.Cobamide-De-Novo-Biosynthesis.PWY-7962.	PWY-7962
homospermidine biosynthesis	0.2	1.0	1.0	Anabaena	Anabaena cylindrica PCC 7122	Biosynthesis.Polyamine-Biosynthesis.PWY-5907.	PWY-5907
sulfoquinovosyl diacylglycerol biosynthesis	0.2	0.5	0.5	Anabaena	Anabaena cylindrica PCC 7122	Biosynthesis.Lipid-Biosynthesis.PWYQT-4427.	PWYQT-4427
oleandomycin activation/inactivation	0.2	0.33	3.67	Anabaena	Anabaena cylindrica PCC 7122	Activation-Inactivation-Interconversion.Interconversion.PWY-6972.	PWY-6972
kojibiose degradation	0.2	1.0	1.0	Anabaena	Anabaena cylindrica PCC 7122	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY-7459.	PWY-7459
nitrate reduction IV (dissimilatory)	0.2	0.5	0.5	Anabaena	Anabaena cylindrica PCC 7122	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY-5674./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY-5674.	PWY-5674
