Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
L-ascorbate degradation I (bacterial, anaerobic)	0.5	1.0	1.0	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Degradation.CARBOXYLATES-DEG.Ascorbate-Degradation.PWY0-301.	PWY0-301
acyl carrier protein metabolism	0.5	0.5	0.5	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Activation-Inactivation-Interconversion.Interconversion.PWY-6012./Biosynthesis.Cofactor-Biosynthesis.PWY-6012.	PWY-6012
long-chain fatty acid activation	0.5	1.0	1.0	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Activation-Inactivation-Interconversion.Activation.PWY-5143./Biosynthesis.Lipid-Biosynthesis.PWY-5143.	PWY-5143
glycolysis I (from glucose 6-phosphate)	0.5	0.67	0.67	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Energy-Metabolism.GLYCOLYSIS-VARIANTS.GLYCOLYSIS.	GLYCOLYSIS
2-oxoisovalerate decarboxylation to isobutanoyl-CoA	0.5	1.0	1.0	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Energy-Metabolism.Respiration.PWY-5046.	PWY-5046
L-rhamnose degradation I	0.5	0.6	0.6	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.L-rhamnose-Degradation.RHAMCAT-PWY.	RHAMCAT-PWY
glycerol degradation V	0.5	0.5	0.5	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Degradation.Alcohol-Degradation.GLYCEROL-DEG.GLYCEROLMETAB-PWY.	GLYCEROLMETAB-PWY
allantoin degradation to ureidoglycolate I (urea producing)	0.5	0.5	0.5	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Degradation.AMINE-DEG.Allantoin-degradation.PWY-5697.	PWY-5697
D-xylose degradation I	0.5	0.5	0.5	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.Xylose-Degradation.XYLCAT-PWY.	XYLCAT-PWY
gallate degradation III (anaerobic)	0.5	0.36	0.36	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.GALLATE-DEG.P3-PWY.	P3-PWY
glycerol degradation II	0.5	0.5	0.5	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Degradation.Alcohol-Degradation.GLYCEROL-DEG.PWY-6131.	PWY-6131
fatty acid &beta;-oxidation I	0.5	0.29	0.71	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Degradation.Fatty-Acid-and-Lipid-Degradation.Fatty-Acid-Degradation.FAO-PWY.	FAO-PWY
allantoin degradation to ureidoglycolate II (ammonia producing)	0.5	0.67	0.67	Anaerococcus	Anaerococcus mediterraneensis Marseille-P2765	Degradation.AMINE-DEG.Allantoin-degradation.PWY-5698.	PWY-5698
D-glucosaminate degradation	0.5	0.67	1.33	Anaerococcus	Anaerococcus prevotii DSM 20548	Degradation.CARBOXYLATES-DEG.PWY-7310.	PWY-7310
urea degradation II	0.5	1.0	3.0	Anaerococcus	Anaerococcus prevotii DSM 20548	Degradation.AMINE-DEG.Urea-Degradation.PWY-5704.	PWY-5704
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	0.5	1.0	1.0	Anaerococcus	Anaerococcus prevotii DSM 20548	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.HMP-PP-Biosynthesis.PWY-6890.	PWY-6890
selenate reduction	0.5	0.2	0.4	Anaerococcus	Anaerococcus prevotii DSM 20548	Degradation.Noncarbon-Nutrients.Selenium-Metabolism.PWY-6932.	PWY-6932
gluconeogenesis I	0.5	0.69	0.77	Anaerococcus	Anaerococcus prevotii DSM 20548	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.Gluconeogenesis.GLUCONEO-PWY.	GLUCONEO-PWY
ribose phosphorylation	0.5	1.0	1.0	Anaerococcus	Anaerococcus prevotii DSM 20548	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.RIBOKIN-PWY.	RIBOKIN-PWY
L-aspartate degradation I	0.5	1.0	1.0	Anaerococcus	Anaerococcus prevotii DSM 20548	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ASPARTATE-DEG.ASPARTATE-DEG1-PWY.	ASPARTATE-DEG1-PWY
