Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
sulfite oxidation III	0.333333333333	1.0	1.5	Anaerostipes	Anaerostipes hadrus	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Sulfite-Oxidation.PWY-5278.	PWY-5278
5-oxo-L-proline metabolism	0.333333333333	0.17	0.33	Anaerostipes	Anaerostipes hadrus	Macromolecule-Modification.Protein-Modification.PWY-7942.	PWY-7942
D-glucosaminate degradation	0.333333333333	0.67	0.67	Anaerostipes	Anaerostipes hadrus BPB5	Degradation.CARBOXYLATES-DEG.PWY-7310.	PWY-7310
heptaprenyl diphosphate biosynthesis	0.333333333333	1.0	1.0	Anaerostipes	Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5807.	PWY-5807
stearate biosynthesis II (bacteria and plants)	0.333333333333	0.5	0.5	Anaerostipes	Anaerostipes hadrus BPB5	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Stearate-Biosynthesis.PWY-5989.	PWY-5989
L-sorbose degradation	0.333333333333	0.5	2.0	Anaerostipes	Anaerostipes hadrus BPB5	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.P302-PWY.	P302-PWY
pyruvate fermentation to ethanol I	0.333333333333	0.67	1.67	Anaerostipes	Anaerostipes hadrus BPB5	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Ethanol-Fermentation.PWY-5480./Energy-Metabolism.Fermentation.Alcohol-Biosynthesis.Pyruvate-Ethanol-Fermentation.PWY-5480.	PWY-5480
long-chain fatty acid activation	0.333333333333	1.0	1.0	Anaerostipes	Anaerostipes hadrus BPB5	Activation-Inactivation-Interconversion.Activation.PWY-5143./Biosynthesis.Lipid-Biosynthesis.PWY-5143.	PWY-5143
5-aminoimidazole ribonucleotide biosynthesis II	0.333333333333	0.8	0.8	Anaerostipes	Anaerostipes hadrus BPB5	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.AIR-Biosynthesis.PWY-6122.	PWY-6122
CDP-diacylglycerol biosynthesis III	0.333333333333	0.8	0.8	Anaerostipes	Anaerostipes hadrus BPB5	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.CDP-diacylglycerol-Biosynthesis.PWY-5981.	PWY-5981
fatty acid &beta;-oxidation I	0.333333333333	0.29	0.71	Anaerostipes	Anaerostipes hadrus BPB5	Degradation.Fatty-Acid-and-Lipid-Degradation.Fatty-Acid-Degradation.FAO-PWY.	FAO-PWY
selenate reduction	0.666666666667	0.2	0.4	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Degradation.Noncarbon-Nutrients.Selenium-Metabolism.PWY-6932.	PWY-6932
L-arabinose degradation I	0.666666666667	0.67	1.33	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.L-Arabinose-Degradation.ARABCAT-PWY.	ARABCAT-PWY
NADH repair	0.666666666667	0.25	0.25	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Energy-Metabolism.PWY-6938.	PWY-6938
D-arabinose degradation I	0.666666666667	0.25	0.25	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.D-Arabinose-Degradation.DARABCATK12-PWY.	DARABCATK12-PWY
chitobiose degradation	0.666666666667	0.5	0.5	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY0-1309.	PWY0-1309
pyrimidine ribonucleosides salvage I	0.666666666667	0.67	0.83	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-Nucleotide-Salvage.PWY-7193.	PWY-7193
D-galactonate degradation	0.666666666667	0.33	0.33	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.GALACTCAT-PWY./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.GALACTCAT-PWY.	GALACTCAT-PWY
glycine biosynthesis IV	0.666666666667	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLYCINE-SYN.GLYSYN-THR-PWY.	GLYSYN-THR-PWY
folate transformations I	0.666666666667	0.58	0.58	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.Folate-Transformations.PWY-2201.	PWY-2201
fucose degradation	0.666666666667	0.25	0.25	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.FUCCAT-PWY.	FUCCAT-PWY
melibiose degradation	0.666666666667	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY0-1301.	PWY0-1301
arsenate detoxification II (glutaredoxin)	0.666666666667	0.5	0.5	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Detoxification.Arsenate-Detoxification.PWY-4621.	PWY-4621
L-glutamate degradation II	0.666666666667	0.5	0.5	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.GLUTAMATE-DEG.GLUTDEG-PWY./Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ASPARTATE-SYN.GLUTDEG-PWY.	GLUTDEG-PWY
reductive monocarboxylic acid cycle	0.666666666667	1.0	2.75	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Degradation.C1-COMPOUNDS.CO2-Fixation.PWY-5493.	PWY-5493
L-ornithine biosynthesis I	0.666666666667	0.8	0.8	Anaerostipes	Anaerostipes hadrus, Anaerostipes hadrus BPB5	Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.L-Ornithine-Biosynthesis.GLUTORN-PWY.	GLUTORN-PWY
tRNA processing	0.666666666667	0.2	0.2	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Macromolecule-Modification.Nucleic-Acid-Processing.PWY0-1479.	PWY0-1479
L-glutamine degradation II	0.666666666667	1.0	1.5	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.GLUTAMINE-DEG.GLUTAMINEFUM-PWY.	GLUTAMINEFUM-PWY
L-serine biosynthesis I	0.666666666667	0.67	1.33	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.SERINE-BIOSYNTHESIS.SERSYN-PWY.	SERSYN-PWY
&beta;-alanine biosynthesis III	0.666666666667	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.Beta-Alanine-Biosynthesis.PWY-5155.	PWY-5155
pyridoxal 5'-phosphate salvage I	0.666666666667	0.8	0.8	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Vitamin-B6-Biosynthesis.PLPSAL-PWY.	PLPSAL-PWY
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	0.666666666667	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.PWY-6613.	PWY-6613
inosine-5'-phosphate biosynthesis II	0.666666666667	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotide-De-Novo-Biosynthesis.Purine-Ribonuc-De-Novo-Biosynthesis.IMP-Biosynthesis.PWY-6124.	PWY-6124
CDP-diacylglycerol biosynthesis II	0.666666666667	1.0	1.13	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.CDP-diacylglycerol-Biosynthesis.PWY0-1319.	PWY0-1319
L-citrulline degradation	0.666666666667	0.67	1.33	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.CITRULLINE-DEG-PWY.	CITRULLINE-DEG-PWY
coenzyme A biosynthesis I (prokaryotic)	0.666666666667	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Biosynthesis.Cofactor-Biosynthesis.CoA-Biosynthesis.COA-PWY.	COA-PWY
L-glutamate biosynthesis I	0.666666666667	1.0	1.5	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMATE-SYN.GLUTSYN-PWY.	GLUTSYN-PWY
PRPP biosynthesis	0.666666666667	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.Sugar-Phosphate-Biosynthesis.PWY0-662.	PWY0-662
pyruvate fermentation to (S)-lactate	0.666666666667	1.0	2.5	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Lactate-Fermentation.PWY-5481./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Fermentation-to-Lactate.Pyruvate-Lactate-Fermentation.PWY-5481.	PWY-5481
hydroxymethylpyrimidine salvage	1.0	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Salvage.PWY-6910.	PWY-6910
