Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
phosphate acquisition	0.125	1.0	1.0	Anaplasma	Anaplasma centrale str. Israel	Degradation.Noncarbon-Nutrients.Phosphorus-Compounds.PWY-6348.	PWY-6348
NAD phosphorylation and dephosphorylation	0.125	0.67	0.67	Anaplasma	Anaplasma centrale str. Israel	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NADPHOS-DEPHOS-PWY.	NADPHOS-DEPHOS-PWY
menaquinol-9 biosynthesis	0.25	1.0	1.0	Anaplasma	Anaplasma marginale str. Florida, Anaplasma marginale str. St. Maries	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.Menaquinone-Biosynthesis.PWY-5844.	PWY-5844
menaquinol-6 biosynthesis	0.25	1.0	1.0	Anaplasma	Anaplasma marginale str. Florida, Anaplasma marginale str. St. Maries	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.Menaquinone-Biosynthesis.PWY-5849.	PWY-5849
pseudouridine degradation	0.25	0.5	0.5	Anaplasma	Anaplasma marginale str. Florida, Anaplasma marginale str. St. Maries	Degradation.NUCLEO-DEG.Purine-Degradation.PWY-6019.	PWY-6019
menaquinol-7 biosynthesis	0.25	0.5	0.5	Anaplasma	Anaplasma marginale str. Florida, Anaplasma marginale str. St. Maries	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.Menaquinone-Biosynthesis.PWY-5839.	PWY-5839
menaquinol-8 biosynthesis	0.25	1.0	1.0	Anaplasma	Anaplasma marginale str. Florida, Anaplasma marginale str. St. Maries	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.Menaquinone-Biosynthesis.MENAQUINONESYN-PWY.	MENAQUINONESYN-PWY
L-citrulline degradation	0.375	0.67	1.0	Anaplasma	Anaplasma marginale str. Florida, Anaplasma marginale str. St. Maries, Anaplasma centrale str. Israel	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.CITRULLINE-DEG-PWY.	CITRULLINE-DEG-PWY
thiazole biosynthesis I (facultative anaerobic bacteria)	0.75	0.43	0.43	Anaplasma	Anaplasma marginale str. Florida, Anaplasma marginale str. St. Maries, Anaplasma phagocytophilum str. JM, Anaplasma phagocytophilum str. HZ, Anaplasma phagocytophilum str. HZ2, Anaplasma centrale str. Israel	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiazole-Biosynthesis.PWY-6892.	PWY-6892
thiazole biosynthesis II (aerobic bacteria)	0.75	0.43	0.43	Anaplasma	Anaplasma marginale str. Florida, Anaplasma marginale str. St. Maries, Anaplasma phagocytophilum str. JM, Anaplasma phagocytophilum str. HZ, Anaplasma phagocytophilum str. HZ2, Anaplasma centrale str. Israel	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiazole-Biosynthesis.PWY-6891.	PWY-6891
stearate biosynthesis II (bacteria and plants)	0.75	0.5	0.5	Anaplasma	Anaplasma marginale str. Florida, Anaplasma marginale str. St. Maries, Anaplasma phagocytophilum str. JM, Anaplasma phagocytophilum str. HZ, Anaplasma phagocytophilum str. HZ2, Anaplasma centrale str. Israel	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Stearate-Biosynthesis.PWY-5989.	PWY-5989
cis-vaccenate biosynthesis	0.75	0.6	0.6	Anaplasma	Anaplasma marginale str. Florida, Anaplasma marginale str. St. Maries, Anaplasma phagocytophilum str. JM, Anaplasma phagocytophilum str. HZ, Anaplasma phagocytophilum str. HZ2, Anaplasma centrale str. Israel	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.PWY-5973.	PWY-5973
[2Fe-2S] iron-sulfur cluster biosynthesis	0.75	0.2	0.2	Anaplasma	Anaplasma marginale str. Florida, Anaplasma marginale str. St. Maries, Anaplasma phagocytophilum str. JM, Anaplasma phagocytophilum str. HZ, Anaplasma phagocytophilum str. HZ2, Anaplasma centrale str. Israel	Biosynthesis.Cofactor-Biosynthesis.PWY-7250.	PWY-7250
L-alanine biosynthesis III	0.75	1.0	1.0	Anaplasma	Anaplasma marginale str. Florida, Anaplasma marginale str. St. Maries, Anaplasma phagocytophilum str. JM, Anaplasma phagocytophilum str. HZ, Anaplasma phagocytophilum str. HZ2, Anaplasma centrale str. Israel	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ALANINE-SYN.PWY0-1021.	PWY0-1021
4-sulfocatechol degradation	0.375	0.25	0.25	Anaplasma	Anaplasma marginale str. Florida, Anaplasma ovis str. Haibei, Anaplasma marginale str. St. Maries	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Sulfoaromatics-Degradation.PWY-6041.	PWY-6041
protocatechuate degradation II (ortho-cleavage pathway)	0.375	0.25	0.25	Anaplasma	Anaplasma marginale str. Florida, Anaplasma ovis str. Haibei, Anaplasma marginale str. St. Maries	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Protocatechuate-Degradation.PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY.	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
chorismate biosynthesis from 3-dehydroquinate	0.375	0.2	0.2	Anaplasma	Anaplasma marginale str. Florida, Anaplasma ovis str. Haibei, Anaplasma marginale str. St. Maries	Biosynthesis.AROMATIC-COMPOUNDS-BIOSYN.Chorismate-Biosynthesis.PWY-6163.	PWY-6163
queuosine biosynthesis	0.5	0.25	0.25	Anaplasma	Anaplasma marginale str. Florida, Anaplasma ovis str. Haibei, Anaplasma marginale str. St. Maries, Anaplasma centrale str. Israel	Macromolecule-Modification.Nucleic-Acid-Processing.PWY-6700.	PWY-6700
phosphopantothenate biosynthesis I	0.5	0.63	0.63	Anaplasma	Anaplasma marginale str. Florida, Anaplasma ovis str. Haibei, Anaplasma marginale str. St. Maries, Anaplasma centrale str. Israel	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Pantothenate-Biosynthesis.PANTO-PWY.	PANTO-PWY
L-homoserine biosynthesis	0.5	0.67	0.67	Anaplasma	Anaplasma marginale str. Florida, Anaplasma ovis str. Haibei, Anaplasma marginale str. St. Maries, Anaplasma centrale str. Israel	Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.HOMOSERSYN-PWY.	HOMOSERSYN-PWY
UDP-N-acetyl-D-glucosamine biosynthesis I	0.5	0.8	0.8	Anaplasma	Anaplasma marginale str. Florida, Anaplasma ovis str. Haibei, Anaplasma marginale str. St. Maries, Anaplasma centrale str. Israel	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.UDP-NAc-Glucosamine-Biosynthesis.UDPNAGSYN-PWY.	UDPNAGSYN-PWY
L-valine biosynthesis	0.5	0.25	0.25	Anaplasma	Anaplasma marginale str. Florida, Anaplasma ovis str. Haibei, Anaplasma marginale str. St. Maries, Anaplasma centrale str. Israel	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.VALINE-BIOSYNTHESIS.VALSYN-PWY.	VALSYN-PWY
L-lysine biosynthesis I	0.5	0.78	0.78	Anaplasma	Anaplasma marginale str. Florida, Anaplasma ovis str. Haibei, Anaplasma marginale str. St. Maries, Anaplasma centrale str. Israel	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.LYSINE-SYN.DAPLYSINESYN-PWY.	DAPLYSINESYN-PWY
di-trans,poly-cis-undecaprenyl phosphate biosynthesis	0.5	0.5	0.5	Anaplasma	Anaplasma marginale str. Florida, Anaplasma ovis str. Haibei, Anaplasma marginale str. St. Maries, Anaplasma centrale str. Israel	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5785.	PWY-5785
