Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
2,3-dihydroxybenzoate biosynthesis	0.5	0.67	0.67	Arcanobacterium	Arcanobacterium haemolyticum DSM 20595	Biosynthesis.AROMATIC-COMPOUNDS-BIOSYN.PWY-5901.	PWY-5901
D-glucosaminate degradation	1.0	0.67	1.0	Arcanobacterium	Arcanobacterium haemolyticum DSM 20595, Arcanobacterium haemolyticum NCTC8452	Degradation.CARBOXYLATES-DEG.PWY-7310.	PWY-7310
hydroxymethylpyrimidine salvage	1.0	1.0	1.0	Arcanobacterium	Arcanobacterium haemolyticum DSM 20595, Arcanobacterium haemolyticum NCTC8452	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Salvage.PWY-6910.	PWY-6910
NADH to cytochrome bo oxidase electron transfer I	1.0	1.0	1.0	Arcanobacterium	Arcanobacterium haemolyticum DSM 20595, Arcanobacterium haemolyticum NCTC8452	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1335./Energy-Metabolism.Electron-Transfer.PWY0-1335.	PWY0-1335
CDP-diacylglycerol biosynthesis I	1.0	0.5	0.75	Arcanobacterium	Arcanobacterium haemolyticum DSM 20595, Arcanobacterium haemolyticum NCTC8452	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.CDP-diacylglycerol-Biosynthesis.PWY-5667.	PWY-5667
lipoprotein posttranslational modification	1.0	0.75	0.75	Arcanobacterium	Arcanobacterium haemolyticum DSM 20595, Arcanobacterium haemolyticum NCTC8452	Macromolecule-Modification.Protein-Modification.PWY-7884.	PWY-7884
formate assimilation into 5,10-methylenetetrahydrofolate	1.0	0.67	0.67	Arcanobacterium	Arcanobacterium haemolyticum DSM 20595, Arcanobacterium haemolyticum NCTC8452	Degradation.C1-COMPOUNDS.PWY-1722.	PWY-1722
urea cycle	1.0	0.6	0.6	Arcanobacterium	Arcanobacterium haemolyticum DSM 20595, Arcanobacterium haemolyticum NCTC8452	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.PWY-4984.	PWY-4984
menaquinol-11 biosynthesis	1.0	0.5	0.5	Arcanobacterium	Arcanobacterium haemolyticum DSM 20595, Arcanobacterium haemolyticum NCTC8452	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.Menaquinone-Biosynthesis.PWY-5891.	PWY-5891
GDP-mannose biosynthesis	1.0	0.75	0.75	Arcanobacterium	Arcanobacterium haemolyticum DSM 20595, Arcanobacterium haemolyticum NCTC8452	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.GDP-Sugar-Biosynthesis.PWY-5659.	PWY-5659
