Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
phenol degradation I (aerobic)	0.0434782608696	1.0	3.0	Arcobacter	Arcobacter anaerophilus DSM 24636	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Phenolic-Compounds-Degradation.Phenol-Degradation.PWY-5418.	PWY-5418
chlorinated phenols degradation	0.0434782608696	1.0	3.0	Arcobacter	Arcobacter anaerophilus DSM 24636	Degradation.CHLORINATED-COMPOUNDS-DEG.Chloroaromatic-Compounds-Degradation.PWY-6197./Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Chloroaromatic-Compounds-Degradation.PWY-6197.	PWY-6197
pyruvate fermentation to ethanol III	0.0434782608696	0.67	0.67	Arcobacter	Arcobacter anaerophilus DSM 24636	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Ethanol-Fermentation.PWY-6587./Energy-Metabolism.Fermentation.Alcohol-Biosynthesis.Pyruvate-Ethanol-Fermentation.PWY-6587.	PWY-6587
4-chloronitrobenzene degradation	0.0434782608696	0.33	0.33	Arcobacter	Arcobacter anaerophilus DSM 24636	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Nitroaromatic-Degradation.Nitrobenzene-Degradation.PWY-5645.	PWY-5645
toluene degradation to 2-hydroxypentadienoate (via 4-methylcatechol)	0.0434782608696	0.25	0.25	Arcobacter	Arcobacter anaerophilus DSM 24636	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.TOLUENE-DEG.TOLUENE-DEG-3-OH-PWY.	TOLUENE-DEG-3-OH-PWY
catechol degradation to 2-hydroxypentadienoate II	0.0434782608696	1.0	1.25	Arcobacter	Arcobacter anaerophilus DSM 24636	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Catechol-Degradation.PWY-5419.	PWY-5419
protocatechuate degradation II (ortho-cleavage pathway)	0.0434782608696	0.25	0.25	Arcobacter	Arcobacter anaerophilus DSM 24636	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Protocatechuate-Degradation.PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY.	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
catechol degradation to 2-hydroxypentadienoate I	0.0434782608696	0.5	0.5	Arcobacter	Arcobacter anaerophilus DSM 24636	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Catechol-Degradation.P183-PWY.	P183-PWY
glycine cleavage	0.0434782608696	1.0	2.33	Arcobacter	Arcobacter anaerophilus DSM 24636	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.GLYCINE-DEG.GLYCLEAV-PWY.	GLYCLEAV-PWY
4-nitrotoluene degradation II	0.0434782608696	0.22	0.22	Arcobacter	Arcobacter anaerophilus DSM 24636	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.Nitroaromatic-Degradation.Nitro-Toluene-Degradation.4-Nitrotoluene-Degradation.PWY-5644.	PWY-5644
