Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
tetrapyrrole biosynthesis I (from glutamate)	0.409090909091	1.0	1.17	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. 24S4-2, Arthrobacter sp. KBS0702, Arthrobacter sp. Rue61a, Arthrobacter sp. UKPF54-2, Arthrobacter sp. FB24, Arthrobacter globiformis NBRC 12137, Arthrobacter crystallopoietes BAB-32	Biosynthesis.Cofactor-Biosynthesis.Tetrapyrrole-Biosynthesis.PWY-5188.	PWY-5188
D-galactonate degradation	0.590909090909	0.33	0.33	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. KBS0702, Arthrobacter sp. PAMC 25486, Arthrobacter sp. Rue61a, Arthrobacter sp. UKPF54-2, Arthrobacter sp. FB24, Arthrobacter sp. PGP41, Arthrobacter crystallopoietes DSM 20117, Arthrobacter alpinus R3.8, Arthrobacter sp. U41, Arthrobacter alpinus ERGS4:06, Arthrobacter globiformis NBRC 12137	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.GALACTCAT-PWY./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.GALACTCAT-PWY.	GALACTCAT-PWY
L-isoleucine degradation I	0.818181818182	0.5	1.25	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. KBS0702, Arthrobacter sp. PAMC 25486, Arthrobacter sp. Rue61a, Arthrobacter sp. UKPF54-2, Arthrobacter sp. ZXY-2, Arthrobacter sp. YN, Arthrobacter sp. YC-RL1, Arthrobacter sp. ERGS1:01, Arthrobacter sp. FB24, Arthrobacter sp. PGP41, Arthrobacter alpinus R3.8, Arthrobacter sp. U41, Arthrobacter alpinus ERGS4:06, Arthrobacter globiformis NBRC 12137, Arthrobacter crystallopoietes BAB-32, Arthrobacter sp. AK-YN10	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ISOLEUCINE-DEG.ILEUDEG-PWY.	ILEUDEG-PWY
anhydromuropeptides recycling I	0.5	0.58	0.75	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. KBS0702, Arthrobacter sp. PAMC 25486, Arthrobacter sp. Rue61a, Arthrobacter sp. ZXY-2, Arthrobacter sp. YN, Arthrobacter sp. ERGS1:01, Arthrobacter alpinus R3.8, Arthrobacter alpinus ERGS4:06, Arthrobacter sp. AK-YN10	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.Anhydromuropeptides-Recycling.PWY0-1261.	PWY0-1261
L-asparagine biosynthesis II	0.272727272727	1.0	1.0	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. PAMC 25486, Arthrobacter sp. ERGS1:01, Arthrobacter alpinus R3.8, Arthrobacter alpinus ERGS4:06	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ASPARAGINE-SYN.ASPARAGINESYN-PWY.	ASPARAGINESYN-PWY
L-asparagine biosynthesis I	0.272727272727	1.0	1.0	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. PAMC 25486, Arthrobacter sp. ERGS1:01, Arthrobacter alpinus R3.8, Arthrobacter alpinus ERGS4:06	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ASPARAGINE-SYN.ASPARAGINE-BIOSYNTHESIS.	ASPARAGINE-BIOSYNTHESIS
geranyl diphosphate biosynthesis	0.409090909091	1.0	1.0	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. PAMC 25486, Arthrobacter sp. Rue61a, Arthrobacter sp. YC-RL1, Arthrobacter sp. ERGS1:01, Arthrobacter alpinus R3.8, Arthrobacter alpinus ERGS4:06, Arthrobacter crystallopoietes BAB-32	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5122.	PWY-5122
trans, trans-farnesyl diphosphate biosynthesis	0.409090909091	1.0	1.0	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. PAMC 25486, Arthrobacter sp. YC-RL1, Arthrobacter sp. ERGS1:01, Arthrobacter sp. FB24, Arthrobacter alpinus R3.8, Arthrobacter alpinus ERGS4:06, Arthrobacter crystallopoietes BAB-32	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.All-Trans-Farnesyl-PP-Biosynthesis.PWY-5123.	PWY-5123
L-alanine biosynthesis II	0.5	1.0	2.0	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. PAMC 25486, Arthrobacter sp. YN, Arthrobacter sp. YC-RL1, Arthrobacter sp. ERGS1:01, Arthrobacter sp. FB24, Arthrobacter sp. PGP41, Arthrobacter globiformis NBRC 12137, Arthrobacter crystallopoietes BAB-32, Arthrobacter sp. AK-YN10	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ALANINE-SYN.ALANINE-SYN2-PWY.	ALANINE-SYN2-PWY
mycothiol oxidation	0.545454545455	0.5	0.5	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. PAMC 25486, Arthrobacter sp. ZXY-2, Arthrobacter sp. YN, Arthrobacter sp. YC-RL1, Arthrobacter sp. ERGS1:01, Arthrobacter crystallopoietes DSM 20117, Arthrobacter alpinus R3.8, Arthrobacter alpinus ERGS4:06, Arthrobacter crystallopoietes BAB-32, Arthrobacter sp. AK-YN10	Biosynthesis.Cofactor-Biosynthesis.Reductants.PWY1G-126.	PWY1G-126
L-rhamnose degradation I	0.545454545455	0.8	0.8	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. QXT-31, Arthrobacter sp. 24S4-2, Arthrobacter sp. PAMC 25486, Arthrobacter sp. Rue61a, Arthrobacter sp. ZXY-2, Arthrobacter sp. YN, Arthrobacter sp. ERGS1:01, Arthrobacter sp. FB24, Arthrobacter sp. PGP41, Arthrobacter alpinus R3.8	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.L-rhamnose-Degradation.RHAMCAT-PWY.	RHAMCAT-PWY
melibiose degradation	0.590909090909	1.0	2.0	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. QXT-31, Arthrobacter sp. 24S4-2, Arthrobacter sp. Rue61a, Arthrobacter sp. ZXY-2, Arthrobacter sp. YN, Arthrobacter sp. ERGS1:01, Arthrobacter sp. PGP41, Arthrobacter sp. U41, Arthrobacter alpinus ERGS4:06, Arthrobacter globiformis NBRC 12137, Arthrobacter sp. AK-YN10	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY0-1301.	PWY0-1301
glycolate and glyoxylate degradation I	0.681818181818	0.5	0.5	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. QXT-31, Arthrobacter sp. 24S4-2, Arthrobacter sp. Rue61a, Arthrobacter sp. ZXY-2, Arthrobacter sp. YN, Arthrobacter sp. YC-RL1, Arthrobacter sp. ERGS1:01, Arthrobacter sp. FB24, Arthrobacter sp. PGP41, Arthrobacter crystallopoietes DSM 20117, Arthrobacter globiformis NBRC 12137, Arthrobacter crystallopoietes BAB-32, Arthrobacter sp. AK-YN10	Degradation.CARBOXYLATES-DEG.Glycolate-Degradation.GLYCOLATEMET-PWY.	GLYCOLATEMET-PWY
allantoin degradation to ureidoglycolate II (ammonia producing)	0.727272727273	0.67	0.67	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. QXT-31, Arthrobacter sp. 24S4-2, Arthrobacter sp. Rue61a, Arthrobacter sp. ZXY-2, Arthrobacter sp. YN, Arthrobacter sp. YC-RL1, Arthrobacter sp. ERGS1:01, Arthrobacter sp. FB24, Arthrobacter sp. PGP41, Arthrobacter crystallopoietes DSM 20117, Arthrobacter sp. U41, Arthrobacter globiformis NBRC 12137, Arthrobacter crystallopoietes BAB-32, Arthrobacter sp. AK-YN10	Degradation.AMINE-DEG.Allantoin-degradation.PWY-5698.	PWY-5698
allantoin degradation to ureidoglycolate I (urea producing)	0.636363636364	0.5	0.5	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. QXT-31, Arthrobacter sp. 24S4-2, Arthrobacter sp. ZXY-2, Arthrobacter sp. YN, Arthrobacter sp. YC-RL1, Arthrobacter sp. ERGS1:01, Arthrobacter sp. FB24, Arthrobacter sp. PGP41, Arthrobacter crystallopoietes DSM 20117, Arthrobacter sp. U41, Arthrobacter globiformis NBRC 12137, Arthrobacter sp. AK-YN10	Degradation.AMINE-DEG.Allantoin-degradation.PWY-5697.	PWY-5697
L-valine degradation I	0.772727272727	0.5	0.88	Arthrobacter	Arthrobacter alpinus A3, Arthrobacter sp. DCT-5, Arthrobacter sp. QXT-31, Arthrobacter sp. PAMC 25486, Arthrobacter sp. Rue61a, Arthrobacter sp. ZXY-2, Arthrobacter sp. YN, Arthrobacter sp. YC-RL1, Arthrobacter sp. ERGS1:01, Arthrobacter sp. FB24, Arthrobacter sp. PGP41, Arthrobacter alpinus R3.8, Arthrobacter sp. U41, Arthrobacter alpinus ERGS4:06, Arthrobacter globiformis NBRC 12137, Arthrobacter crystallopoietes BAB-32, Arthrobacter sp. AK-YN10	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.VALINE-DEG.VALDEG-PWY.	VALDEG-PWY
