Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
D-glucosaminate degradation	1.0	0.67	1.67	Atopobium	Atopobium parvulum DSM 20469	Degradation.CARBOXYLATES-DEG.PWY-7310.	PWY-7310
methylglyoxal degradation I	1.0	0.33	0.33	Atopobium	Atopobium parvulum DSM 20469	Degradation.Aldehyde-Degradation.Methylglyoxal-Detoxification.PWY-5386./Detoxification.Methylglyoxal-Detoxification.PWY-5386.	PWY-5386
L-ascorbate degradation I (bacterial, anaerobic)	1.0	0.75	0.75	Atopobium	Atopobium parvulum DSM 20469	Degradation.CARBOXYLATES-DEG.Ascorbate-Degradation.PWY0-301.	PWY0-301
3-dehydroquinate biosynthesis I	1.0	0.5	1.0	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.AROMATIC-COMPOUNDS-BIOSYN.3-Dehydroquinate-Biosynthesis.PWY-6164.	PWY-6164
hydrogen production III	1.0	1.0	1.0	Atopobium	Atopobium parvulum DSM 20469	Energy-Metabolism.Hydrogen-Production.PWY-6759.	PWY-6759
lipoprotein posttranslational modification	1.0	0.5	0.5	Atopobium	Atopobium parvulum DSM 20469	Macromolecule-Modification.Protein-Modification.PWY-7884.	PWY-7884
formate assimilation into 5,10-methylenetetrahydrofolate	1.0	1.0	1.0	Atopobium	Atopobium parvulum DSM 20469	Degradation.C1-COMPOUNDS.PWY-1722.	PWY-1722
urea cycle	1.0	0.2	0.4	Atopobium	Atopobium parvulum DSM 20469	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.PWY-4984.	PWY-4984
NAD de novo biosynthesis I (from aspartate)	1.0	0.33	0.33	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PYRIDNUCSYN-PWY.	PYRIDNUCSYN-PWY
glycolysis I (from glucose 6-phosphate)	1.0	0.83	0.92	Atopobium	Atopobium parvulum DSM 20469	Energy-Metabolism.GLYCOLYSIS-VARIANTS.GLYCOLYSIS.	GLYCOLYSIS
queuosine biosynthesis	1.0	0.5	0.5	Atopobium	Atopobium parvulum DSM 20469	Macromolecule-Modification.Nucleic-Acid-Processing.PWY-6700.	PWY-6700
gluconeogenesis I	1.0	0.69	0.77	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.Gluconeogenesis.GLUCONEO-PWY.	GLUCONEO-PWY
acetate and ATP formation from acetyl-CoA I	1.0	1.0	1.0	Atopobium	Atopobium parvulum DSM 20469	Degradation.CARBOXYLATES-DEG.Acetate-Formation.PWY0-1312./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Acetate-Formation.PWY0-1312.	PWY0-1312
adenine and adenosine salvage I	1.0	1.0	1.5	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Adenine-Adenosine-Salvage.P121-PWY.	P121-PWY
pyrimidine ribonucleosides degradation	1.0	1.0	1.0	Atopobium	Atopobium parvulum DSM 20469	Degradation.NUCLEO-DEG.Pyrimidine-Degradation.Pyrimidine-Ribonucleosides-Degradation.PWY0-1295.	PWY0-1295
glutathione-glutaredoxin redox reactions	1.0	0.5	0.5	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Cofactor-Biosynthesis.Reductants.GLUT-REDOX-PWY.	GLUT-REDOX-PWY
Bifidobacterium shunt	1.0	0.87	1.2	Atopobium	Atopobium parvulum DSM 20469	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.P124-PWY./Degradation.CARBOXYLATES-DEG.Acetate-Formation.P124-PWY./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Acetate-Formation.P124-PWY./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Fermentation-to-Lactate.P124-PWY.	P124-PWY
guanine and guanosine salvage	1.0	1.0	1.5	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Guanine-Guanosine-Salvage.PWY-6620.	PWY-6620
pentose phosphate pathway (non-oxidative branch)	1.0	1.0	2.8	Atopobium	Atopobium parvulum DSM 20469	Energy-Metabolism.Pentose-Phosphate-Cycle.NONOXIPENT-PWY.	NONOXIPENT-PWY
preQ0 biosynthesis	1.0	0.5	0.5	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.PWY-6703.	PWY-6703
glycerophosphodiester degradation	1.0	0.5	0.5	Atopobium	Atopobium parvulum DSM 20469	Degradation.Alcohol-Degradation.GLYCEROL-DEG.PWY-6952.	PWY-6952
tRNA processing	1.0	0.7	0.7	Atopobium	Atopobium parvulum DSM 20469	Macromolecule-Modification.Nucleic-Acid-Processing.PWY0-1479.	PWY0-1479
inosine 5'-phosphate degradation	1.0	0.75	1.0	Atopobium	Atopobium parvulum DSM 20469	Degradation.NUCLEO-DEG.Purine-Degradation.PWY-5695.	PWY-5695
L-glutamine degradation I	1.0	1.0	3.0	Atopobium	Atopobium parvulum DSM 20469	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.GLUTAMINE-DEG.GLUTAMINDEG-PWY.	GLUTAMINDEG-PWY
pyrimidine deoxyribonucleotide phosphorylation	1.0	0.5	0.5	Atopobium	Atopobium parvulum DSM 20469	Metabolic-Clusters.PWY-7197./Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-Nucleotide-Salvage.PWY-7197.	PWY-7197
pseudouridine degradation	1.0	0.5	0.5	Atopobium	Atopobium parvulum DSM 20469	Degradation.NUCLEO-DEG.Purine-Degradation.PWY-6019.	PWY-6019
D-mannose degradation	1.0	1.0	1.0	Atopobium	Atopobium parvulum DSM 20469	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.MANNCAT-PWY.	MANNCAT-PWY
L-glutamine biosynthesis I	1.0	1.0	2.0	Atopobium	Atopobium parvulum DSM 20469	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Ammonia-Assimilation.GLNSYN-PWY./Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMINE-SYN.GLNSYN-PWY.	GLNSYN-PWY
L-threonine biosynthesis	1.0	1.0	1.0	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.THREONINE-BIOSYNTHESIS.HOMOSER-THRESYN-PWY.	HOMOSER-THRESYN-PWY
N-acetylglucosamine degradation I	1.0	1.0	1.0	Atopobium	Atopobium parvulum DSM 20469	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.N-Acetylglucosamine-Degradation.GLUAMCAT-PWY./Degradation.AMINE-DEG.N-Acetylglucosamine-Degradation.GLUAMCAT-PWY.	GLUAMCAT-PWY
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	1.0	1.0	1.25	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Cell-Structure-Biosynthesis.Cell-Wall-Biosynthesis.Acetylmuramoyl-Pentapeptide-Biosynthesis.PWY-6387.	PWY-6387
ppGpp biosynthesis	1.0	0.5	0.5	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Metabolic-Regulators.PPGPPMET-PWY.	PPGPPMET-PWY
thioredoxin pathway	1.0	0.5	0.5	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Cofactor-Biosynthesis.Reductants.THIOREDOX-PWY.	THIOREDOX-PWY
S-adenosyl-L-methionine biosynthesis	1.0	1.0	1.0	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Cofactor-Biosynthesis.SAM-PWY.	SAM-PWY
coenzyme A biosynthesis I (prokaryotic)	1.0	1.0	1.0	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Cofactor-Biosynthesis.CoA-Biosynthesis.COA-PWY.	COA-PWY
UTP and CTP dephosphorylation I	1.0	0.6	0.6	Atopobium	Atopobium parvulum DSM 20469	Degradation.NUCLEO-DEG.Pyrimidine-Degradation.Pyrimidine-Ribonucleosides-Degradation.UTP-CTP-Dephosphorylation.PWY-7185.	PWY-7185
N10-formyl-tetrahydrofolate biosynthesis	1.0	0.56	0.56	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.1CMET2-PWY.	1CMET2-PWY
CMP phosphorylation	1.0	0.5	0.5	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-Nucleotide-Salvage.PWY-7205.	PWY-7205
dTDP-L-rhamnose biosynthesis	1.0	1.0	1.0	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.dTDP-Sugar-Biosynthesis.DTDPRHAMSYN-PWY.	DTDPRHAMSYN-PWY
adenosine nucleotides degradation II	1.0	0.6	1.0	Atopobium	Atopobium parvulum DSM 20469	Degradation.NUCLEO-DEG.Purine-Degradation.Adenosine-Nucleotides-Degradation.SALVADEHYPOX-PWY.	SALVADEHYPOX-PWY
5-aminoimidazole ribonucleotide biosynthesis I	1.0	0.8	0.8	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.AIR-Biosynthesis.PWY-6121.	PWY-6121
guanine and guanosine salvage II	1.0	0.5	0.5	Atopobium	Atopobium parvulum DSM 20469	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Guanine-Guanosine-Salvage.PWY-6599.	PWY-6599
