Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
indole-3-acetate biosynthesis V (bacteria and fungi)	0.111111111111	1.0	1.0	Azoarcus	Azoarcus communis TSNA42	Biosynthesis.HORMONE-SYN.Plant-Hormone-Biosynthesis.Auxin-Biosynthesis.PWY-5026.	PWY-5026
4-methylphenol degradation to protocatechuate	0.111111111111	0.75	1.25	Azoarcus	Azoarcus communis TSNA42	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.TOLUENE-DEG.PWY-7700.	PWY-7700
pyruvate fermentation to propanoate I	0.222222222222	0.71	2.14	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Propanoate-Fermentation.P108-PWY./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Fermentation-to-propanoate.Pyruvate-Propanoate-Fermentation.P108-PWY.	P108-PWY
ectoine degradation	0.222222222222	0.25	0.5	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Degradation.AMINE-DEG.PWY-7855.	PWY-7855
L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	0.222222222222	0.5	0.75	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ARGININE-DEG.PWY0-823.	PWY0-823
sucrose degradation IV (sucrose phosphorylase)	0.222222222222	1.0	1.0	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.SUCROSE-DEG.PWY-5384.	PWY-5384
putrescine biosynthesis I	0.222222222222	0.5	0.75	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Biosynthesis.Polyamine-Biosynthesis.Putrescine-Biosynthesis.PWY-40.	PWY-40
conversion of succinate to propanoate	0.222222222222	0.67	1.0	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Degradation.CARBOXYLATES-DEG.SUCC-DEG.PWY0-43.	PWY0-43
D-galactarate degradation II	0.222222222222	0.33	0.33	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.D-Galactarate-Degradation.PWY-6497./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.D-Galactarate-Degradation.PWY-6497.	PWY-6497
NAD salvage pathway II (PNC IV cycle)	0.222222222222	0.75	1.0	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PWY-7761.	PWY-7761
D-galactarate degradation I	0.222222222222	0.5	0.75	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.D-Galactarate-Degradation.GALACTARDEG-PWY./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.D-Galactarate-Degradation.GALACTARDEG-PWY.	GALACTARDEG-PWY
galactitol degradation	0.222222222222	0.2	0.2	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ALCOHOLS-DEG.GALACTITOLCAT-PWY.	GALACTITOLCAT-PWY
L-glutamate degradation X	0.222222222222	1.0	1.0	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.GLUTAMATE-DEG.PWY-5766.	PWY-5766
L-idonate degradation	0.222222222222	0.33	0.33	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.IDNCAT-PWY./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.IDNCAT-PWY.	IDNCAT-PWY
N-acetylglutaminylglutamine amide biosynthesis	0.222222222222	0.5	0.5	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Biosynthesis.Metabolic-Regulators.Organic-solutes-Biosynthesis.PWY-7054.	PWY-7054
L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)	0.222222222222	0.5	0.75	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.CYSTEINE-SYN.PWY-7870.	PWY-7870
L-glutamate biosynthesis II	0.222222222222	1.0	1.0	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMATE-SYN.GLUTAMATE-SYN2-PWY.	GLUTAMATE-SYN2-PWY
sulfolactate degradation II	0.222222222222	0.75	1.13	Azoarcus	Azoarcus communis TSNA42, Azoarcus communis TSPY31	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Sulfolactate-Degradation.PWY-6637.	PWY-6637
