Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
L-threitol degradation	0.333333333333	0.25	0.25	Bacillus clausii	Bacillus clausii DSM 8716	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ALCOHOLS-DEG.PWY-7787.	PWY-7787
ectoine degradation	0.333333333333	0.5	0.5	Bacillus clausii	Bacillus clausii DSM 8716	Degradation.AMINE-DEG.PWY-7855.	PWY-7855
UMP biosynthesis III	0.333333333333	1.0	1.5	Bacillus clausii	Bacillus clausii DSM 8716	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-De-Novo-Biosyn.Pyrimid-Ribonucleot-De-Novo-Biosyn.UMP-Biosynthesis.PWY-7791.	PWY-7791
CDP-diacylglycerol biosynthesis III	0.333333333333	0.8	0.8	Bacillus clausii	Bacillus clausii DSM 8716	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.CDP-diacylglycerol-Biosynthesis.PWY-5981.	PWY-5981
glutaminyl-tRNAgln biosynthesis via transamidation	0.333333333333	0.75	5.5	Bacillus clausii	Bacillus clausii DSM 8716	Biosynthesis.Aminoacyl-tRNAs-Charging.PWY-5921.	PWY-5921
gondoate biosynthesis (anaerobic)	0.333333333333	0.75	1.5	Bacillus clausii	Bacillus clausii DSM 8716	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.PWY-7663.	PWY-7663
assimilatory sulfate reduction III	0.333333333333	1.0	1.33	Bacillus clausii	Bacillus clausii DSM 8716	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Assimilatory-Sulfate-Reduction.PWY-6683.	PWY-6683
erythritol degradation II	0.333333333333	0.33	0.33	Bacillus clausii	Bacillus clausii DSM 8716	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ALCOHOLS-DEG.Erythritol-Degradation.PWY-7788.	PWY-7788
L-asparagine biosynthesis III (tRNA-dependent)	0.333333333333	0.75	5.5	Bacillus clausii	Bacillus clausii DSM 8716	Biosynthesis.Aminoacyl-tRNAs-Charging.PWY490-4./Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ASPARAGINE-SYN.PWY490-4.	PWY490-4
hydroxymethylpyrimidine salvage	0.666666666667	1.0	3.0	Bacillus clausii	Bacillus clausii DSM 8716, Bacillus clausii ENTPro	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Salvage.PWY-6910.	PWY-6910
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	0.666666666667	0.5	1.5	Bacillus clausii	Bacillus clausii DSM 8716, Bacillus clausii ENTPro	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.HMP-PP-Biosynthesis.PWY-6890.	PWY-6890
selenate reduction	0.666666666667	0.2	0.2	Bacillus clausii	Bacillus clausii DSM 8716, Bacillus clausii ENTPro	Degradation.Noncarbon-Nutrients.Selenium-Metabolism.PWY-6932.	PWY-6932
thiamine formation from pyrithiamine and oxythiamine (yeast)	0.666666666667	1.0	2.0	Bacillus clausii	Bacillus clausii DSM 8716, Bacillus clausii ENTPro	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.PWY-7357.	PWY-7357
UDP-&alpha;-D-glucose biosynthesis I	0.666666666667	0.75	1.25	Bacillus clausii	Bacillus clausii DSM 8716, Bacillus clausii ENTPro	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.PWY-7343.	PWY-7343
thiazole biosynthesis II (aerobic bacteria)	0.666666666667	0.71	1.71	Bacillus clausii	Bacillus clausii DSM 8716, Bacillus clausii ENTPro	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiazole-Biosynthesis.PWY-6891.	PWY-6891
L-asparagine biosynthesis II	0.666666666667	1.0	2.0	Bacillus clausii	Bacillus clausii DSM 8716, Bacillus clausii ENTPro	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ASPARAGINE-SYN.ASPARAGINESYN-PWY.	ASPARAGINESYN-PWY
