Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
phenylmercury acetate degradation	0.111111111111	0.5	0.5	Bacillus coagulans	Bacillus coagulans 2-6	Detoxification.Mercury-Detoxification.P641-PWY.	P641-PWY
oxalate degradation II	0.111111111111	0.33	0.33	Bacillus coagulans	Bacillus coagulans 2-6	Degradation.CARBOXYLATES-DEG.Oxalate-Degradation.PWY-6695.	PWY-6695
arsenate detoxification II (glutaredoxin)	0.333333333333	0.5	0.5	Bacillus coagulans	Bacillus coagulans 2-6, Bacillus coagulans 36D1, Bacillus coagulans BC-HY1	Detoxification.Arsenate-Detoxification.PWY-4621.	PWY-4621
NADH to cytochrome bd oxidase electron transfer II	0.555555555556	0.5	1.5	Bacillus coagulans	Bacillus coagulans 2-6, Bacillus coagulans 36D1, Bacillus coagulans HM-08, Bacillus coagulans BC-HY1, Bacillus coagulans S-lac	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1568./Energy-Metabolism.Electron-Transfer.PWY0-1568.	PWY0-1568
NADH to cytochrome bo oxidase electron transfer II	0.555555555556	0.5	1.0	Bacillus coagulans	Bacillus coagulans 2-6, Bacillus coagulans 36D1, Bacillus coagulans HM-08, Bacillus coagulans BC-HY1, Bacillus coagulans S-lac	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1567./Energy-Metabolism.Electron-Transfer.PWY0-1567.	PWY0-1567
urea degradation II	0.444444444444	1.0	3.0	Bacillus coagulans	Bacillus coagulans 2-6, Bacillus coagulans 36D1, Bacillus coagulans LA204, Bacillus coagulans DSM 2314	Degradation.AMINE-DEG.Urea-Degradation.PWY-5704.	PWY-5704
D-mannose degradation	0.888888888889	1.0	1.0	Bacillus coagulans	Bacillus coagulans 2-6, Bacillus coagulans 36D1, Bacillus coagulans LA204, Bacillus coagulans HM-08, Bacillus coagulans IDCC1201, Bacillus coagulans BC-HY1, Bacillus coagulans DSM 2314, Bacillus coagulans S-lac	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.MANNCAT-PWY.	MANNCAT-PWY
2-carboxy-1,4-naphthoquinol biosynthesis	0.888888888889	0.86	1.07	Bacillus coagulans	Bacillus coagulans 2-6, Bacillus coagulans 36D1, Bacillus coagulans LA204, Bacillus coagulans HM-08, Bacillus coagulans IDCC1201, Bacillus coagulans BC-HY1, Bacillus coagulans DSM 2314, Bacillus coagulans S-lac	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.DHNA-Biosynthesis.PWY-5837.	PWY-5837
gondoate biosynthesis (anaerobic)	0.888888888889	0.75	2.38	Bacillus coagulans	Bacillus coagulans 2-6, Bacillus coagulans 36D1, Bacillus coagulans LA204, Bacillus coagulans R11, Bacillus coagulans HM-08, Bacillus coagulans BC-HY1, Bacillus coagulans DSM 2314, Bacillus coagulans S-lac	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.PWY-7663.	PWY-7663
hydroxymethylpyrimidine salvage	1.0	1.0	2.0	Bacillus coagulans	Bacillus coagulans 2-6, Bacillus coagulans 36D1, Bacillus coagulans LA204, Bacillus coagulans R11, Bacillus coagulans HM-08, Bacillus coagulans IDCC1201, Bacillus coagulans BC-HY1, Bacillus coagulans DSM 2314, Bacillus coagulans S-lac	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Salvage.PWY-6910.	PWY-6910
