Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
gluconeogenesis I	0.5	0.69	0.85	Bacillus flexus	Bacillus flexus	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.Gluconeogenesis.GLUCONEO-PWY.	GLUCONEO-PWY
L-tyrosine biosynthesis I	0.5	0.33	0.33	Bacillus flexus	Bacillus flexus	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.TYROSINE-SYN.TYRSYN.	TYRSYN
adenosylcobalamin salvage from cobalamin	0.5	0.6	0.6	Bacillus flexus	Bacillus flexus	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Cobalamin-Biosynthesis.Cobamide-Salvage.PWY-6268.	PWY-6268
phenylmercury acetate degradation	0.5	0.5	0.5	Bacillus flexus	Bacillus flexus	Detoxification.Mercury-Detoxification.P641-PWY.	P641-PWY
cis-vaccenate biosynthesis	0.5	0.6	0.8	Bacillus flexus	Bacillus flexus	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.PWY-5973.	PWY-5973
pyridoxal 5'-phosphate salvage I	0.5	0.6	0.6	Bacillus flexus	Bacillus flexus	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Vitamin-B6-Biosynthesis.PLPSAL-PWY.	PLPSAL-PWY
5-oxo-L-proline metabolism	0.5	0.17	0.33	Bacillus flexus	Bacillus flexus	Macromolecule-Modification.Protein-Modification.PWY-7942.	PWY-7942
5,6-dimethylbenzimidazole biosynthesis I (aerobic)	0.5	0.67	0.67	Bacillus flexus	Bacillus flexus	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Cobalamin-Biosynthesis.Cobamide-De-Novo-Biosynthesis.DMB-Biosynthesis.PWY-5523.	PWY-5523
L-citrulline degradation	0.5	0.67	2.0	Bacillus flexus	Bacillus flexus	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.CITRULLINE-DEG-PWY.	CITRULLINE-DEG-PWY
glycolysis I (from glucose 6-phosphate)	0.5	0.75	0.92	Bacillus flexus	Bacillus flexus	Energy-Metabolism.GLYCOLYSIS-VARIANTS.GLYCOLYSIS.	GLYCOLYSIS
pyrimidine deoxyribonucleosides degradation	0.5	1.0	2.0	Bacillus flexus	Bacillus flexus	Degradation.NUCLEO-DEG.Pyrimidine-Degradation.Pyrimidine-Deoxyribonucleosides-Deg.PWY-7181.	PWY-7181
N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis	0.5	0.5	0.5	Bacillus flexus	Bacillus flexus	Macromolecule-Modification.Nucleic-Acid-Processing.PWY0-1587.	PWY0-1587
glycogen biosynthesis I (from ADP-D-Glucose)	0.5	0.75	1.0	Bacillus flexus	Bacillus flexus	Glycan-Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY.	GLYCOGENSYNTH-PWY
melibiose degradation	0.5	1.0	2.0	Bacillus flexus	Bacillus flexus	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY0-1301.	PWY0-1301
tRNA processing	0.5	0.3	0.3	Bacillus flexus	Bacillus flexus	Macromolecule-Modification.Nucleic-Acid-Processing.PWY0-1479.	PWY0-1479
pentose phosphate pathway (oxidative branch) I	0.5	0.67	2.67	Bacillus flexus	Bacillus flexus	Energy-Metabolism.Pentose-Phosphate-Cycle.OXIDATIVEPENT-PWY.	OXIDATIVEPENT-PWY
pyrimidine ribonucleosides degradation	0.5	1.0	2.0	Bacillus flexus	Bacillus flexus	Degradation.NUCLEO-DEG.Pyrimidine-Degradation.Pyrimidine-Ribonucleosides-Degradation.PWY0-1295.	PWY0-1295
L-citrulline biosynthesis	0.5	0.88	2.63	Bacillus flexus	Bacillus flexus	Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.Citrulline-Biosynthesis.CITRULBIO-PWY.	CITRULBIO-PWY
D-xylose degradation I	0.5	1.0	1.0	Bacillus flexus	Bacillus flexus	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.Xylose-Degradation.XYLCAT-PWY.	XYLCAT-PWY
pyruvate fermentation to (S)-lactate	0.5	1.0	2.0	Bacillus flexus	Bacillus flexus	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Lactate-Fermentation.PWY-5481./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Fermentation-to-Lactate.Pyruvate-Lactate-Fermentation.PWY-5481.	PWY-5481
heme a biosynthesis	0.5	0.75	0.75	Bacillus flexus	Bacillus flexus	Biosynthesis.Cofactor-Biosynthesis.Porphyrin-Compounds-Biosynthesis.HEME-SYN.PWY-7856.	PWY-7856
NADH to cytochrome bo oxidase electron transfer I	0.5	1.0	2.5	Bacillus flexus	Bacillus flexus KLBMP 4941	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1335./Energy-Metabolism.Electron-Transfer.PWY0-1335.	PWY0-1335
gondoate biosynthesis (anaerobic)	0.5	0.75	1.75	Bacillus flexus	Bacillus flexus KLBMP 4941	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.PWY-7663.	PWY-7663
D-mannose degradation	0.5	1.0	1.0	Bacillus flexus	Bacillus flexus KLBMP 4941	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.MANNCAT-PWY.	MANNCAT-PWY
L-valine degradation I	0.5	0.25	0.38	Bacillus flexus	Bacillus flexus KLBMP 4941	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.VALINE-DEG.VALDEG-PWY.	VALDEG-PWY
glutathionylspermidine biosynthesis	0.5	1.0	1.0	Bacillus flexus	Bacillus flexus KLBMP 4941	Biosynthesis.Polyamine-Biosynthesis.PWY-4121./Biosynthesis.Cofactor-Biosynthesis.Reductants.PWY-4121.	PWY-4121
NADH to cytochrome bd oxidase electron transfer I	0.5	1.0	4.0	Bacillus flexus	Bacillus flexus KLBMP 4941	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1334./Energy-Metabolism.Electron-Transfer.PWY0-1334.	PWY0-1334
glycolysis III (from glucose)	0.5	0.82	0.82	Bacillus flexus	Bacillus flexus KLBMP 4941	Energy-Metabolism.GLYCOLYSIS-VARIANTS.ANAGLYCOLYSIS-PWY.	ANAGLYCOLYSIS-PWY
folate transformations I	0.5	0.67	0.75	Bacillus flexus	Bacillus flexus KLBMP 4941	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.Folate-Transformations.PWY-2201.	PWY-2201
thiosulfate disproportionation IV (rhodanese)	0.5	1.0	1.0	Bacillus flexus	Bacillus flexus KLBMP 4941	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Thiosulfate-Disproportionation.PWY-5350.	PWY-5350
guanosine nucleotides degradation III	0.5	0.5	0.75	Bacillus flexus	Bacillus flexus KLBMP 4941	Degradation.NUCLEO-DEG.Purine-Degradation.Guanosine-Nucleotides-Degradation.PWY-6608.	PWY-6608
UTP and CTP dephosphorylation I	0.5	0.6	0.6	Bacillus flexus	Bacillus flexus KLBMP 4941	Degradation.NUCLEO-DEG.Pyrimidine-Degradation.Pyrimidine-Ribonucleosides-Degradation.UTP-CTP-Dephosphorylation.PWY-7185.	PWY-7185
