Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
hydroxymethylpyrimidine salvage	1.0	1.0	2.0	Bacillus foraminis	Bacillus foraminis Bac44	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Salvage.PWY-6910.	PWY-6910
urea degradation II	1.0	1.0	3.0	Bacillus foraminis	Bacillus foraminis Bac44	Degradation.AMINE-DEG.Urea-Degradation.PWY-5704.	PWY-5704
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	1.0	0.5	1.0	Bacillus foraminis	Bacillus foraminis Bac44	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.HMP-PP-Biosynthesis.PWY-6890.	PWY-6890
sulfate activation for sulfonation	1.0	1.0	2.0	Bacillus foraminis	Bacillus foraminis Bac44	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.PWY-5340./Activation-Inactivation-Interconversion.Activation.PWY-5340.	PWY-5340
glycogen biosynthesis I (from ADP-D-Glucose)	1.0	0.75	2.0	Bacillus foraminis	Bacillus foraminis Bac44	Glycan-Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Glycan-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY./Biosynthesis.Carbohydrates-Biosynthesis.Polysaccharides-Biosynthesis.GLYCOGEN-BIOSYN.GLYCOGENSYNTH-PWY.	GLYCOGENSYNTH-PWY
aerobic respiration I (cytochrome c)	1.0	1.0	2.75	Bacillus foraminis	Bacillus foraminis Bac44	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY-3781./Energy-Metabolism.Electron-Transfer.PWY-3781.	PWY-3781
NAD de novo biosynthesis I (from aspartate)	1.0	0.67	0.67	Bacillus foraminis	Bacillus foraminis Bac44	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PYRIDNUCSYN-PWY.	PYRIDNUCSYN-PWY
L-serine biosynthesis I	1.0	1.0	1.33	Bacillus foraminis	Bacillus foraminis Bac44	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.SERINE-BIOSYNTHESIS.SERSYN-PWY.	SERSYN-PWY
selenate reduction	1.0	0.2	0.4	Bacillus foraminis	Bacillus foraminis Bac44	Degradation.Noncarbon-Nutrients.Selenium-Metabolism.PWY-6932.	PWY-6932
NADH to cytochrome bo oxidase electron transfer I	1.0	1.0	1.5	Bacillus foraminis	Bacillus foraminis Bac44	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1335./Energy-Metabolism.Electron-Transfer.PWY0-1335.	PWY0-1335
