Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
hydroxymethylpyrimidine salvage	1.0	1.0	2.0	Bacillus muralis	Bacillus muralis G25-68	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Salvage.PWY-6910.	PWY-6910
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	1.0	1.0	1.5	Bacillus muralis	Bacillus muralis G25-68	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.HMP-PP-Biosynthesis.PWY-6890.	PWY-6890
sulfate activation for sulfonation	1.0	1.0	2.0	Bacillus muralis	Bacillus muralis G25-68	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.PWY-5340./Activation-Inactivation-Interconversion.Activation.PWY-5340.	PWY-5340
urea cycle	1.0	0.8	1.8	Bacillus muralis	Bacillus muralis G25-68	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.PWY-4984.	PWY-4984
NAD de novo biosynthesis I (from aspartate)	1.0	0.67	0.83	Bacillus muralis	Bacillus muralis G25-68	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PYRIDNUCSYN-PWY.	PYRIDNUCSYN-PWY
L-serine biosynthesis I	1.0	0.67	1.33	Bacillus muralis	Bacillus muralis G25-68	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.SERINE-BIOSYNTHESIS.SERSYN-PWY.	SERSYN-PWY
selenate reduction	1.0	0.2	0.4	Bacillus muralis	Bacillus muralis G25-68	Degradation.Noncarbon-Nutrients.Selenium-Metabolism.PWY-6932.	PWY-6932
L-ornithine degradation I (L-proline biosynthesis)	1.0	1.0	2.0	Bacillus muralis	Bacillus muralis G25-68	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.ORN-AMINOPENTANOATE-CAT-PWY./Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.PROLINE-SYN.ORN-AMINOPENTANOATE-CAT-PWY.	ORN-AMINOPENTANOATE-CAT-PWY
queuosine biosynthesis	1.0	0.75	0.75	Bacillus muralis	Bacillus muralis G25-68	Macromolecule-Modification.Nucleic-Acid-Processing.PWY-6700.	PWY-6700
gluconeogenesis I	1.0	0.62	0.62	Bacillus muralis	Bacillus muralis G25-68	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.Gluconeogenesis.GLUCONEO-PWY.	GLUCONEO-PWY
succinate to cytochrome bo oxidase electron transfer	1.0	1.0	2.5	Bacillus muralis	Bacillus muralis G25-68	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1329./Energy-Metabolism.Electron-Transfer.PWY0-1329.	PWY0-1329
5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	1.0	0.33	0.33	Bacillus muralis	Bacillus muralis G25-68	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Cobalamin-Biosynthesis.Cobamide-De-Novo-Biosynthesis.Adenosylcobamide-Biosynthesis.PWY-7968.	PWY-7968
heptaprenyl diphosphate biosynthesis	1.0	1.0	1.0	Bacillus muralis	Bacillus muralis G25-68	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5807.	PWY-5807
D-galactarate degradation II	1.0	0.33	0.33	Bacillus muralis	Bacillus muralis G25-68	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.SUGAR-ACIDS-DEG.D-Galactarate-Degradation.PWY-6497./Degradation.CARBOXYLATES-DEG.SUGAR-ACIDS-DEG.D-Galactarate-Degradation.PWY-6497.	PWY-6497
adenine and adenosine salvage I	1.0	1.0	1.5	Bacillus muralis	Bacillus muralis G25-68	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Adenine-Adenosine-Salvage.P121-PWY.	P121-PWY
gondoate biosynthesis (anaerobic)	1.0	0.75	2.75	Bacillus muralis	Bacillus muralis G25-68	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.PWY-7663.	PWY-7663
purine deoxyribonucleosides salvage	1.0	0.67	1.0	Bacillus muralis	Bacillus muralis G25-68	Metabolic-Clusters.PWY-7224./Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.PWY-7224.	PWY-7224
L-serine degradation	1.0	0.33	0.67	Bacillus muralis	Bacillus muralis G25-68	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.SERINE-DEG.SERDEG-PWY.	SERDEG-PWY
autoinducer AI-2 biosynthesis I	1.0	0.4	0.4	Bacillus muralis	Bacillus muralis G25-68	Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.Autoinducer-Biosynthesis.PWY-6153.	PWY-6153
ribose phosphorylation	1.0	1.0	1.5	Bacillus muralis	Bacillus muralis G25-68	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.RIBOKIN-PWY.	RIBOKIN-PWY
pyruvate fermentation to propanoate I	1.0	0.57	0.86	Bacillus muralis	Bacillus muralis G25-68	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Propanoate-Fermentation.P108-PWY./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Fermentation-to-propanoate.Pyruvate-Propanoate-Fermentation.P108-PWY.	P108-PWY
thiazole biosynthesis II (aerobic bacteria)	1.0	0.71	1.29	Bacillus muralis	Bacillus muralis G25-68	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiazole-Biosynthesis.PWY-6891.	PWY-6891
L-ornithine biosynthesis I	1.0	1.0	1.2	Bacillus muralis	Bacillus muralis G25-68	Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.L-Ornithine-Biosynthesis.GLUTORN-PWY.	GLUTORN-PWY
L-threonine degradation I	1.0	0.33	0.33	Bacillus muralis	Bacillus muralis G25-68	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.THREONINE-DEG.PWY-5437.	PWY-5437
glycerophosphodiester degradation	1.0	0.5	1.5	Bacillus muralis	Bacillus muralis G25-68	Degradation.Alcohol-Degradation.GLYCEROL-DEG.PWY-6952.	PWY-6952
L-valine degradation I	1.0	0.25	0.38	Bacillus muralis	Bacillus muralis G25-68	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.VALINE-DEG.VALDEG-PWY.	VALDEG-PWY
