Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
hydroxymethylpyrimidine salvage	1.0	1.0	1.5	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Salvage.PWY-6910.	PWY-6910
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	1.0	0.5	1.0	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.HMP-PP-Biosynthesis.PWY-6890.	PWY-6890
sulfate activation for sulfonation	1.0	1.0	1.0	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.PWY-5340./Activation-Inactivation-Interconversion.Activation.PWY-5340.	PWY-5340
urea cycle	1.0	1.0	2.2	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.PWY-4984.	PWY-4984
NAD de novo biosynthesis I (from aspartate)	1.0	0.67	0.67	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PYRIDNUCSYN-PWY.	PYRIDNUCSYN-PWY
L-serine biosynthesis I	1.0	0.67	0.67	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.SERINE-BIOSYNTHESIS.SERSYN-PWY.	SERSYN-PWY
selenate reduction	1.0	0.2	0.2	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Degradation.Noncarbon-Nutrients.Selenium-Metabolism.PWY-6932.	PWY-6932
L-ornithine degradation I (L-proline biosynthesis)	1.0	1.0	1.0	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.ORN-AMINOPENTANOATE-CAT-PWY./Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.PROLINE-SYN.ORN-AMINOPENTANOATE-CAT-PWY.	ORN-AMINOPENTANOATE-CAT-PWY
pyruvate decarboxylation to acetyl CoA	1.0	1.0	2.0	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Degradation.CARBOXYLATES-DEG.PYRUVDEHYD-PWY./Energy-Metabolism.Acetyl-CoA-Biosynthesis.PYRUVDEHYD-PWY.	PYRUVDEHYD-PWY
gluconeogenesis I	1.0	0.69	0.92	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.Gluconeogenesis.GLUCONEO-PWY.	GLUCONEO-PWY
succinate to cytochrome bo oxidase electron transfer	1.0	1.0	3.0	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Energy-Metabolism.Respiration.AEROBIC-RESPIRATION.PWY0-1329./Energy-Metabolism.Electron-Transfer.PWY0-1329.	PWY0-1329
5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	1.0	0.33	0.33	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Cobalamin-Biosynthesis.Cobamide-De-Novo-Biosynthesis.Adenosylcobamide-Biosynthesis.PWY-7968.	PWY-7968
heptaprenyl diphosphate biosynthesis	1.0	1.0	1.0	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5807.	PWY-5807
menaquinol-9 biosynthesis	1.0	1.0	1.0	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.Menaquinone-Biosynthesis.PWY-5844.	PWY-5844
adenine and adenosine salvage I	1.0	1.0	1.5	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Adenine-Adenosine-Salvage.P121-PWY.	P121-PWY
gondoate biosynthesis (anaerobic)	1.0	0.75	3.0	Bacillus thermoamylovorans	Bacillus thermoamylovorans SSBM	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.PWY-7663.	PWY-7663
