,0
0,gibberellin A36
1,CO2
2,NADPH
3,succinate
4,gibberellin A4
5,2-oxoglutarate
6,NADP+
7,dioxygen
8,H2O
9,gibberellin A37
10,gibberellin A15 (open lactone form)
11,gibberellin A14
12,gibberellin A12
13,gibberellin A5
14,gibberellin A6
15,gibberellin A3
16,UDP
17,UDP-alpha-D-glucose
18,crocetin
19,beta-D-glucosyl crocetin
20,beta-D-gentiobiosyl crocetin
21,H+
22,bis(beta-D-glucosyl) crocetin
23,beta-D-gentiobiosyl beta-D-glucosyl crocetin
24,crocin
25,unsaturated gellan tetrasaccharide
26,4-deoxy-L-threo-hex-4-enopyranuronate
27,beta-D-Glcp-(1->4)-alpha-L-Rhap-(1->3)-D-Glcp
28,n unsaturated gellan tetrasaccharide
29,gellan
30,"8',8-diapocarotene-8',8-dial"
31,3beta-hydroxy-beta-cyclocitral
32,beta-citraurin
33,zeaxanthin
34,D-glucopyranose
35,heat
36,safranal
37,picrocrocin
38,oxidized electron carrier
39,reduced two electron carrier
40,ulvan
41,n 4-deoxy-L-threo-hex-4-enopyranosiduronate-alpha-L-rhamnopyranose 3-sulfate
42,alpha-L-rhamnopyranose 3-sulfate
43,4-deoxy-L-threo-hex-4-enopyranosiduronate-alpha-L-rhamnopyranose 3-sulfate
44,S-adenosyl-L-homocysteine
45,bixin dimethyl ester
46,S-adenosyl-L-methionine
47,bixin
48,norbixin
49,NAD+
50,bixin aldehyde
51,NADH
52,all-trans-lycopene
53,sulcatone
54,inulobiose
55,D-fructofuranose
56,difructose anhydride III
57,[1-beta-D-fructofuranosyl-(2->1)n-1--alpha-D-glucopyranoside
58,[1-beta-D-fructofuranosyl-(2->1)n--alpha-D-glucopyranoside
59,4'-apo-beta-carotenal
60,neurosporaxanthin
61,torulene
62,3-methylbut-2-enal
63,apo-4'-lycopenoate
64,apo-4'-lycopenal
65,NAD(P)+
66,"all-trans-3,4-didehydrolycopene"
67,neoagaro-oligosaccharide
68,agarose
69,n H2O
70,"3,6-anhydro-alpha-L-galactopyranose"
71,n agarobiose
72,D-galactopyranose
73,prolycopene
74,15-cis-phytoene
75,prephytoene diphosphate
76,diphosphate
77,geranylgeranyl diphosphate
78,electron-transfer quinol
79,"9,9'-di-cis-zeta-carotene"
80,"7,9,9'-cis-neurosporene"
81,electron-transfer quinone
82,"9,15,9'-tri-cis-zeta-carotene"
83,"beta-(1,4)-D-mannan"
84,"beta-(1,4)-mannan oligosaccharide"
85,[(1->4)-beta-D-mannosyl]n-1
86,alpha-D-mannose 1-phosphate
87,phosphate
88,[(1->4)-beta-D-mannosyl]n
89,beta-D-fructofuranose 6-phosphate
90,D-mannopyranose 6-phosphate
91,beta-D-mannosyl-(1->4)-D-glucose
92,"beta-1,4-D-mannobiose"
93,chlorobactene
94,beta-isorenieratene
95,isorenieratene
96,agaropentaose
97,neoagarohexaose
98,neoagarotetraose
99,agarotriose
100,n neoagarohexaose
101,n neoagarotetraose
102,n neoagarobiose
103,"n alpha-L-galactopyranose-6-sulfate-(1,3)-beta-D-galactose"
104,porphyran
105,fumarate
106,oxaloacetate
107,(S)-malate
108,ATP
109,phosphoenolpyruvate
110,ADP
111,beta-carotene
112,gamma-carotene
113,alginate
114,n 4-deoxy-alpha-L-erythro-hex-4-enopyranuronate-alpha-L-guluronate
115,n 4-deoxy-alpha-L-erythro-hex-4-enopyranuronate-beta-D-mannuronate
116,2-dehydro-3-deoxy-D-gluconate
117,2-dehydro-3-deoxy-D-gluconate 6-phosphate
118,"(4S,5S)-4,5-dihydroxy-2,6-dioxohexanoate"
119,4-deoxy-L-erythro-hex-4-enopyranuronate
120,4-deoxy-alpha-L-erythro-hex-4-enopyranuronoside
121,n 4-deoxy-L-erythro-hex-4-enopyranuronate
122,orotate
123,(S)-dihydroorotate
124,orotidine 5'-phosphate
125,UMP
126,5-phospho-alpha-D-ribose 1-diphosphate
127,N-carbamoyl-L-aspartate
128,L-aspartate
129,carbamoyl phosphate
130,hydrogencarbonate
131,L-glutamate
132,L-glutamine
133,beta-D-glucopyranose
134,isomaltose
135,alpha-isomaltosyl-(1->3)-isomaltose
136,cyclobis-(1->6)-alpha-nigerosyl
137,hypoxanthine
138,S-methyl-5-thio-alpha-D-ribose 1-phosphate
139,S-methyl-5'-thioinosine
140,ammonium
141,S-methyl-5'-thioadenosine
142,adenine
143,5-(methylsulfanyl)-D-ribose
144,(3R)-3-hydroxyhexacosanoyl-[acp domain within a fatty acid synthase]
145,3-oxohexacosanoyl-[acp domain within a fatty acid synthase]
146,coenzyme A
147,lignoceroyl-[acp domain within a fatty acid synthase]
148,malonyl-CoA
149,IMP
150,5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide
151,tetrahydrofolate
152,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
153,N10-formyltetrahydrofolate
154,5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole
155,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
156,5-amino-1-(5-phospho-beta-D-ribosyl)imidazole
157,N5-carboxyaminoimidazole ribonucleotide
158,N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide
159,N1-(5-phospho-beta-D-ribosyl)glycinamide
160,formate
161,2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine
162,5-phospho-beta-D-ribosylamine
163,glycine
164,uracil
165,cytosine
166,4-hydroxy-3-prenylbenzoate
167,"3-amino-4,7-dihydroxycoumarin"
168,AMP
169,8-demethylnovobiocic acid
170,novobiocic acid
171,demethyldecarbamoyl novobiocin
172,decarbamoylnovobiocin
173,novobiocin
174,cyclohexane-1-carbonyl-CoA
175,cyclohexane-1-carboxylate
176,"cyclohex-1,5-diene-1-carbonyl-CoA"
177,oxidized electron-transfer flavoprotein
178,cyclohex-1-ene-1-carbonyl-CoA
179,reduced electron-transfer flavoprotein
180,methylsalicylate
181,methylsalicylate-2-O-beta-D-glucoside
182,methanol
183,salicylate
184,UDP-alpha-D-xylose
185,methylsalicylate O-beta-D-xylopyranosyl-(1->6)-O-beta-D-glucopyranoside
186,enterobactin
187,holo-[EntF L-seryl-carrier protein]
188,"N-(2,3-dihydroxybenzoyl)-seryl-[EntF L-seryl-carrier protein]"
189,seryl-[EntF L-seryl-carrier protein]
190,"2,3-dihydroxybenzoyl-[EntB aryl-carrier protein]"
191,holo-[EntB aryl-carrier protein]
192,(L-seryl)adenylate
193,"adenosine 3',5'-bisphosphate"
194,[EntF L-seryl-carrier protein]
195,L-serine
196,"(2,3-dihydroxybenzoyl)adenylate"
197,"2,3-dihydroxybenzoate"
198,[EntB aryl-carrier protein]
199,5-methyltetrahydrofolate
200,L-homocysteine
201,L-methionine
202,S-methyl-L-methionine
203,"N,N-dimethylglycine"
204,glycine betaine
205,5-methyltetrahydropteroyl tri-L-glutamate
206,tetrahydropteroyl tri-L-glutamate
207,glutathione
208,S-(methylsulfanyl)glutathione
209,methanethiol
210,glutathione disulfide
211,S-methyl-1-thio-D-xylulose 5-phosphate
212,1-deoxy-D-xylulose 5-phosphate
213,acetate
214,O-acetyl-L-homoserine
215,S-methyl-5-thio-D-ribulose 1-phosphate
216,2-oxoglutaramate
217,4-(methylsulfanyl)-2-oxobutanoate
218,"1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one"
219,2-hydroxy-5-(methylsulfanyl)-3-oxopent-1-enyl 1-phosphate
220,"5-(methylsulfanyl)-2,3-dioxopentyl 1-phosphate"
221,(2-methylsulfanyl)ethanol
222,(2-methylsulfanyl)acetaldehyde
223,reduced ferredoxin [iron-sulfur] cluster
224,oxidized ferredoxin [iron-sulfur] cluster
225,ethene
226,glycerone phosphate
227,"N,N'-diacetylchitobiose"
228,D-glucosamine
229,D-glucosamine 6-phosphate
230,N-acetyl-D-glucosamine 6-phosphate
231,N-acetyl-D-glucosamine
232,alpha-D-glucosamine 6-phosphate
