,Aut Control 01,Aut Control 02,Aut Control 03,Aut Control 04,Aut Control 05,Aut Control 06,Aut Control 07,Aut Control 08,Aut Control 09,Aut Control 10,Aut Control 11,Aut Control 12,Aut Control 13,Aut Control 14,Aut Control 15,Aut Control 16,Aut Control 17,Aut Control 18,Aut Control 19,Aut Control 20,Aut Control 21,Aut Control 45,Aut Control 46,Aut Control 47,Aut Control 48,Aut Control 49,Aut Control 50,Aut Control 51,Aut Control 52,Aut Control 53,Aut Control 54,Aut Control 55,Aut Control 56,Aut Control 57,Aut Control 58,Aut Control 59,Aut Control 60,Aut Control 61,Aut Control 62,Aut Control 63,Autism 22,Autism 23,Autism 24,Autism 25,Autism 26,Autism 27,Autism 28,Autism 29,Autism 30,Autism 31,Autism 32,Autism 33,Autism 34,Autism 35,Autism 36,Autism 37,Autism 38,Autism 39,Autism 40,Autism 41,Autism 42,Autism 43,Autism 44,Autism 64,Autism 65,Autism 66,Autism 67,Autism 68,Autism 69,Autism 70,Autism 71,Autism 72,Autism 73,Autism 74,Autism 75,Autism 76,Autism 77,Autism 78,Autism 79,Autism 80,Autism 81,Autism 82,Autism 83
(+)-5-chloromuconolactone,-0.0569681941763618,-0.0022798141160384,-0.0751807150435514,-0.0005702055873954,-0.006369704370935,-0.0011945322762994,-0.0078288288776724,-0.0022687211495298,-0.0115333044306352,-0.0024111217345356,-0.0010734607829358,-0.0068699368810948,-0.0351344871942478,-0.0061647211257228,0.0,-1.0496212933006348e-05,-0.0039324189240882,-0.0181003598194294,-0.0098301086256542,0.0,0.0,-0.0530490858302316,-0.0725005784824128,-0.0124586201556002,-0.0086986312415396,-0.0277520190883906,-0.0154888774601824,-0.0236708806300512,-0.0002755803379586,-0.0327035638340188,-1.2913178918316305e-06,-0.018687138294508,-0.0373233523956266,-0.0824277497602802,-0.0036697512293996,-8.976446670452732e-05,-2.5728438665460296e-07,-0.0293022762075646,-0.0466210273155872,-0.0420202380762998,0.0,-0.0115802927372208,-0.0514600979055728,0.0,-0.0003491169260896,-0.054500415050242,-0.0024495266942814,-0.0033069917050112,-0.0036416795844388,-0.0067329194219142,0.0,-0.0435637452059764,0.0,-0.0039916192163758,-7.388411890961182e-05,0.0,-0.0030405598880054,-0.0550006623785096,-0.020234519594959,-0.0427923880960114,-0.006177190432335,-0.047942026281692,0.0,-0.014948454648696,-1.5015482796562577e-06,-0.0312797947456144,-0.017031619142374,-0.033595359816771,-0.0201486606976788,-0.037257325561941,-0.0265580788570768,-3.174218562007266e-07,-0.0459932663978752,-0.0345753261203266,-0.0549448404542332,-0.017642955597023,-0.0386765079141268,-4.088882342151804e-07,-6.364479223088198e-07,-0.0706906704397278,-0.0101406396069096,-1.0388768226074608e-06,-0.0160581178058774
(-)-beta-caryophyllene,0.0,0.0,0.0001093794886423,0.0001460393759349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001415183358983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0495820110250869e-07,1.1596132815638241e-07,0.0,0.0,0.0,0.0,1.4559127527956766e-07,1.0764486835590272e-07,3.999137944038145e-07,1.7592433650945766e-07,1.0897034645032123e-07,1.0043862413319163e-07,0.0,1.3139990621445437e-07,1.0668884146792673e-07,0.0,1.1510453504558993e-07,1.0882188806688705e-07,0.0,0.0,0.0,0.0,0.0,0.000275346276265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5104247636243096e-07,5.202270497603189e-07,0.0,0.0,1.027238349946412e-07,1.362769988899648e-07,0.0,3.868662354571239e-05,1.062284644371348e-07,1.0474297172620805e-07,0.0,1.312597450472905e-07,1.7615629792394692e-07,1.0366564940880361e-07,1.3250217981301882e-07,2.007908963253212e-07,1.529915525420708e-07,1.279083089679575e-07,3.061200051690507e-07,0.0
(-)-beta-elemene,0.0,0.0,0.0001093794886423,0.0001460393759349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001415183358983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0495820110250869e-07,1.1596132815638241e-07,0.0,0.0,0.0,0.0,1.4559127527956766e-07,1.0764486835590272e-07,3.999137944038145e-07,1.7592433650945766e-07,1.0897034645032123e-07,1.0043862413319163e-07,0.0,1.3139990621445437e-07,1.0668884146792673e-07,0.0,1.1510453504558993e-07,1.0882188806688705e-07,0.0,0.0,0.0,0.0,0.0,0.000275346276265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5104247636243096e-07,5.202270497603189e-07,0.0,0.0,1.027238349946412e-07,1.362769988899648e-07,0.0,3.868662354571239e-05,1.062284644371348e-07,1.0474297172620805e-07,0.0,1.312597450472905e-07,1.7615629792394692e-07,1.0366564940880361e-07,1.3250217981301882e-07,2.007908963253212e-07,1.529915525420708e-07,1.279083089679575e-07,3.061200051690507e-07,0.0
"(1,4-alpha-D-galacturonosyl)(n)",0.0,0.0,0.0002187589772846,0.0002920787518698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002830366717966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0991640220501738e-07,2.3192265631276483e-07,0.0,0.0,0.0,0.0,2.911825505591353e-07,2.1528973671180545e-07,7.99827588807629e-07,3.518486730189153e-07,2.1794069290064246e-07,2.0087724826638326e-07,0.0,2.6279981242890874e-07,2.1337768293585346e-07,0.0,2.3020907009117985e-07,2.176437761337741e-07,0.0,0.0,0.0,0.0,0.0,0.00055069255253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.020849527248619e-07,1.0404540995206378e-06,0.0,0.0,2.054476699892824e-07,2.725539977799296e-07,0.0,7.737324709142477e-05,2.124569288742696e-07,2.094859434524161e-07,0.0,2.62519490094581e-07,3.5231259584789385e-07,2.0733129881760722e-07,2.6500435962603764e-07,4.015817926506424e-07,3.059831050841416e-07,2.55816617935915e-07,6.122400103381014e-07,0.0
"(1,4-alpha-D-galacturonosyl)(n+1)",0.0,0.0,-0.0002187589772846,-0.0002920787518698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002830366717966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0991640220501738e-07,-2.3192265631276483e-07,0.0,0.0,0.0,0.0,-2.911825505591353e-07,-2.1528973671180545e-07,-7.99827588807629e-07,-3.518486730189153e-07,-2.1794069290064246e-07,-2.0087724826638326e-07,0.0,-2.6279981242890874e-07,-2.1337768293585346e-07,0.0,-2.3020907009117985e-07,-2.176437761337741e-07,0.0,0.0,0.0,0.0,0.0,-0.00055069255253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.020849527248619e-07,-1.0404540995206378e-06,0.0,0.0,-2.054476699892824e-07,-2.725539977799296e-07,0.0,-7.737324709142477e-05,-2.124569288742696e-07,-2.094859434524161e-07,0.0,-2.62519490094581e-07,-3.5231259584789385e-07,-2.0733129881760722e-07,-2.6500435962603764e-07,-4.015817926506424e-07,-3.059831050841416e-07,-2.55816617935915e-07,-6.122400103381014e-07,0.0
"(1,4-alpha-D-glucosyl)(n)",-0.03556617181230635,-0.0020827510907226,-0.040907361252180904,-0.0008077427795149,-0.011395802440189997,-0.009870322755940995,-0.005611120771163276,-0.0063047645014425975,-0.009421027159374776,-0.011518395878816515,-0.0092156122808489,-0.0034350731349024,-0.018982735568920595,-0.0032940108109149368,-0.0002836636164202,-0.0108238731094762,-0.0051460790548826406,-0.01685125568528747,-0.005832354905835431,-0.0006740001886994365,-0.006419388330404263,-0.0270316811305946,-0.036250890625691305,-0.006332186474301056,-0.007479970524041059,-0.044244905641923744,-0.0083665001724745,-0.0131510788347198,-0.03328810337073452,-0.016797261152200454,-0.002467858782573404,-0.04161111348135471,-0.01866213692933965,-0.0426090283879003,-0.0027416973163833223,-4.6152935547055544e-05,-0.0002947716856076705,-0.0422558676525615,-0.023877897688564045,-0.022743416861476167,-0.000198813894237242,-0.01181264987647666,-0.025830847552513657,-1.0741820854740061e-06,-0.00017552225201011322,-0.027801673601286398,-0.001373083186335517,-0.001654112557667393,-0.0018215333124556754,-0.0036807962345255327,-0.02668894217283853,-0.022190697901958177,-1.4221540481410885e-06,-0.002200888126717695,-0.002625041142995915,-0.009191021818669598,-0.002008679502214101,-0.05002493726890837,-0.0138513665964841,-0.08678164366020505,-0.613535642813227,-0.023972335031237264,-0.00013276600756054557,-0.009086860278676364,-0.16066180859944806,-0.016084407482687888,-0.0636332298592157,-0.020699428369555493,-0.01233632320640849,-0.0186292175086981,-0.013742625991926613,-0.0010408745550261373,-0.023081726371107426,-0.0195721833931683,-0.02778406621916935,-0.010231633719236124,-0.019480721631417196,-0.0040228662243592134,-0.0009855050381845252,-0.035513033506331455,-0.00788753389591217,-0.000555291199485969,-0.0083302758907159
"(1,4-alpha-D-glucosyl)(n+1)",0.03556617181230635,0.0020827510907226,0.040907361252180904,0.0008077427795149,0.011395802440189997,0.009870322755940995,0.005611120771163276,0.0063047645014425975,0.009421027159374776,0.011518395878816515,0.0092156122808489,0.0034350731349024,0.018982735568920595,0.0032940108109149368,0.0002836636164202,0.0108238731094762,0.0051460790548826406,0.01685125568528747,0.005832354905835431,0.0006740001886994365,0.006419388330404263,0.0270316811305946,0.036250890625691305,0.006332186474301056,0.007479970524041059,0.044244905641923744,0.0083665001724745,0.0131510788347198,0.03328810337073452,0.016797261152200454,0.002467858782573404,0.04161111348135471,0.01866213692933965,0.0426090283879003,0.0027416973163833223,4.6152935547055544e-05,0.0002947716856076705,0.0422558676525615,0.023877897688564045,0.022743416861476167,0.000198813894237242,0.01181264987647666,0.025830847552513657,1.0741820854740061e-06,0.00017552225201011322,0.027801673601286398,0.001373083186335517,0.001654112557667393,0.0018215333124556754,0.0036807962345255327,0.02668894217283853,0.022190697901958177,1.4221540481410885e-06,0.002200888126717695,0.002625041142995915,0.009191021818669598,0.002008679502214101,0.05002493726890837,0.0138513665964841,0.08678164366020505,0.613535642813227,0.023972335031237264,0.00013276600756054557,0.009086860278676364,0.16066180859944806,0.016084407482687888,0.0636332298592157,0.020699428369555493,0.01233632320640849,0.0186292175086981,0.013742625991926613,0.0010408745550261373,0.023081726371107426,0.0195721833931683,0.02778406621916935,0.010231633719236124,0.019480721631417196,0.0040228662243592134,0.0009855050381845252,0.035513033506331455,0.00788753389591217,0.000555291199485969,0.0083302758907159
(1->4)-alpha-D-glucan,-0.03556617181230635,-0.0020827510907226,-0.040907361252180904,-0.0008077427795149,-0.011395802440189997,-0.009870322755940995,-0.005611120771163276,-0.0063047645014425975,-0.009421027159374776,-0.011518395878816515,-0.0092156122808489,-0.0034350731349024,-0.018982735568920595,-0.0032940108109149368,-0.0002836636164202,-0.0108238731094762,-0.0051460790548826406,-0.01685125568528747,-0.005832354905835431,-0.0006740001886994365,-0.006419388330404263,-0.0270316811305946,-0.036250890625691305,-0.006332186474301056,-0.007479970524041059,-0.044244905641923744,-0.0083665001724745,-0.0131510788347198,-0.03328810337073452,-0.016797261152200454,-0.002467858782573404,-0.04161111348135471,-0.01866213692933965,-0.0426090283879003,-0.0027416973163833223,-4.6152935547055544e-05,-0.0002947716856076705,-0.0422558676525615,-0.023877897688564045,-0.022743416861476167,-0.000198813894237242,-0.01181264987647666,-0.025830847552513657,-1.0741820854740061e-06,-0.00017552225201011322,-0.027801673601286398,-0.001373083186335517,-0.001654112557667393,-0.0018215333124556754,-0.0036807962345255327,-0.02668894217283853,-0.022190697901958177,-1.4221540481410885e-06,-0.002200888126717695,-0.002625041142995915,-0.009191021818669598,-0.002008679502214101,-0.05002493726890837,-0.0138513665964841,-0.08678164366020505,-0.613535642813227,-0.023972335031237264,-0.00013276600756054557,-0.009086860278676364,-0.16066180859944806,-0.016084407482687888,-0.0636332298592157,-0.020699428369555493,-0.01233632320640849,-0.0186292175086981,-0.013742625991926613,-0.0010408745550261373,-0.023081726371107426,-0.0195721833931683,-0.02778406621916935,-0.010231633719236124,-0.019480721631417196,-0.0040228662243592134,-0.0009855050381845252,-0.035513033506331455,-0.00788753389591217,-0.000555291199485969,-0.0083302758907159
(1->4)-beta-D-xylan,-0.005182837978598793,-0.0025163740926793,-0.0022952854313436,-0.000624239540416,-0.003540082662019064,-0.006210425628698601,-0.0016630136669717,-0.0015817622926103194,-0.003320588969852141,-0.0015424166326819,-0.0029459212278846,-1.780268672238975e-06,-0.0009668863881060801,-0.00018089590812783116,-0.0003798025406598,-0.0003557334864886,-0.0029789353277032715,-0.010819974246338501,-0.0008983086566055382,-0.00018054099667311763,-0.006419970268636817,-0.0005369207311724938,-1.6108018800675557e-05,-4.898257197163242e-05,-0.0016378315672834,-0.0010694285290507326,-0.000731181033653483,-0.0013151229782173,-0.0006205506593025827,-0.00038716761817077304,-0.0024992568566192283,-4.020047589996627e-05,-3.255227685795741e-07,-0.0006727281293902638,-0.0013050696111215488,-0.0001043448439059698,-0.0002996390727661238,-0.00041036763010147064,-0.0005669598728570457,-0.000996342534190202,-0.00019936569679660898,-0.005038743194704557,-5.3899627661561496e-06,-4.9356320678890544e-06,-3.2225780223467973e-06,-0.0005524178782477,-0.0001486979658411668,-1.946237262061893e-06,-2.5960839473801796e-06,-6.15219944897529e-06,-0.005286754670215965,-0.0004108414685456523,-8.010032972364757e-06,-0.00019681953554387085,-0.00014681087213561322,-0.009195601732579736,-0.0006685430900442714,-0.00753226120899903,-0.0037351845447562587,-0.0617175216250834,-0.0002415363353826,-5.7691605350199665e-06,-2.7778571629020574e-06,-0.0006170826790719367,-1.5438101990413909e-06,-0.00039349275778987225,-0.0007344868952007,-0.0024155850595936716,-0.002062743376043917,-1.0823716154968008e-05,-0.00033347628945948565,-0.0010396639694593985,-1.636498682479362e-05,-0.002244012858757546,-0.0003584864637702676,-0.001409683560805924,-1.2838767771014325e-05,-0.0006221413269717576,-0.0010688088354344851,-0.0001123825963709805,-0.002829345749765673,-0.0006286011883621174,-0.00036280851433556264
(1->4)-beta-D-xylan oligosaccharide,9.620871424293462e-06,0.0009269786042168,0.0001102861938398,0.000234429608203,2.3324861065641357e-06,3.7491210020076905e-07,0.0001279958574802,1.5934274429193722e-06,6.735195404410521e-07,0.0003232750405126,0.0003424286771601,8.377871585921264e-07,3.5957342568014413e-07,1.6221581866311673e-06,0.0001420415702238,0.0001778667432443,5.647806346714696e-07,0.0015255177763232,9.675797076381356e-07,6.22062760317612e-07,5.419120773174547e-07,1.5058511581793807e-05,8.002624345249073e-06,1.1596132815638241e-07,0.0,1.8004471011332732e-05,5.470972256468304e-05,0.0,1.9951795777782733e-05,9.116541781772996e-06,1.9175331012328304e-05,2.0014913657482728e-05,1.0897034645032123e-07,2.868968557866384e-05,2.788617059488138e-07,5.2108829768803374e-05,2.247910528802381e-05,1.394671313567064e-05,1.1510453504558993e-07,1.3659689549101972e-05,5.11869611708969e-07,2.2249375342570547e-06,2.543450898650889e-06,2.3327071448367608e-06,1.4950646982356856e-06,0.0002761208547661,4.43820339266805e-07,8.993358556196039e-07,1.213126392496771e-06,2.933579725756945e-06,6.672108792426441e-05,6.340872679352317e-06,3.821460336902538e-06,2.622035882670847e-06,6.872308648132109e-07,2.6853231923354824e-06,9.017196171797136e-05,2.016520796329858e-06,5.388728758588496e-07,1.56452312290209e-06,0.0001206915896563,2.7194193573505814e-06,1.2967012666940835e-06,1.3838075870636744e-05,5.202270497603189e-07,2.658875032722624e-07,0.0,9.319545547171657e-06,1.2650468696316724e-05,5.411858077484004e-06,6.143464893168564e-05,6.789720931898473e-06,1.0474297172620805e-07,1.29866434198459e-05,2.3995408800567653e-05,1.7615629792394692e-07,6.4193838855071625e-06,4.612771430875764e-05,4.324802937698518e-05,1.6582825591926466e-05,6.754826876773046e-06,6.0965885076417406e-05,3.100155124426266e-05
